SOURCELONG:Blood of Angels	SOURCESHORT:BOA	SOURCEWEB:http://paizo.com/store/downloads/pathfinder/pathfinderRPG/v5748btpy8auu	SOURCEDATE:2012-04

###Block: Subrace Selection
Aasimar				CATEGORY:Special Ability	TYPE:AasimarSubrace	TEMPLATE:Default-Aasimar	BONUS:STAT|WIS,CHA|2|TYPE=Racial	SOURCEPAGE:p.0
Aasimar (Agathion Blooded)	CATEGORY:Special Ability	TYPE:AasimarSubrace	TEMPLATE:Agathion-Blooded	BONUS:STAT|CON,CHA|2|TYPE=Racial	SOURCEPAGE:p.19
Aasimar (Angel Blooded)		CATEGORY:Special Ability	TYPE:AasimarSubrace	TEMPLATE:Angel-Blooded		BONUS:STAT|STR,CHA|2|TYPE=Racial	SOURCEPAGE:p.19
Aasimar (Archon Blooded)	CATEGORY:Special Ability	TYPE:AasimarSubrace	TEMPLATE:Archon-Blooded		BONUS:STAT|CON,WIS|2|TYPE=Racial	SOURCEPAGE:p.20
Aasimar (Azata Blooded)		CATEGORY:Special Ability	TYPE:AasimarSubrace	TEMPLATE:Azata-Blooded		BONUS:STAT|DEX,CHA|2|TYPE=Racial	SOURCEPAGE:p.20
Aasimar (Garuda Blooded)	CATEGORY:Special Ability	TYPE:AasimarSubrace	TEMPLATE:Garuda-Blooded		BONUS:STAT|DEX,WIS|2|TYPE=Racial	SOURCEPAGE:p.21
Aasimar (Peri Blooded)		CATEGORY:Special Ability	TYPE:AasimarSubrace	TEMPLATE:Peri-Blooded		BONUS:STAT|INT,CHA|2|TYPE=Racial	SOURCEPAGE:p.21

CATEGORY=Special Ability|Skilled ~ Aasimar.MOD			DESC:Aasimars receive a +2 bonus to Diplomacy and Perception checks.|PRETEMPLATE:1,Default-Aasimar					BONUS:SKILL|Diplomacy,Perception|2|TYPE=Racial|PRETEMPLATE:1,Default-Aasimar
CATEGORY=Special Ability|Skilled ~ Aasimar.MOD			DESC:Agathion Blooded Aasimars receive a +2 bonus to Handle Animal and Survival checks.|PRETEMPLATE:1,Agathion-Blooded		BONUS:SKILL|Handle Animal,Survival|2|TYPE=Racial|PRETEMPLATE:1,Agathion-Blooded
CATEGORY=Special Ability|Skilled ~ Aasimar.MOD			DESC:Angel Blooded Aasimars receive a +2 bonus to Heal and Knowledge (planes) checks.|PRETEMPLATE:1,Angel-Blooded			BONUS:SKILL|Heal,Knowledge (planes)|2|TYPE=Racial|PRETEMPLATE:1,Angel-Blooded
CATEGORY=Special Ability|Skilled ~ Aasimar.MOD			DESC:Archon Blooded Aasimars receive a +2 bonus to Intimidate and Sense Motive checks.|PRETEMPLATE:1,Archon-Blooded		BONUS:SKILL|Intimidate,Sense Motive|2|TYPE=Racial|PRETEMPLATE:1,Archon-Blooded
CATEGORY=Special Ability|Skilled ~ Aasimar.MOD			DESC:Azata Blooded Aasimars receive a +2 bonus to Diplomacy and Perform checks.|PRETEMPLATE:1,Azata-Blooded				BONUS:SKILL|Diplomacy,Perform|2|TYPE=Racial|PRETEMPLATE:1,Azata-Blooded
CATEGORY=Special Ability|Skilled ~ Aasimar.MOD			DESC:Garuda Blooded Aasimars receive a +2 bonus to Acrobatics and Fly checks.|PRETEMPLATE:1,Garuda-Blooded				BONUS:SKILL|Acrobatics,Fly|2|TYPE=Racial|PRETEMPLATE:1,Garuda-Blooded
CATEGORY=Special Ability|Skilled ~ Aasimar.MOD			DESC:Peri Blooded Aasimars receive a +2 bonus to Knowledge (planes) and Spellcraft checks.|PRETEMPLATE:1,Peri-Blooded		BONUS:SKILL|Knowledge (planes),Spellcraft|2|TYPE=Racial|PRETEMPLATE:1,Peri-Blooded

CATEGORY=Special Ability|Spell-Like Ability ~ Aasimar.MOD	SPELLS:Innate|TIMES=AasimarSpellLikeTimes|CASTERLEVEL=TL|Daylight|PRETEMPLATE:1,Default-Aasimar						DESC:Aasimars can use daylight %1/day as a spell-like ability.|AasimarSpellLikeTimes|PRETEMPLATE:1,Default-Aasimar
CATEGORY=Special Ability|Spell-Like Ability ~ Aasimar.MOD	SPELLS:Innate|TIMES=AasimarSpellLikeTimes|CASTERLEVEL=TL|Summon Nature's Ally II|PRETEMPLATE:1,Agathion-Blooded			DESC:Agathion Blooded Aasimars can use summon nature's ally II %1/day as a spell-like ability.|AasimarSpellLikeTimes|PRETEMPLATE:1,Agathion-Blooded
CATEGORY=Special Ability|Spell-Like Ability ~ Aasimar.MOD	SPELLS:Innate|TIMES=AasimarSpellLikeTimes|CASTERLEVEL=TL|Alter Self|PRETEMPLATE:1,Angel-Blooded						DESC:Angel Blooded Aasimars can use alter self %1/day as a spell-like ability.|AasimarSpellLikeTimes|PRETEMPLATE:1,Angel-Blooded
