# CVS $Revision: 20472 $ $Author: zaister $ -- Fri Jul 12 11:09:20 2013 -- reformated by prettylst.pl v1.50 (build 20400)
SOURCELONG:Ultimate Campaign	SOURCESHORT:UCA	SOURCEWEB:http://paizo.com/products/btpy8x64?Pathfinder-Roleplaying-Game-Ultimate-Campaign	SOURCEDATE:2013-05
# ORIGINAL ENTRY: Stefan Radermacher
# ORIGINAL ENTRY DATE: 12 July 2013

###Block: Modify default ability
# Ability Name			Bonus to Ability Pool
CATEGORY=Internal|Default.MOD	BONUS:ABILITYPOOL|Traits|1|PRECHARACTERTYPE:1,PC|PREABILITY:1,CATEGORY=Special Ability,TYPE.Drawback

###Block: Drawbacks
# Ability Name	Unique Key				Category of Ability		Type			Multiple Requirements																			Description																			Cost		Source Page		Description of the Benefits
Attached		KEY:Attached ~ Drawback		CATEGORY:Special Ability	TYPE:Drawback	PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Attached ~ Drawback],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.Drawback]		DESC:You have a strong emotional attachment to a person or object that you're terrified of losing.				COST:0	SOURCEPAGE:p.64	BENEFIT:You have a strong emotional attachment to a person or object that you're terrified of losing. The GM chooses the object of your attachment. Whenever the object of your attachment is either threatened, in danger, or in someone else's possession, you take a -1 penalty on Will saves and a -2 penalty on saves against fear effects. If the person or object to which you're attached is ever lost, killed, or destroyed, exchange this drawback for the Doubt drawback.
Avarice		KEY:Avarice ~ Drawback		CATEGORY:Special Ability	TYPE:Drawback	PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Avarice ~ Drawback],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.Drawback]		DESC:Deep, compulsive greed gnaws at you.														COST:0	SOURCEPAGE:p.65	BENEFIT:Deep, compulsive greed gnaws at you. Whenever monetary treasure is divided, you must end up with a greater share of that treasure than your companions or you're wracked with feelings of jealousy and ill will. When treasure is divided, if you do not end up with at least 10%% more treasure than any other individual companion does, you have a hard time being helpful to your allies. You become irritable, and can't take the aid another action for the next week.
Dependent		KEY:Dependent ~ Drawback	CATEGORY:Special Ability	TYPE:Drawback	PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Dependent ~ Drawback],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.Drawback]		DESC:You are dependent upon the acceptance of others.												COST:0	SOURCEPAGE:p.65	BENEFIT:You are dependent upon the acceptance of others. Whenever you fail a Diplomacy check, you become shaken for 1 hour.
Doubt			KEY:Doubt ~ Drawback		CATEGORY:Special Ability	TYPE:Drawback	PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Doubt ~ Drawback],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.Drawback]		DESC:You lack confidence in your abilities or confidence in the universe at large.							COST:0	SOURCEPAGE:p.65	BENEFIT:You lack confidence in your abilities or confidence in the universe at large. Whenever you fail a skill or ability check, you take a -4 penalty on that type of skill or ability check for the next hour.
Family Ties		KEY:Family Ties ~ Drawback	CATEGORY:Special Ability	TYPE:Drawback	PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Family Ties ~ Drawback],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.Drawback]	DESC:Your family is extremely important to you, and you feel disheartened when you can't do what they ask.			COST:0	SOURCEPAGE:p.65	BENEFIT:Your family is extremely important to you, and you feel disheartened when you can't do what they ask. When a family member makes a request of you, you must fulfill that request or take a -2 penalty on all Wisdom- and Charisma-based ability checks and skill checks until you either do what was requested or succeed at a DC 20 Will saving throw, which you can attempt once per day at the start of each day. You can't take this drawback if you have no family. If you ever lose your family or lose contact with your family, exchange this drawback for the Doubt drawback.
Headstrong		KEY:Headstrong ~ Drawback	CATEGORY:Special Ability	TYPE:Drawback	PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Headstrong ~ Drawback],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.Drawback]	DESC:You feel compelled to correct every action and argument that contradicts your worldview.					COST:0	SOURCEPAGE:p.65	BENEFIT:You feel compelled to correct every action and argument that contradicts your worldview. Whenever you witness an action or hear an argument that contradicts your alignment, you must attempt to stop or correct that action or argument. If you either don't try to stop it or fail in your attempt to stop it (as adjudicated by the GM), you are shaken for 1 hour.
Hedonistic		KEY:Hedonistic ~ Drawback	CATEGORY:Special Ability	TYPE:Drawback	PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Hedonistic ~ Drawback],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.Drawback]	DESC:You are a creature of pleasure and comfort.												COST:0	SOURCEPAGE:p.65	BENEFIT:You are a creature of pleasure and comfort. Whenever you spend a day without gaining reward or treasure (at least 10 or more gold pieces) or spending an hour on entertainment or pleasure, attempt a DC 20 Fortitude save at the end of that day. If you fail, you begin the next day fatigued. This fatigue lasts 4 hours, or until you receive a reward or sufficient entertainment or pleasure.
Lovesick		KEY:Lovesick ~ Drawback		CATEGORY:Special Ability	TYPE:Drawback	PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Lovesick ~ Drawback],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.Drawback]		DESC:Your love for another occupies your every thought, and you become despondent when you are away from that person.	COST:0	SOURCEPAGE:p.65	BENEFIT:Your love for another occupies your every thought, and you become despondent when you are away from that person. The person is chosen by your GM. At the start of each day, if you are away from this person you take a -2 penalty on initiative checks and Perception checks. If you ever lose or fall out of love with this person, exchange this drawback for the Doubt drawback.
Meticulous		KEY:Meticulous ~ Drawback	CATEGORY:Special Ability	TYPE:Drawback	PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Meticulous ~ Drawback],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.Drawback]	DESC:You plan and prepare everything in detail, and aren't good at improvising when things don't go as planned.		COST:0	SOURCEPAGE:p.65	BENEFIT:You plan and prepare everything in detail, and aren't good at improvising when things don't go as planned. You take a -2 penalty on skill checks for skills with which you're untrained.
Paranoid		KEY:Paranoid ~ Drawback		CATEGORY:Special Ability	TYPE:Drawback	PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Paranoid ~ Drawback],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.Drawback]		DESC:You believe that someone or something is always out to get you, so you have a hard time truly trusting anyone.	COST:0	SOURCEPAGE:p.65	BENEFIT:You believe that someone or something is always out to get you, so you have a hard time truly trusting anyone. Anyone who attempts an aid another action of any type to assist you must succeed at a DC 15 check instead of the normal DC 10 check.
Power-Hungry	KEY:Power-Hungry ~ Drawback	CATEGORY:Special Ability	TYPE:Drawback	PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Power-Hungry ~ Drawback],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.Drawback]	DESC:You're addicted to power.															COST:0	SOURCEPAGE:p.65	BENEFIT:You're addicted to power. You take a -2 penalty on Will saving throws against charm and compulsion effects if the creature creating the effect promises wealth or power.
