# CVS $Revision: $ $Author: $ -- Fri Apr  1 08:57:13 2005 -- reformated by prettylst.pl v1.34 (build 455)
SOURCELONG:d20Talislanta|SOURCESHORT:d20Tal|SOURCEWEB:http://www.talislanta.com
# Orginal Entry By: Loyal

# Deity Name			Domains	Clergy AL			Desciption of Deity/Title	Holy Item	Deity Weapon	Source Page
Creator				DOMAINS:ALL	FOLLOWERALIGN:012345678	DESC:None				SYMBOL:None	DEITYWEAP:ALL	SOURCEPAGE:244

Aa					DOMAINS:ALL	FOLLOWERALIGN:012345678	DESC:the All-Seeing		SYMBOL:None	DEITYWEAP:ALL	SOURCEPAGE:244
Aqus (ocean deity)		DOMAINS:ALL	FOLLOWERALIGN:012345678	DESC:None				SYMBOL:None	DEITYWEAP:ALL	SOURCEPAGE:244
Arial (spirit of the wind)	DOMAINS:ALL	FOLLOWERALIGN:012345678	DESC:None				SYMBOL:None	DEITYWEAP:ALL	SOURCEPAGE:244
Avar (Gold God)			DOMAINS:ALL	FOLLOWERALIGN:012345678	DESC:None				SYMBOL:None	DEITYWEAP:ALL	SOURCEPAGE:244
Beast-God				DOMAINS:ALL	FOLLOWERALIGN:012345678	DESC:None				SYMBOL:None	DEITYWEAP:ALL	SOURCEPAGE:244
Borean				DOMAINS:ALL	FOLLOWERALIGN:012345678	DESC:God of the North Wind	SYMBOL:None	DEITYWEAP:ALL	SOURCEPAGE:244
Creator				DOMAINS:ALL	FOLLOWERALIGN:012345678	DESC:None				SYMBOL:None	DEITYWEAP:ALL	SOURCEPAGE:244
Danu (War God)			DOMAINS:ALL	FOLLOWERALIGN:012345678	DESC:None				SYMBOL:None	DEITYWEAP:ALL	SOURCEPAGE:244
Death					DOMAINS:ALL	FOLLOWERALIGN:012345678	DESC:None				SYMBOL:None	DEITYWEAP:ALL	SOURCEPAGE:244
Fortuna				DOMAINS:ALL	FOLLOWERALIGN:012345678	DESC:None				SYMBOL:None	DEITYWEAP:ALL	SOURCEPAGE:244
Jakar					DOMAINS:ALL	FOLLOWERALIGN:012345678	DESC:Lord of the Beasts		SYMBOL:None	DEITYWEAP:ALL	SOURCEPAGE:244
Jamba					DOMAINS:ALL	FOLLOWERALIGN:012345678	DESC:None				SYMBOL:None	DEITYWEAP:ALL	SOURCEPAGE:244
Kagan					DOMAINS:ALL	FOLLOWERALIGN:012345678	DESC:None				SYMBOL:None	DEITYWEAP:ALL	SOURCEPAGE:244
Khadun (Death)			DOMAINS:ALL	FOLLOWERALIGN:012345678	DESC:None				SYMBOL:None	DEITYWEAP:ALL	SOURCEPAGE:244
Kron					DOMAINS:ALL	FOLLOWERALIGN:012345678	DESC:the Mighty			SYMBOL:None	DEITYWEAP:ALL	SOURCEPAGE:244
Makk (spirit of the sea)	DOMAINS:ALL	FOLLOWERALIGN:012345678	DESC:None				SYMBOL:None	DEITYWEAP:ALL	SOURCEPAGE:244
Manik					DOMAINS:ALL	FOLLOWERALIGN:012345678	DESC:the Mad God			SYMBOL:None	DEITYWEAP:ALL	SOURCEPAGE:244
Moorg (Mud God)			DOMAINS:ALL	FOLLOWERALIGN:012345678	DESC:None				SYMBOL:None	DEITYWEAP:ALL	SOURCEPAGE:244
Noman					DOMAINS:ALL	FOLLOWERALIGN:012345678	DESC:None				SYMBOL:None	DEITYWEAP:ALL	SOURCEPAGE:244
Paradoxy				DOMAINS:ALL	FOLLOWERALIGN:012345678	DESC:None				SYMBOL:None	DEITYWEAP:ALL	SOURCEPAGE:244
Satha (Dragon Goddess)		DOMAINS:ALL	FOLLOWERALIGN:012345678	DESC:None				SYMBOL:None	DEITYWEAP:ALL	SOURCEPAGE:244
Sham					DOMAINS:ALL	FOLLOWERALIGN:012345678	DESC:King of Lies			SYMBOL:None	DEITYWEAP:ALL	SOURCEPAGE:244
Taryx					DOMAINS:ALL	FOLLOWERALIGN:012345678	DESC:Scavenger of Souls		SYMBOL:None	DEITYWEAP:ALL	SOURCEPAGE:244
Terra (Great Mother)		DOMAINS:ALL	FOLLOWERALIGN:012345678	DESC:None				SYMBOL:None	DEITYWEAP:ALL	SOURCEPAGE:244
The Duality				DOMAINS:ALL	FOLLOWERALIGN:012345678	DESC:None				SYMBOL:None	DEITYWEAP:ALL	SOURCEPAGE:244
Transcendency			DOMAINS:ALL	FOLLOWERALIGN:012345678	DESC:None				SYMBOL:None	DEITYWEAP:ALL	SOURCEPAGE:244
Zoriah				DOMAINS:ALL	FOLLOWERALIGN:012345678	DESC:Red God of War		SYMBOL:None	DEITYWEAP:ALL	SOURCEPAGE:244
