# CVS $Revision: $ $Author: $ -- Thu Nov 26 22:25:37 2015 -- reformated by PCGen PrettyLST v6.05.01
#SOURCELONG:Occult Adventures	SOURCESHORT:OA	SOURCEWEB:http://paizo.com/products/btpy9a0h

# Class feature types
# Ability Category					Visible		Editable?		Change Pool?	Category of Object		Type of Object								Plural description for UI		Display Location
ABILITYCATEGORY:Kineticist Class Feature		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Kineticist Class Feature.KineticistClassFeatures		PLURAL:Kineticist Class Features	DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Medium Class Feature		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Medium Class Feature.MediumClassFeatures			PLURAL:Medium Class Features		DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Mesmerist Class Feature		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Mesmerist Class Feature.MesmeristClassFeatures		PLURAL:Mesmerist Class Features	DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Occultist Class Feature		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Occultist Class Feature.OccultistClassFeatures		PLURAL:Occultist Class Features	DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Psychic Class Feature		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Psychic Class Feature.PsychicClassFeatures			PLURAL:Psychic Class Features		DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Spiritualist Class Feature	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Spiritualist Class Feature.SpiritualistClassFeatures	PLURAL:Spiritualist Class Features	DISPLAYLOCATION:Class Features

# Archetypes
# Ability Category				Visible		Editable?		Change Pool?	Category of Object		Type of Object							Plural description for UI		Display Location
ABILITYCATEGORY:Medium Archetype		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	CATEGORY:Archetype		TYPE:MediumArchetype						PLURAL:Medium Archetypes		DISPLAYLOCATION:Archetype
ABILITYCATEGORY:Mesmerist Archetype		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	CATEGORY:Archetype		TYPE:MesmeristArchetype						PLURAL:Mesmerist Archetypes		DISPLAYLOCATION:Archetype

# Medium class features
# Ability Category				Visible		Editable?		Change Pool?	Category of Object		Type of Object							Plural description for UI		Display Location
ABILITYCATEGORY:Medium Spirit Choice	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	CATEGORY:Special Ability	TYPE:MediumSpirit							PLURAL:Medium Spirit Choices		DISPLAYLOCATION:Class Features

# Mesmerist class features
# Ability Category				Visible		Editable?		Change Pool?	Category of Object		Type of Object							Plural description for UI		Display Location
ABILITYCATEGORY:Mesmerist Trick Choice	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	CATEGORY:Special Ability	TYPE:MesmeristTrick						PLURAL:Mesmerist Trick Choices	DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Bold Stare Choice		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	CATEGORY:Special Ability	TYPE:BoldStare							PLURAL:Bold Stare Choices		DISPLAYLOCATION:Class Features

# Mesmerist archetype class features
# Ability Category							Visible		Editable?		Change Pool?	Category of Object		Type of Object			Plural description for UI					Display Location
ABILITYCATEGORY:Injection Improvement Choice			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	CATEGORY:Special Ability	TYPE:InjectionImprovement	PLURAL:Injection Improvement Choices		DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Vexing Daredevil Martial Weapon Proficiency	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	CATEGORY:Special Ability	TYPE:VexingDaredevilWpnProf	PLURAL:Vexing Daredevil Martial Weapon Proficiencies	DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Vexing Daredevil Bonus Stare Feat		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	CATEGORY:Feat			TYPE:Stare				PLURAL:Vexing Daredevil Bonus Stare Feats			DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Dazzling Feint Choice				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	CATEGORY:Special Ability	TYPE:DazzlingFeint		PLURAL:Dazzling Feint Choices					DISPLAYLOCATION:Class Features
###
ABILITYCATEGORY:Kineticist Element					VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Kineticist Element						PLURAL:Kineticist Elements					DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Kineticist Blast					VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Simple Blast						PLURAL:Simple Blasts					DISPLAYLOCATION:Class Features

ABILITYCATEGORY:Kineticist Expanded Element					VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Kineticist Expanded Element						PLURAL:Kineticist Elements					DISPLAYLOCATION:Class Features


ABILITYCATEGORY:Kineticist Utility Wild Talent	POOL:Pool_KineticistUtilityWildTalents			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Utility Wild Talent							PLURAL:Utility Wild Talents						DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Kineticist Infusion Wild Talent	POOL:Pool_KineticistInfusion				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Infusion Wild Talent							PLURAL:Infusion Wild Talents						DISPLAYLOCATION:Class Features




