SOURCELONG:Occult Adventures	SOURCESHORT:OA	SOURCEWEB:http://paizo.com/products/btpy9a0h

#Separated into own file so as to not require UC

#Mesmerist 0
Haunted Fey Aspect.MOD		TYPE:Psychic	CLASSES:Mesmerist=0

#Mesmerist 1
Adoration.MOD			TYPE:Psychic	CLASSES:Mesmerist=1
Compel Hostility.MOD		TYPE:Psychic	CLASSES:Mesmerist=1
Healing Thief.MOD			TYPE:Psychic	CLASSES:Mesmerist=1
Illusion of Calm.MOD		TYPE:Psychic	CLASSES:Mesmerist=1
Lock Gaze.MOD			TYPE:Psychic	CLASSES:Mesmerist=1

#Mesmerist 2
Blistering Invective.MOD	TYPE:Psychic	CLASSES:Mesmerist=2
Pilfering Hand.MOD		TYPE:Psychic	CLASSES:Mesmerist=2
Qualm.MOD				TYPE:Psychic	CLASSES:Mesmerist=2

#Mesmerist 3
Hostile Levitation.MOD			TYPE:Psychic	CLASSES:Mesmerist=3
Tongues (Communal).MOD			TYPE:Psychic	CLASSES:Mesmerist=3
