SOURCELONG:Occult Adventures	SOURCESHORT:OA	SOURCEWEB:http://paizo.com/products/btpy9a0h

#Separated into own file so as to not require ACG

#Mesmerist 1
Blurred Movement.MOD		TYPE:Psychic	CLASSES:Mesmerist=1
Discern Next of Kin.MOD		TYPE:Psychic	CLASSES:Mesmerist=1
Disguise Weapon.MOD		TYPE:Psychic	CLASSES:Mesmerist=1
Heightened Awareness.MOD	TYPE:Psychic	CLASSES:Mesmerist=1
Memorize Page.MOD			TYPE:Psychic	CLASSES:Mesmerist=1
Recharge Inner Magic.MOD	TYPE:Psychic	CLASSES:Mesmerist=1

#Mesmerist 2
Anonymous Interaction.MOD	TYPE:Psychic	CLASSES:Mesmerist=2
Blood in the Water.MOD		TYPE:Psychic	CLASSES:Mesmerist=2
Commune with Birds.MOD		TYPE:Psychic	CLASSES:Mesmerist=2
Euphoric Cloud.MOD		TYPE:Psychic	CLASSES:Mesmerist=2
Focused Scrutiny.MOD		TYPE:Psychic	CLASSES:Mesmerist=2
Investigative Mind.MOD		TYPE:Psychic	CLASSES:Mesmerist=2
Mantle of Calm.MOD		TYPE:Psychic	CLASSES:Mesmerist=2
Mindlocked Messenger.MOD	TYPE:Psychic	CLASSES:Mesmerist=2
Muffle Sound.MOD			TYPE:Psychic	CLASSES:Mesmerist=2
Silent Table.MOD			TYPE:Psychic	CLASSES:Mesmerist=2
Stricken Heart.MOD		TYPE:Psychic	CLASSES:Mesmerist=2
Twilight Haze.MOD			TYPE:Psychic	CLASSES:Mesmerist=2
Unliving Rage.MOD			TYPE:Psychic	CLASSES:Mesmerist=2

#Mesmerist 3
Adjustable Disguise.MOD			TYPE:Psychic	CLASSES:Mesmerist=3
Aura Sight.MOD				TYPE:Psychic	CLASSES:Mesmerist=3
Bleed Glory.MOD				TYPE:Psychic	CLASSES:Mesmerist=3
Enchantment Foil.MOD			TYPE:Psychic	CLASSES:Mesmerist=3
Isolate.MOD					TYPE:Psychic	CLASSES:Mesmerist=3
Mythic Severance.MOD			TYPE:Psychic	CLASSES:Mesmerist=3
Symbol of Laughter.MOD			TYPE:Psychic	CLASSES:Mesmerist=3
Triggered Suggestion.MOD		TYPE:Psychic	CLASSES:Mesmerist=3
