# Ability Name	CATEGORY	TYPE	DESC	SOURCEPAGE
# --- Assassin ---
Marked for Death	CATEGORY:Special Ability	TYPE:ClassFeature.Assassin	DESC:On a successful weapon attack, mark a Stress to add d4s equal to tier to damage against this target.	SOURCEPAGE:p.9
Deadly Determination	CATEGORY:Special Ability	TYPE:HopeFeature.Assassin	DESC:Spend 3 Hope to clear 2 Stress.	SOURCEPAGE:p.9
First Strike	CATEGORY:Special Ability	TYPE:SubclassFoundation.ExecutionersGuild	DESC:The first time in a scene you succeed on an attack, deal double damage.	SOURCEPAGE:p.9
Toxic Concoctions	CATEGORY:Special Ability	TYPE:SubclassFoundation.PoisonersGuild	DESC:Mark a Stress for 1d4+1 poison tokens to afflict targets with Ghost Petal, Grave Spore, or Leech Weed.	SOURCEPAGE:p.10

# --- Bard ---
Rally	CATEGORY:Special Ability	TYPE:ClassFeature.Bard	DESC:Once per session, rally party to grant everyone a Rally Die (d6, increases to d8 at level 5).	SOURCEPAGE:p.10
Inspiring Crescendo	CATEGORY:Special Ability	TYPE:HopeFeature.Bard	DESC:Spend 3 Hope to grant an ally within Far range an immediate action with advantage.	SOURCEPAGE:p.10
Gifted Performer	CATEGORY:Special Ability	TYPE:SubclassFoundation.Troubadour	DESC:Perform Relaxing Song, Epic Song, or Heartbreaking Song once each per long rest.	SOURCEPAGE:p.11
Silver Tongue	CATEGORY:Special Ability	TYPE:SubclassFoundation.Wordsmith	DESC:Add +2 to Presence rolls when attempting to deceive, charm, or negotiate with NPCs.	SOURCEPAGE:p.11

# --- Brawler ---
Adrenaline Rush	CATEGORY:Special Ability	TYPE:ClassFeature.Brawler	DESC:Gain +1 to attack and damage rolls for every 2 Hit Points marked.	SOURCEPAGE:p.11
Iron Will	CATEGORY:Special Ability	TYPE:HopeFeature.Brawler	DESC:Spend 3 Hope to clear 1 HP and 1 Stress.	SOURCEPAGE:p.11
Crowd Pleaser	CATEGORY:Special Ability	TYPE:SubclassFoundation.Gladiator	DESC:Gain 1 Hope whenever you deal Severe damage with an unarmed or melee strike.	SOURCEPAGE:p.12
Haymaker	CATEGORY:Special Ability	TYPE:SubclassFoundation.Pugilist	DESC:Mark 1 Stress on an unarmed hit to knock the target prone and push them to Very Close range.	SOURCEPAGE:p.13

# --- Druid ---
Beastform	CATEGORY:Special Ability	TYPE:ClassFeature.Druid	DESC:Mark a Stress to transform into a beast form, gaining specialized trait arrays and attack moves.	SOURCEPAGE:p.14
Nature's Embrace	CATEGORY:Special Ability	TYPE:HopeFeature.Druid	DESC:Spend 3 Hope to heal 2 HP to yourself or an ally within Close range.	SOURCEPAGE:p.14
Warden of Stone	CATEGORY:Special Ability	TYPE:SubclassFoundation.CircleOfTheAncients	DESC:Gain +2 to Armor Score while transformed in Beastform.	SOURCEPAGE:p.15
Predator's Cunning	CATEGORY:Special Ability	TYPE:SubclassFoundation.CircleOfTheWild	DESC:Gain +1d8 bonus damage on attacks made against isolated or vulnerable targets in Beastform.	SOURCEPAGE:p.16

# --- Guardian ---
Unstoppable	CATEGORY:Special Ability	TYPE:ClassFeature.Guardian	DESC:Once per long rest, gain an Unstoppable Die to reduce physical damage severity and add bonus damage.	SOURCEPAGE:p.19
Hold the Line	CATEGORY:Special Ability	TYPE:HopeFeature.Guardian	DESC:Spend 3 Hope to absorb an attack targeted at an ally within Close range without marking armor slots.	SOURCEPAGE:p.19
Bastion of Armor	CATEGORY:Special Ability	TYPE:SubclassFoundation.Stalwart	DESC:Gain an additional Armor Slot at character creation.	SOURCEPAGE:p.19
Momentum Smash	CATEGORY:Special Ability	TYPE:SubclassFoundation.Juggernaut	DESC:When moving to Melee before an attack, add +1d6 physical damage to the strike.	SOURCEPAGE:p.20

# --- Ranger ---
Ranger's Focus	CATEGORY:Special Ability	TYPE:ClassFeature.Ranger	DESC:Spend a Hope on an attack to designate a Focus target, tracking direction and dealing extra Stress.	SOURCEPAGE:p.20
Eagle Eye	CATEGORY:Special Ability	TYPE:HopeFeature.Ranger	DESC:Spend 3 Hope to automatically succeed on a ranged attack at Far or Very Far range.	SOURCEPAGE:p.20
Faithful Companion	CATEGORY:Special Ability	TYPE:SubclassFoundation.Beastbound	DESC:Gain a loyal beast companion with dedicated advancement features and coordinated attacks.	SOURCEPAGE:p.21
Trailblazer	CATEGORY:Special Ability	TYPE:SubclassFoundation.Wayfinder	DESC:Party moves through wilderness difficult terrain at standard speed without fatigue penalties.	SOURCEPAGE:p.22

# --- Rogue ---
