# Ability Name	CATEGORY	TYPE	DESC	SOURCEPAGE
Gifted	CATEGORY:Special Ability	TYPE:TransformationFeature.Demigod	DESC:You gain a +1 bonus to action, reaction, and damage rolls.	SOURCEPAGE:p.43
Weight of Divinity	CATEGORY:Special Ability	TYPE:TransformationFeature.Demigod	DESC:When you fail a roll, you must mark a Stress or the GM gains a Fear.	SOURCEPAGE:p.43
Unfinished Business	CATEGORY:Special Ability	TYPE:TransformationFeature.Ghost	DESC:Work with your GM to decide what purpose keeps you bound to the Mortal Realm. When fulfilled, you cross through the veil of death.	SOURCEPAGE:p.43
Ephemeral	CATEGORY:Special Ability	TYPE:TransformationFeature.Ghost	DESC:Resistant to physical damage, take double magic damage, and can mark 2 Stress to momentarily pass through a solid object.	SOURCEPAGE:p.43
Corpse	CATEGORY:Special Ability	TYPE:TransformationFeature.Reanimated	DESC:During a rest, you can clear Hit Points only if you have access to remains from a recently deceased creature.	SOURCEPAGE:p.44
Won't Stay Dead	CATEGORY:Special Ability	TYPE:TransformationFeature.Reanimated	DESC:When you choose Risk It All and fail, you can permanently mark an HP to succeed instead.	SOURCEPAGE:p.44
Change Shape	CATEGORY:Special Ability	TYPE:TransformationFeature.Shapeshifter	DESC:During a rest, use a downtime move to swap your current ancestry with another.	SOURCEPAGE:p.44
Only Skin Deep	CATEGORY:Special Ability	TYPE:TransformationFeature.Shapeshifter	DESC:Gain the benefit of only one chosen ancestry feature; can use a downtime move to switch features.	SOURCEPAGE:p.44
Fangs	CATEGORY:Special Ability	TYPE:TransformationFeature.Vampire	DESC:Make an attack using a trait of your choice to bite in Melee range for d6 physical damage using Proficiency.	SOURCEPAGE:p.45
Feed	CATEGORY:Special Ability	TYPE:TransformationFeature.Vampire	DESC:On a successful Fangs attack, mark a Stress to store blood tokens (up to 6). Spend a token to make Fear Die a d20 on an action roll.	SOURCEPAGE:p.45
Wolf Form	CATEGORY:Special Ability	TYPE:TransformationFeature.Werewolf	DESC:When marking 1+ HP, mark a Stress to gain +1d10 to attack and damage rolls. When rolling with Hope in this form, mark a Stress.	SOURCEPAGE:p.45
Howling Rampage	CATEGORY:Special Ability	TYPE:TransformationFeature.Werewolf	DESC:When marking your last Stress in Wolf Form, roll d20s equal to tier as physical damage to all creatures within Very Close range, then drop form.	SOURCEPAGE:p.45
