# Ability Name	CATEGORY	TYPE	DESC	SOURCEPAGE
# --- Arcana Domain Cards ---
Rune Ward	CATEGORY:Special Ability	TYPE:DomainCard.Arcana.Level1	DESC:Place a protective ward on an ally within Close range; absorbs the next Minor damage taken.	SOURCEPAGE:p.7
Arcane Pulse	CATEGORY:Special Ability	TYPE:DomainCard.Arcana.Level1	DESC:Instinct spell dealing d8 magic damage to all enemies within Very Close range.	SOURCEPAGE:p.7
Blink Step	CATEGORY:Special Ability	TYPE:DomainCard.Arcana.Level2	DESC:Mark a Stress to teleport anywhere within Close range without provoking reactions.	SOURCEPAGE:p.7

# --- Blade Domain Cards ---
Whirlwind Strike	CATEGORY:Special Ability	TYPE:DomainCard.Blade.Level1	DESC:Attack all adjacent adversaries within Melee range with your primary physical weapon.	SOURCEPAGE:p.7
Parry & Riposte	CATEGORY:Special Ability	TYPE:DomainCard.Blade.Level1	DESC:Reaction: When missed by a melee strike, spend 1 Hope to make an immediate melee counterattack.	SOURCEPAGE:p.7
Sundering Blow	CATEGORY:Special Ability	TYPE:DomainCard.Blade.Level2	DESC:On a hit, reduce the target's Armor Score by 1 for the remainder of the scene.	SOURCEPAGE:p.7

# --- Bone Domain Cards ---
Bone Armor	CATEGORY:Special Ability	TYPE:DomainCard.Bone.Level1	DESC:Mark a Stress to gain +2 Armor Score until you take Severe damage.	SOURCEPAGE:p.7
Shattering Strike	CATEGORY:Special Ability	TYPE:DomainCard.Bone.Level1	DESC:Melee attack dealing +1d10 physical damage; on Severe damage, target is knocked prone.	SOURCEPAGE:p.7

# --- Codex Domain Cards ---
Analyze Weakness	CATEGORY:Special Ability	TYPE:DomainCard.Codex.Level1	DESC:Knowledge action to reveal an adversary's lowest threshold and difficulty score.	SOURCEPAGE:p.7
Force Barrier	CATEGORY:Special Ability	TYPE:DomainCard.Codex.Level1	DESC:Create a shimmering barrier at Close range that blocks physical projectiles for 1 round.	SOURCEPAGE:p.7

# --- Dread Domain Cards ---
Grasp of the Grave	CATEGORY:Special Ability	TYPE:DomainCard.Dread.Level1	DESC:Spectral hands emerge from the ground, Restraining a target within Far range.	SOURCEPAGE:p.7
Fearful Visage	CATEGORY:Special Ability	TYPE:DomainCard.Dread.Level1	DESC:Target within Close range must succeed on a Presence Reaction or flee to Far range.	SOURCEPAGE:p.7

# --- Grace Domain Cards ---
Inspiring Melody	CATEGORY:Special Ability	TYPE:DomainCard.Grace.Level1	DESC:All allies within Far range clear 1 Stress when you roll with Hope.	SOURCEPAGE:p.7
Charming Smile	CATEGORY:Special Ability	TYPE:DomainCard.Grace.Level1	DESC:Advantage on Presence rolls to de-escalate hostilities or persuade neutral NPCs.	SOURCEPAGE:p.7

# --- Midnight Domain Cards ---
Shadow Cloak	CATEGORY:Special Ability	TYPE:DomainCard.Midnight.Level1	DESC:Become Cloaked until you make an attack roll or enter bright illumination.	SOURCEPAGE:p.7
Poisoned Blade	CATEGORY:Special Ability	TYPE:DomainCard.Midnight.Level1	DESC:Apply toxin to your weapon; next hit deals +1d6 poison damage and inflicts 1 Stress.	SOURCEPAGE:p.7

# --- Sage Domain Cards ---
Healing Balm	CATEGORY:Special Ability	TYPE:DomainCard.Sage.Level1	DESC:Touch an ally to clear 1d4 Hit Points; costs 1 Hope.	SOURCEPAGE:p.7
Entangling Vines	CATEGORY:Special Ability	TYPE:DomainCard.Sage.Level1	DESC:Vines erupt in Close range; targets must make an Agility Reaction or become Restrained.	SOURCEPAGE:p.7

# --- Splendor Domain Cards ---
Beacon of Hope	CATEGORY:Special Ability	TYPE:DomainCard.Splendor.Level1	DESC:Allies within Close range gain +1 to all reaction rolls while in your light.	SOURCEPAGE:p.7
Radiant Smite	CATEGORY:Special Ability	TYPE:DomainCard.Splendor.Level1	DESC:Spend 1 Hope on a melee hit to add +1d8 radiant magic damage.	SOURCEPAGE:p.7

# --- Valor Domain Cards ---
Shield Bash	CATEGORY:Special Ability	TYPE:DomainCard.Valor.Level1	DESC:Melee strike with shield dealing d6 physical damage and pushing target to Close range.	SOURCEPAGE:p.7
Stand Together	CATEGORY:Special Ability	TYPE:DomainCard.Valor.Level1	DESC:While adjacent to an ally, both you and the ally gain +1 to your Evasion scores.	SOURCEPAGE:p.7
