# Ability Name	CATEGORY	TYPE	DESC	SOURCEPAGE
# --- Passive Features & Resistances ---
Swarm Tactics ~ Adversary	CATEGORY:Special Ability	TYPE:AdversaryFeature	DESC:Gain +1 to attack rolls for each allied minion within Melee range of the target (max +3).	SOURCEPAGE:p.90
Brittle Bones ~ Adversary	CATEGORY:Special Ability	TYPE:AdversaryFeature	DESC:Immune to bleeding and poison, but takes +2 damage from blunt physical attacks.	SOURCEPAGE:p.90
Fanatical Devotion ~ Adversary	CATEGORY:Special Ability	TYPE:AdversaryFeature	DESC:Immune to fear and charm effects while an allied Leader is within Far range.	SOURCEPAGE:p.91
Pack Tactics ~ Adversary	CATEGORY:Special Ability	TYPE:AdversaryFeature	DESC:Gain +2 to attack rolls if another ally is in Melee with the target.	SOURCEPAGE:p.94
Undead Fortitude ~ Adversary	CATEGORY:Special Ability	TYPE:AdversaryFeature	DESC:When marked with lethal Minor or Major damage, roll a d6. On a 5+, remain at 1 HP instead.	SOURCEPAGE:p.95
Constructed Resilience ~ Adversary	CATEGORY:Special Ability	TYPE:AdversaryFeature	DESC:Immune to disease, poison, and mental effects.	SOURCEPAGE:p.97
Shadow Meld ~ Adversary	CATEGORY:Special Ability	TYPE:AdversaryFeature	DESC:Cloaked while in dim light or shadow; attacks from cloak deal +1d8 magic damage.	SOURCEPAGE:p.100
Regeneration ~ Adversary	CATEGORY:Special Ability	TYPE:AdversaryFeature	DESC:Clears 2 HP at the start of its spotlight unless it took acid or fire damage since its last turn.	SOURCEPAGE:p.101
Magic Immunity ~ Adversary	CATEGORY:Special Ability	TYPE:AdversaryFeature	DESC:Reduces all incoming magical damage by half.	SOURCEPAGE:p.106
Multiple Heads ~ Adversary	CATEGORY:Special Ability	TYPE:AdversaryFeature	DESC:Starts with 5 heads. When taking Severe damage, loses a head but grows two back on a Fear roll unless severed by fire.	SOURCEPAGE:p.107
Infernal Aura ~ Adversary	CATEGORY:Special Ability	TYPE:AdversaryFeature	DESC:Any creature starting its turn within Very Close range takes 1d6 fire damage.	SOURCEPAGE:p.110

# --- Reactions & Triggered Actions ---
Nimble Escape ~ Adversary	CATEGORY:Special Ability	TYPE:AdversaryReaction	DESC:Reaction: When missed by a melee attack, disengage and move to Close range without provoking attacks.	SOURCEPAGE:p.92
Skitter ~ Adversary	CATEGORY:Special Ability	TYPE:AdversaryReaction	DESC:Reaction: Spend 1 Fear when targeted by an attack to add +2 to Evasion against that attack.	SOURCEPAGE:p.90
Shield Ally ~ Adversary	CATEGORY:Special Ability	TYPE:AdversaryReaction	DESC:Reaction: Intercept an attack targeted at an adjacent ally, taking the damage instead.	SOURCEPAGE:p.97
Dirty Parry ~ Adversary	CATEGORY:Special Ability	TYPE:AdversaryReaction	DESC:Reaction: Spend 1 Fear to reduce physical damage by 1 severity step and deal 1 Stress to the attacker.	SOURCEPAGE:p.99
Tail Swipe ~ Adversary	CATEGORY:Special Ability	TYPE:AdversaryReaction	DESC:Reaction: When hit in Melee, spend 1 Fear to knock the attacker back to Close range and knock them prone.	SOURCEPAGE:p.104
Mist Escape ~ Adversary	CATEGORY:Special Ability	TYPE:AdversaryReaction	DESC:Reaction: When taking lethal damage, transform into mist and move to Far range instead of dying.	SOURCEPAGE:p.105
Reactive Snapping ~ Adversary	CATEGORY:Special Ability	TYPE:AdversaryReaction	DESC:Reaction: Spend 1 Fear when an adversary enters Melee range to immediately make a basic bite attack.	SOURCEPAGE:p.107

# --- Activated Action Moves (Fear Moves) ---
Hamstring ~ Adversary	CATEGORY:Special Ability	TYPE:AdversaryMove	DESC:Action (1 Fear): Attack a target in Melee. On hit, deal d8 physical damage and reduce target speed to Very Close.	SOURCEPAGE:p.94
Ambush Strike ~ Adversary	CATEGORY:Special Ability	TYPE:AdversaryMove	DESC:Action: Make an attack with advantage from hiding; deals double damage on a hit.	SOURCEPAGE:p.93
Relentless Advance ~ Adversary	CATEGORY:Special Ability	TYPE:AdversaryMove	DESC:Action (1 Fear): Move up to Close range and make two melee attacks against different targets.	SOURCEPAGE:p.95
Grasping Claws ~ Adversary	CATEGORY:Special Ability	TYPE:AdversaryMove	DESC:Action: Melee attack dealing d6 physical damage; target is Restrained until they succeed on an Agility Reaction (12).	SOURCEPAGE:p.95
Terrifying Roar ~ Adversary	CATEGORY:Special Ability	TYPE:AdversaryMove	DESC:Action (1 Fear): All PCs within Close range must succeed on a Presence Reaction (13) or mark 1 Stress.	SOURCEPAGE:p.96
Beak and Claw ~ Adversary	CATEGORY:Special Ability	TYPE:AdversaryMove	DESC:Action: Attack in Melee for 2d8 physical damage across two separate targets.	SOURCEPAGE:p.96
Sweeping Club ~ Adversary	CATEGORY:Special Ability	TYPE:AdversaryMove	DESC:Action (1 Fear): Attack all targets within Melee range for d10+4 physical damage.	SOURCEPAGE:p.98
Ground Slam ~ Adversary	CATEGORY:Special Ability	TYPE:AdversaryMove	DESC:Action (2 Fear): Slam ground; creatures within Close range must pass an Agility Reaction (13) or fall prone and take d8 damage.	SOURCEPAGE:p.98
Rally the Scoundrels ~ Adversary	CATEGORY:Special Ability	TYPE:AdversaryMove	DESC:Action (1 Fear): Grant all allied Minions and Skirmishers within Far range +1d4 to their next damage roll.	SOURCEPAGE:p.99
Draining Strike ~ Adversary	CATEGORY:Special Ability	TYPE:AdversaryMove	DESC:Action: Attack for d10 magic damage; caster clears 1 HP if damage is dealt.	SOURCEPAGE:p.100
Rend ~ Adversary	CATEGORY:Special Ability	TYPE:AdversaryMove	DESC:Action (1 Fear): If both claw attacks hit, deal an additional 2d6 physical damage and inflict bleeding.	SOURCEPAGE:p.101
Spike Volley ~ Adversary	CATEGORY:Special Ability	TYPE:AdversaryMove	DESC:Action (1 Fear): Launch tail spikes targeting up to 3 creatures within Far range for d8+2 physical damage each.	SOURCEPAGE:p.102
Toxic Sting ~ Adversary	CATEGORY:Special Ability	TYPE:AdversaryMove	DESC:Action: Melee sting attack dealing d10 physical + 1d6 poison damage; target marks 1 Stress.	SOURCEPAGE:p.102
Acid Breath ~ Adversary	CATEGORY:Special Ability	TYPE:AdversaryMove	DESC:Action (2 Fear): Close cone; Agility Reaction (16) or take 3d8 acid damage and mark 1 Stress.	SOURCEPAGE:p.104
Draconic Flight ~ Adversary	CATEGORY:Special Ability	TYPE:AdversaryMove	DESC:Action: Take flight, moving anywhere within Very Far range without provoking reactions.	SOURCEPAGE:p.104
Dominate Mind ~ Adversary	CATEGORY:Special Ability	TYPE:AdversaryMove	DESC:Action (2 Fear): Target within Close range must succeed on a Knowledge Reaction (17) or attack an ally on their next turn.	SOURCEPAGE:p.105
Blood Drain ~ Adversary	CATEGORY:Special Ability	TYPE:AdversaryMove	DESC:Action: Bite a Restrained or Charmed target for 2d10 magic damage and clear 2 HP.	SOURCEPAGE:p.105
Slow Field ~ Adversary	CATEGORY:Special Ability	TYPE:AdversaryMove	DESC:Action (1 Fear): Create a magical field within Close range; affected targets suffer disadvantage on Agility and Finesse rolls.	SOURCEPAGE:p.106
Crushing Fist ~ Adversary	CATEGORY:Special Ability	TYPE:AdversaryMove	DESC:Action: Melee strike dealing 2d12 physical damage and knocking target back to Close range.	SOURCEPAGE:p.106
Cataclysmic Breath ~ Adversary	CATEGORY:Special Ability	TYPE:AdversaryMove	DESC:Action (3 Fear): Far line of fire; Agility Reaction (19) or take 4d10 fire damage and mark 2 Stress.	SOURCEPAGE:p.110
Wing Buffet ~ Adversary	CATEGORY:Special Ability	TYPE:AdversaryMove	DESC:Action (1 Fear): Knock all targets in Close range prone and push them to Far range.	SOURCEPAGE:p.110
