# The nine alignments (SRD pp.21-22), Unaligned for the creatures that
# lack the capacity for rational thought (p.22), and None for a
# character who has not chosen one. Choosing is step 4 of character
# creation: "Choose your character's alignment from the options below,
# and note it on your character sheet" (p.21). Three things read it --
# the Sprite's Heart Sight (p.329), the protection Nondetection and the
# Ring of Mind Shielding give (pp.149, 238), and a sentient magic item's
# own alignment (pp.207-208). A creature's is suggested rather than
# fixed (p.188), which is why the creature kits offer one.

Lawful Good	SORTKEY:1a	ABB:LG	KEY:LG
Neutral Good	SORTKEY:1b	ABB:NG	KEY:NG
Chaotic Good	SORTKEY:1c	ABB:CG	KEY:CG
Lawful Neutral	SORTKEY:2a	ABB:LN	KEY:LN
Neutral	SORTKEY:2b	ABB:TN	KEY:TN
Chaotic Neutral	SORTKEY:2c	ABB:CN	KEY:CN
Lawful Evil	SORTKEY:3a	ABB:LE	KEY:LE
Neutral Evil	SORTKEY:3b	ABB:NE	KEY:NE
Chaotic Evil	SORTKEY:3c	ABB:CE	KEY:CE
Unaligned	SORTKEY:4	ABB:UA	KEY:UA
None	SORTKEY:5	ABB:None	KEY:None	VALIDFORDEITY:N	VALIDFORFOLLOWER:N
