# CVS $Revision: $ $Author: $ -- Sat Apr 19 00:14:10 2003 -- reformated by prettylst.pl v1.27 (build 277)
SOURCELONG:Fantasy Flight Games - Dragonstar - Guide to Galaxy|SOURCESHORT:GuideGalaxy|SOURCEWEB:http://www.fantasyflightgames.com/dragonstar.html

# SPELL.MOD generated from the old CLASSSPELL files
# Spell Name		Classes of caster
Break Enchantment.MOD	CLASSES:Paladin=5
Commune.MOD			CLASSES:Paladin=5
Dispel Evil.MOD		CLASSES:Paladin=5
Ethereal Juant.MOD	CLASSES:Paladin=5
Greater Command.MOD	CLASSES:Paladin=5
Raise Dead.MOD		CLASSES:Paladin=5
Righteous Might.MOD	CLASSES:Paladin=5
Spell Resistance.MOD	CLASSES:Paladin=5
Total Protection.MOD	CLASSES:Paladin=5
True Seeing.MOD		CLASSES:Paladin=5
