SOURCELONG:Inner Sea Magic	SOURCESHORT:ISM	SOURCEWEB:http://paizo.com/products/btpy8mfs?Pathfinder-Campaign-Setting-Inner-Sea-Magic	SOURCEDATE:2011-07
# Original Entry by: Andrew Wilson

Acadamae			KEY:Acadamae ~ Acadamy					CATEGORY:Special Ability	TYPE:MagicSchool	
Arcanamirium		KEY:Arcanamirium ~ Acadamy				CATEGORY:Special Ability	TYPE:MagicSchool	
Magaambya			KEY:Magaambya ~ Acadamy					CATEGORY:Special Ability	TYPE:MagicSchool	
Kintargo Opera House	KEY:Kintargo Opera House ~ Guild			CATEGORY:Special Ability	TYPE:MagicSchool	
Oenopion Fleshforges	KEY:Oenopion Fleshforges ~ Guild			CATEGORY:Special Ability	TYPE:MagicSchool	
Poisioner's Guild		KEY:Poisioner's Guild ~ Guild				CATEGORY:Special Ability	TYPE:MagicSchool	
White Grotto		KEY:White Grotto ~ Guild				CATEGORY:Special Ability	TYPE:MagicSchool	
Monastery			KEY:Monastery ~ Monastic Society			CATEGORY:Special Ability	TYPE:MagicSchool	
Citadel Enferac		KEY:Citadel Enferac ~ Secret Society		CATEGORY:Special Ability	TYPE:MagicSchool	
The Harrowed Society	KEY:The Harrowed Society ~ Secret Society		CATEGORY:Special Ability	TYPE:MagicSchool	
Crimson Citadel		KEY:Crimson Citadel ~ Secret Society		CATEGORY:Special Ability	TYPE:MagicSchool	

#
# End
#
