# CVS $Revision: $ $Author: $ -- Sun Aug 10 09:51:59 2008 -- reformated by prettylst.pl v1.38 (build 6887)
SOURCELONG:Curse of the Crimson Throne - Chapter 3: Escape From Old Korvosa	SOURCESHORT:CotCT:EfOK	SOURCEWEB:http://paizo.com/store/paizo/v5748btpy82t5	SOURCEDATE:2008-05


# Spell Name			Classes of caster
Animate Rope			CLASSES:Red Mantis Assassin=1
Cause Fear				CLASSES:Red Mantis Assassin=1
Change Self				CLASSES:Red Mantis Assassin=1
Darkvision				CLASSES:Red Mantis Assassin=1
Detect Magic			CLASSES:Red Mantis Assassin=1
Expeditious Retreat		CLASSES:Red Mantis Assassin=1
Feather Fall			CLASSES:Red Mantis Assassin=1
Ghost Sound				CLASSES:Red Mantis Assassin=1
Inflict Light Wounds		CLASSES:Red Mantis Assassin=1
Jump					CLASSES:Red Mantis Assassin=1
Magic Fang				CLASSES:Red Mantis Assassin=1
Obscurement				CLASSES:Red Mantis Assassin=1
Silent Image			CLASSES:Red Mantis Assassin=1
Spider Climb			CLASSES:Red Mantis Assassin=1
True Strike				CLASSES:Red Mantis Assassin=1

Alter Self				CLASSES:Red Mantis Assassin=2
Blur					CLASSES:Red Mantis Assassin=2
Cat’s Grace				CLASSES:Red Mantis Assassin=2
Darkness				CLASSES:Red Mantis Assassin=2
Fog Cloud				CLASSES:Red Mantis Assassin=2
Hold Person				CLASSES:Red Mantis Assassin=2
Inflict Moderate Wounds		CLASSES:Red Mantis Assassin=2
Invisibility			CLASSES:Red Mantis Assassin=2
Keen Edge				CLASSES:Red Mantis Assassin=2
Levitate				CLASSES:Red Mantis Assassin=2
Minor Image				CLASSES:Red Mantis Assassin=2
Scare					CLASSES:Red Mantis Assassin=2
See Invisibility			CLASSES:Red Mantis Assassin=2
Summon Swarm			CLASSES:Red Mantis Assassin=2

Clairaudience/Clairvoyance	CLASSES:Red Mantis Assassin=3
Deeper Darkness			CLASSES:Red Mantis Assassin=3
Fear					CLASSES:Red Mantis Assassin=3
Fly					CLASSES:Red Mantis Assassin=3
Gaseous Form			CLASSES:Red Mantis Assassin=3
Giant Vermin			CLASSES:Red Mantis Assassin=3
Inflict Serious Wounds		CLASSES:Red Mantis Assassin=3
Major Image				CLASSES:Red Mantis Assassin=3
Rage					CLASSES:Red Mantis Assassin=3
Scrying				CLASSES:Red Mantis Assassin=3

Dimension Door			CLASSES:Red Mantis Assassin=4
Improved Invisibility		CLASSES:Red Mantis Assassin=4
Inflict Critical Wounds		CLASSES:Red Mantis Assassin=4
Insect Plague			CLASSES:Red Mantis Assassin=4
Modify Memory			CLASSES:Red Mantis Assassin=4
Phantasmal Killer			CLASSES:Red Mantis Assassin=4
Polymorph Self			CLASSES:Red Mantis Assassin=4
Solid Fog				CLASSES:Red Mantis Assassin=4

Mark of Justice			CLASSES:Red Mantis Assassin=5
Nightmare				CLASSES:Red Mantis Assassin=5
Prying Eyes				CLASSES:Red Mantis Assassin=5
Slay Living				CLASSES:Red Mantis Assassin=5
Word of Recall			CLASSES:Red Mantis Assassin=5
