
# Display for Lashunta Race choice
Korasha	SUBRACE:Korasha	
Damaya	SUBRACE:Damaya	
Bleachling	SUBRACE:Bleachling
Feychild	SUBRACE:Feychild

#
SIZE ~ Tiny		SIZE:T
SIZE ~ Small	SIZE:S
SIZE ~ Medium	SIZE:M







Medium	REACH:5	FACE:5	
Large L	PREVAREQ:RaceIsLong,1
Large T	PREVAREQ:RaceIsLong,0









Hands ~ 01	HANDS:01	
Hands ~ 02	HANDS:02
Hands ~ 03	HANDS:03
Hands ~ 04	HANDS:04
Hands ~ 05	HANDS:05
Hands ~ 06	HANDS:06
Hands ~ 07	HANDS:07
Hands ~ 08	HANDS:08
Hands ~ 09	HANDS:09
Hands ~ 10	HANDS:10

