# CVS $Revision: $ $Author: $ -- Fri Jan 29 20:50:52 2016 -- reformated by PCGen PrettyLST v6.06.00
SOURCELONG:Blood of the Elements	SOURCESHORT:BOTE	SOURCEWEB:http://paizo.com/products/btpy978p?Pathfinder-Player-Companion-Blood-of-the-Elements	SOURCEDATE:2014-06
# ORIGINAL ENTRY: Gwen Thebich (evilpixie87)
# ORIGINAL ENTRY DATE: 4 April 2016

# Equipment Name						Type												Cost			Weight		Source Page					Quality and value															Special Property
Dead Air Vial							TYPE:Goods.Alchemical.Vial.Consumable				COST:200					SOURCEPAGE:p.19
Elemental Brine							TYPE:Goods.Alchemical.Flask.Consumable				COST:500		WT:1		SOURCEPAGE:p.25
Planar Alchemical Catalyst				TYPE:Goods.Alchemical.Consumable					COST:200		WT:2		SOURCEPAGE:p.21
Stagnant Fog Sack						TYPE:Goods.Alchemical.Consumable					COST:80			WT:1		SOURCEPAGE:p.19
Thunder Kettle							TYPE:Goods.Alchemical.Consumable					COST:275		WT:3		SOURCEPAGE:p.19

Emissary’s Sash							TYPE:Goods.Clothing.Resizable						COST:500		WT:3		SOURCEPAGE:p.27

Fireskin Elixir							TYPE:Goods.Drug.Consumable							COST:100					SOURCEPAGE:p.27				SPROP:Ingested; Addiction major, Fortitude DC 20; Effect 1 day; +10 alchemical bonus on Disguise checks to appear as an efreeti, –1 penalty on all saves; 1d2 Wis damage

Phlogiston Vial							TYPE:Magic.Wondrous.Consumable						COST:1000					SOURCEPAGE:p.23				SPROP:The vial is sealed with a brass cap and attached to a lightweight gold chain. When the chain is wrapped around a divine caster’s holy symbol, the saving throw DC of the next banishment or dismissal spell he casts on an outsider with the fire subtypeis increased by 4, and additionally, the caster gains a +2 alchemical bonus on the caster level check to overcome the creature’s spell resistance against the spell. If the spell is successful, the outsider leaves behind a small pile of magical ashes and the phlogiston vial cannot be used to banish outsiders again until the oil inside is replaced. If the ashes are collected and placed inside the vial, and the vial is used as an additional material component for a planar ally spell, the spell conjures the exact same outsider, provided the creature is a viable target of that spell. The owner of the vial receives a +4 bonus on her Charisma check to negotiate with the creature. The ashes are consumed after an agreement with the creature is made.
Lamp of Fiery Visions					TYPE:Magic.Wondrous									COST:22200		WT:1		SOURCEPAGE:p.30
Sandstorm Dust							TYPE:Magic.Wondrous									COST:9000		WT:1		SOURCEPAGE:p.30
Snowfall Orb							TYPE:Magic.Wondrous									COST:14000		WT:1		SOURCEPAGE:p.30
Windsong Lute							TYPE:Magic.Wondrous									COST:42500		WT:3		SOURCEPAGE:p.31
Wintertide Candle						TYPE:Magic.Wondrous.Consumable						COST:1500		WT:0.5		SOURCEPAGE:p.31
