# CVS $Revision: 1.1 $ $Author: darkon_turas $ -- Tue Jun 15 22:46:16 2002 -- reformated by prettylst.pl
SOURCE:FaNCC - Netbook of Chocolate
# Spell Name				School			Sub-School		Components		Casting Time		Range					Effect/Description									Effect Type										Duration							Save Info				Spell Resistance		Source Page		Descriptor (Sub School Info)
#--------------------------------------	-----------------------	-----------------------	-----------------------	-----------------------	---------------------------------------	---------------------------------------------------------------------------------------	---------------------------------------------------------------------------------------	---------------------------------------------------------------	---------------------------------------	-------------------------------	-----------------------	---------------------------------------
Biggy's Chocolaty Fingers		SCHOOL:Illusion		SUBSCHOOL:Phantasm	COMPS:S			CASTTIME:1 action	RANGE:Close				DESC:Subject must stop 1d4 rounds to lick his fingers				TARGETAREA:One creature									DURATION:1d4 rounds						SAVEINFO:Will Negates			SPELLRES:Yes			SOURCEPAGE:p.11		DESCRIPTOR:Mind-Affecting,Chocolate
Chocolate Feast				SCHOOL:Conjuration	SUBSCHOOL:Creation	COMPS:V S M F		CASTTIME:10 minutes	RANGE:Close				DESC:Feast of chocolate for 1 person/level cures and blesses				TARGETAREA:Feast for one creature/level							DURATION:1 hour +10 hours					SAVEINFO:None				SPELLRES:Yes (harmless)		SOURCEPAGE:p.11		DESCRIPTOR:Chocolate
Chocolate Shape				SCHOOL:Transmutation	SUBSCHOOL:None		COMPS:V S M		CASTTIME:1 action	RANGE:Touch				DESC:Sculpts chocolate blocks to suit you						TARGETAREA:One touched piece of chocolate no larget than 10 cu ft/level			DURATION:Instantaneous						SAVEINFO:Will Negates (object)		SPELLRES:Yes (object)		SOURCEPAGE:p.12		DESCRIPTOR:Chocolate
Chocolate Storm				SCHOOL:Evocation	SUBSCHOOL:None		COMPS:V S M		CASTTIME:1 action	RANGE:Medium				DESC:Burning shower of chocolate does 2d4 dmg/rd and hampers move and vision		TARGETAREA:Cylinder (up to 30'r and up to 20 ft high)					DURATION:1 round/level						SAVEINFO:Reflex Partial			SPELLRES:Yes			SOURCEPAGE:p.12		DESCRIPTOR:Chocolate
Chocolate to Earwax			SCHOOL:Transmutation	SUBSCHOOL:None		COMPS:S M		CASTTIME:1 action	RANGE:Close				DESC:1 lb. of chocolate/level turned into disgusting matter				TARGETAREA:One pound of chocolate per level						DURATION:Instantaneous						SAVEINFO:Reflex Negates (object)	SPELLRES:No			SOURCEPAGE:p.12		DESCRIPTOR:Chocolate
Curse of the Chocolate Maniac		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	COMPS:V S M		CASTTIME:1 action	RANGE:Touch				DESC:Victim can only eat chocolate or starve						TARGETAREA:Creature touched								DURATION:Permanent						SAVEINFO:Will Negates			SPELLRES:Yes			SOURCEPAGE:p.12		DESCRIPTOR:Chocolate
Delicious Aroma				SCHOOL:Transmutation	SUBSCHOOL:None		COMPS:V S		CASTTIME:1 action	RANGE:Close				DESC:Subject distracted for 1d10 rounds						TARGETAREA:One creature									DURATION:1d10 rounds						SAVEINFO:Will Negates			SPELLRES:No			SOURCEPAGE:p.13		DESCRIPTOR:Chocolate
Flesh to Chocolate			SCHOOL:Transmutation	SUBSCHOOL:None		COMPS:V S M		CASTTIME:1 action	RANGE:Medium				DESC:Turns subject creature into chocolate statue					TARGETAREA:One creature									DURATION:Instantaneous						SAVEINFO:Fortitude Negates		SPELLRES:Yes			SOURCEPAGE:p.13		DESCRIPTOR:Chocolate
Minute Meteor Suprises			SCHOOL:Evocation	SUBSCHOOL:None		COMPS:V S M F		CASTTIME:1 action	RANGE:Long				DESC:1 exploding missle/level for 1d4 dmg each					TARGETAREA:One target per meteor							DURATION:1 round/level						SAVEINFO:None				SPELLRES:Yes			SOURCEPAGE:p.13		DESCRIPTOR:Chocolate
Pass Chocolate ("Chocolate Yawn")	SCHOOL:Transmutation	SUBSCHOOL:None		COMPS:V S M		CASTTIME:1 action	RANGE:Close				DESC:Subject rorrable sick for 1 rd/level						TARGETAREA:One living creature								DURATION:1 round/level						SAVEINFO:Fortitude Negates		SPELLRES:Yes			SOURCEPAGE:p.13		DESCRIPTOR:Chocolate
Remove Chocolate Sickness		SCHOOL:Conjuration	SUBSCHOOL:Healing	COMPS:V S		CASTTIME:1 action	RANGE:Touch				DESC:Cures any illness from injesting cacao or chocolate				TARGETAREA:Creature touched								DURATION:Instantaneous						SAVEINFO:Fortitude Negates (harmless)	SPELLRES:Yes (Harmless)		SOURCEPAGE:p.14		DESCRIPTOR:Chocolate
Satiate Ravenous Monster		SCHOOL:Illusion		SUBSCHOOL:Phantasm	COMPS:V S M		CASTTIME:1 action	RANGE:Close				DESC:Calms monster's ravening hunger							TARGETAREA:One ravenous creature							DURATION:1 minute/level						SAVEINFO:Will Negates			SPELLRES:Yes			SOURCEPAGE:p.14		DESCRIPTOR:Mind-Affecting,Chocolate
