# CVS $Revision: $ $Author: $ -- Sun Dec 21 20:59:26 2008 -- reformated by prettylst.pl v1.38 (build 7302)
SOURCELONG:Elements of Magic (Revised)	SOURCESHORT:EOM	SOURCEWEB:http://www.enworld.org/index.php?page=enpublishing




###Block: Boons ---------------------------------------------------------------------------
#Block: Minor Boons
# Ability Name			Output Name				Category of Ability	Type				Visible		Required Vision			Prohibited Vision				Special ABility			Description							Stackable?	Multiple?	Choose							Add 												Bonus to Ability Pool			Save checks bonus					Combat bonus		Bonus to skill rank	Vision			Source Page
Bonus Feat									CATEGORY:Magical Boon	TYPE:Minor Boon		VISIBLE:YES																		DESC:Boo							STACK:YES	MULT:YES	CHOOSE:NOCHOICE						ADD:ABILITY|FEAT|NORMAL|TYPE.Metamagic,TYPE.ItemCreation,TYPE.Tradition																										SOURCEPAGE:1
Resist Fear									CATEGORY:Magical Boon	TYPE:Minor Boon		VISIBLE:YES													SAB:Resist Fear (Su)		DESC:Boo									MULT:NO																																														SOURCEPAGE:1
Animal Speak								CATEGORY:Magical Boon	TYPE:Minor Boon		VISIBLE:YES													SAB:Animal Speak, %CHOICE	DESC:Boo									MULT:YES	CHOOSE:RACE|RACETYPE=Animal																																									SOURCEPAGE:1
Magically Empowered							CATEGORY:Magical Boon	TYPE:Minor Boon		VISIBLE:YES																		DESC:Boo									MULT:YES	CHOOSE:SKILLSNAMED|TYPE.Strength|TYPE.Dexterity																														BONUS:SKILLRANK|LIST|3					SOURCEPAGE:1
Minor Energy Resistance							CATEGORY:Magical Boon	TYPE:Minor Boon		VISIBLE:YES																		DESC:Boo									MULT:YES	CHOOSE:NOCHOICE																																											SOURCEPAGE:1



#Block: Moderate Boons
Uncanny Vision								CATEGORY:Magical Boon	TYPE:Moderate Boon									!PREVISION:1,Darkvision																STACK:YES	MULT:YES	CHOOSE:FEATADD|TYPE.BonusVision																																								SOURCEPAGE:1



Uncanny Vision 1			OUTPUTNAME:Special Sight	CATEGORY:FEAT		TYPE:Hidden.BonusVision	VISIBLE:NO							!PREVISION:2,Low-Light,Darkvision																																																											VISION:Low-Light		SOURCEPAGE:1
Uncanny Vision 2			OUTPUTNAME:Special Sight	CATEGORY:FEAT		TYPE:Hidden.BonusVision	VISIBLE:NO		PREVISION:1,Low-Light																																																																		VISION:Darkvision (30')	SOURCEPAGE:1
Uncanny Vision 3			OUTPUTNAME:Special Sight	CATEGORY:FEAT		TYPE:Hidden.BonusVision	VISIBLE:NO		PREVISION:1,Darkvision=30																																																																	VISION:Darkvision (30')	SOURCEPAGE:1

Two Minor Boons								CATEGORY:Magical Boon	TYPE:Moderate Boon	VISIBLE:YES													SAB:Animagus (Sp)			DESC:Foo																															BONUS:ABILITYPOOL|Minor Boon|2																				SOURCEPAGE:1


Trackless Step (Su)							CATEGORY:Magical Boon	TYPE:Moderate Boon	VISIBLE:YES													SAB:Trackless Step (Su)		DESC:Foo									MULT:NO																																														SOURCEPAGE:1
Magical Protection							CATEGORY:Magical Boon	TYPE:Moderate Boon	VISIBLE:YES																		DESC:Choose Intelligence, Wisdom, or Charisma.	STACK:NO	MULT:YES									ADD:FEAT|Magical Protection																																	SOURCEPAGE:1




#Block: Major Boons
Magical Protection ~ INT						CATEGORY:MagicalBoon	TYPE:Major Boon		VISIBLE:DISPLAY																																																							BONUS:CHECKS|ALL|INT|TYPE=Resistance													SOURCEPAGE:1
Magical Protection ~ WIS						CATEGORY:MagicalBoon	TYPE:Major Boon		VISIBLE:DISPLAY																																																							BONUS:CHECKS|ALL|WIS|TYPE=Resistance													SOURCEPAGE:1
Magical Protection ~ CHA						CATEGORY:MagicalBoon	TYPE:Major Boon		VISIBLE:DISPLAY																																																							BONUS:CHECKS|ALL|CHA|TYPE=Resistance													SOURCEPAGE:1
Magical Defenses ~ INT							CATEGORY:MagicalBoon	TYPE:Major Boon		VISIBLE:DISPLAY																																																														BONUS:COMBAT|AC|INT									SOURCEPAGE:1
Magical Defenses ~ WIS							CATEGORY:MagicalBoon	TYPE:Major Boon		VISIBLE:DISPLAY																																																														BONUS:COMBAT|AC|WIS									SOURCEPAGE:1
Magical Defenses ~ CHA							CATEGORY:MagicalBoon	TYPE:Major Boon		VISIBLE:DISPLAY																																																														BONUS:COMBAT|AC|CHA									SOURCEPAGE:1


###Block: Spell Lists
# Ability Name			Category of Ability	Type						Description	Source Page
Abjure Water			CATEGORY:Spell Lists	TYPE:Abjure.Water				DESC:Foo	SOURCEPAGE:1
Abjure Fire				CATEGORY:Spell Lists	TYPE:Abjure.Fire				DESC:Foo	SOURCEPAGE:1
Abjure Earth			CATEGORY:Spell Lists	TYPE:Abjure.Earth				DESC:Foo	SOURCEPAGE:1
Abjure Air				CATEGORY:Spell Lists	TYPE:Abjure.Air				DESC:Foo	SOURCEPAGE:1
Abjure Death			CATEGORY:Spell Lists	TYPE:Abjure.Death				DESC:Foo	SOURCEPAGE:1
Abjure Life				CATEGORY:Spell Lists	TYPE:Abjure.Life				DESC:Foo	SOURCEPAGE:1
Abjure Lava				CATEGORY:Spell Lists	TYPE:Abjure.Lava				DESC:Foo	SOURCEPAGE:1
Abjure Lightning			CATEGORY:Spell Lists	TYPE:Abjure.Lightning			DESC:Foo	SOURCEPAGE:1
Abjure Mist				CATEGORY:Spell Lists	TYPE:Abjure.Mist				DESC:Foo	SOURCEPAGE:1
Abjure Ooze				CATEGORY:Spell Lists	TYPE:Abjure.Ooze				DESC:Foo	SOURCEPAGE:1
Abjure Acid				CATEGORY:Spell Lists	TYPE:Abjure.Acid				DESC:Foo	SOURCEPAGE:1
Abjure Metal			CATEGORY:Spell Lists	TYPE:Abjure.Metal				DESC:Foo	SOURCEPAGE:1
Abjure Shadow			CATEGORY:Spell Lists	TYPE:Abjure.Shadow			DESC:Foo	SOURCEPAGE:1
Abjure Void				CATEGORY:Spell Lists	TYPE:Abjure.Void				DESC:Foo	SOURCEPAGE:1
Abjure Crystal			CATEGORY:Spell Lists	TYPE:Abjure.Crystal			DESC:Foo	SOURCEPAGE:1
Abjure Ice				CATEGORY:Spell Lists	TYPE:Abjure.Ice				DESC:Foo	SOURCEPAGE:1
Abjure Light			CATEGORY:Spell Lists	TYPE:Abjure.Light				DESC:Foo	SOURCEPAGE:1
Abjure Sound			CATEGORY:Spell Lists	TYPE:Abjure.Sound				DESC:Foo	SOURCEPAGE:1
Abjure Force			CATEGORY:Spell Lists	TYPE:Abjure.Force				DESC:Foo	SOURCEPAGE:1
Abjure Nature			CATEGORY:Spell Lists	TYPE:Abjure.Nature			DESC:Foo	SOURCEPAGE:1
Abjure Space			CATEGORY:Spell Lists	TYPE:Abjure.Space				DESC:Foo	SOURCEPAGE:1
Abjure Time				CATEGORY:Spell Lists	TYPE:Abjure.Time				DESC:Foo	SOURCEPAGE:1
Abjure Aberration			CATEGORY:Spell Lists	TYPE:Abjure.Aberration			DESC:Foo	SOURCEPAGE:1
Abjure Animal			CATEGORY:Spell Lists	TYPE:Abjure.Animal			DESC:Foo	SOURCEPAGE:1
Abjure Construct			CATEGORY:Spell Lists	TYPE:Abjure.Construct			DESC:Foo	SOURCEPAGE:1
Abjure Dragon			CATEGORY:Spell Lists	TYPE:Abjure.Dragon			DESC:Foo	SOURCEPAGE:1
Abjure Elemental			CATEGORY:Spell Lists	TYPE:Abjure.Elemental			DESC:Foo	SOURCEPAGE:1
Abjure Fey				CATEGORY:Spell Lists	TYPE:Abjure.Fey				DESC:Foo	SOURCEPAGE:1
Abjure Giant			CATEGORY:Spell Lists	TYPE:Abjure.Giant				DESC:Foo	SOURCEPAGE:1
Abjure Humanoid			CATEGORY:Spell Lists	TYPE:Abjure.Humanoid			DESC:Foo	SOURCEPAGE:1
Abjure Magical Beast		CATEGORY:Spell Lists	TYPE:Abjure.Magical Beast		DESC:Foo	SOURCEPAGE:1
Abjure Monstrous Humanoid	CATEGORY:Spell Lists	TYPE:Abjure.Monstrous Humanoid	DESC:Foo	SOURCEPAGE:1
Abjure Outsider			CATEGORY:Spell Lists	TYPE:Abjure.Outsider			DESC:Foo	SOURCEPAGE:1
Abjure Plant			CATEGORY:Spell Lists	TYPE:Abjure.Plant				DESC:Foo	SOURCEPAGE:1
Abjure Undead			CATEGORY:Spell Lists	TYPE:Abjure.Undead			DESC:Foo	SOURCEPAGE:1
Abjure Vermin			CATEGORY:Spell Lists	TYPE:Abjure.Vermin			DESC:Foo	SOURCEPAGE:1
Abjure Good				CATEGORY:Spell Lists	TYPE:Abjure.Good				DESC:Foo	SOURCEPAGE:1
Abjure Law				CATEGORY:Spell Lists	TYPE:Abjure.Law				DESC:Foo	SOURCEPAGE:1
