# CVS $Revision: 12957 $ $Author: jbaril $ -- Sun Jul  6 20:02:09 2014 -- reformated by prettylst.pl v1.51 (build 23662)
SOURCELONG:Advanced Class Guide	SOURCESHORT:ACG	SOURCEWEB:http://paizo.com/products/btpy92zi	SOURCEDATE:2014-08
# Original Entry by: Stefan Radermacher

# Bloodrager Spells
# Spell Name			Classes of caster
Break.MOD				CLASSES:Bloodrager=1
Burning Hands.MOD			CLASSES:Bloodrager=1
Cause Fear.MOD			CLASSES:Bloodrager=1
Chill Touch.MOD			CLASSES:Bloodrager=1
Color Spray.MOD			CLASSES:Bloodrager=1
Corrosive Touch.MOD		CLASSES:Bloodrager=1
Ear-Piercing Scream.MOD		CLASSES:Bloodrager=1
Endure Elements.MOD		CLASSES:Bloodrager=1
Enlarge Person.MOD		CLASSES:Bloodrager=1
Expeditious Retreat.MOD		CLASSES:Bloodrager=1
Feather Fall.MOD			CLASSES:Bloodrager=1
Flare Burst.MOD			CLASSES:Bloodrager=1
Frostbite.MOD			CLASSES:Bloodrager=1
Hydraulic Push.MOD		CLASSES:Bloodrager=1
Icicle Dagger.MOD			CLASSES:Bloodrager=1
Jump.MOD				CLASSES:Bloodrager=1
Mage Armor.MOD			CLASSES:Bloodrager=1
Magic Missile.MOD			CLASSES:Bloodrager=1
Magic Weapon.MOD			CLASSES:Bloodrager=1
Marid's Mastery.MOD		CLASSES:Bloodrager=1
Mirror Strike.MOD			CLASSES:Bloodrager=1
Mount.MOD				CLASSES:Bloodrager=1
Mudball.MOD				CLASSES:Bloodrager=1
Protection from Chaos.MOD	CLASSES:Bloodrager=1
Protection from Evil.MOD	CLASSES:Bloodrager=1
Protection from Good.MOD	CLASSES:Bloodrager=1
Protection from Law.MOD		CLASSES:Bloodrager=1
Ray of Enfeeblement.MOD		CLASSES:Bloodrager=1
Reduce Person.MOD			CLASSES:Bloodrager=1
Returning Weapon.MOD		CLASSES:Bloodrager=1
Shield.MOD				CLASSES:Bloodrager=1
Shock Shield.MOD			CLASSES:Bloodrager=1
Shocking Grasp.MOD		CLASSES:Bloodrager=1
Stone Fist.MOD			CLASSES:Bloodrager=1
Stone Shield.MOD			CLASSES:Bloodrager=1
Strong Wings.MOD			CLASSES:Bloodrager=1
Touch of Combustion.MOD		CLASSES:Bloodrager=1
Touch of Gracelessness.MOD	CLASSES:Bloodrager=1
Touch of The Sea.MOD		CLASSES:Bloodrager=1
True Strike.MOD			CLASSES:Bloodrager=1
Unerring Weapon.MOD		CLASSES:Bloodrager=1
Warding Weapon.MOD		CLASSES:Bloodrager=1
