
SOURCELONG:Advanced Class Guide	SOURCESHORT:ACG	SOURCEWEB:http://paizo.com/products/btpy92zi	SOURCEDATE:2014-08
# Original Entry by: Mark Means and Douglas Limmer

# COMMENT: Can't seem to get mastervar to work in 6.04
#      Wrong number of arguments error when companion loaded

FOLLOWER:HunterAnimalCompanionLVL=1		TYPE:Animal Companion	AUTO:FEAT|Outflank|PREABILITY:1,CATEGORY=Special Ability,Hunter Precise Companion Feat ~ Outflank
#	BONUS:VAR|BonusTricks|mastervar("HunterBonusTricks")
#	BONUS:ABILITYPOOL|Hunter Animal Focus|mastervar("HunterAnimalFocusACPool")

FOLLOWER:HunterBonusTricks=1	TYPE:Animal Companion	BONUS:VAR|BonusTricks|1
FOLLOWER:HunterBonusTricks=2	TYPE:Animal Companion	BONUS:VAR|BonusTricks|1
FOLLOWER:HunterBonusTricks=3	TYPE:Animal Companion	BONUS:VAR|BonusTricks|1

FOLLOWER:HunterAnimalFocusACPool=1	TYPE:Animal Companion	BONUS:ABILITYPOOL|Hunter Animal Focus|1
FOLLOWER:HunterAnimalFocusACPool=2	TYPE:Animal Companion	BONUS:ABILITYPOOL|Hunter Animal Focus|1

###Block: Spirit Animal Abilities
FOLLOWER:SpiritAnimalLVL=3			TYPE:Familiar	ABILITY:Special Ability|AUTOMATIC|Spirit Animal ~ Deliver Touch Spells
FOLLOWER:ShamanBattleSpiritAnimal=1		TYPE:Familiar	ABILITY:Special Ability|AUTOMATIC|Spirit Animal ~ Battle
FOLLOWER:ShamanBonesSpiritAnimal=1		TYPE:Familiar	ABILITY:Special Ability|AUTOMATIC|Spirit Animal ~ Bones
FOLLOWER:ShamanFlameSpiritAnimal=1		TYPE:Familiar	ABILITY:Special Ability|AUTOMATIC|Spirit Animal ~ Flame
FOLLOWER:ShamanHeavensSpiritAnimal=1	TYPE:Familiar	ABILITY:Special Ability|AUTOMATIC|Spirit Animal ~ Heavens
FOLLOWER:ShamanLifeSpiritAnimal=1		TYPE:Familiar	ABILITY:Special Ability|AUTOMATIC|Spirit Animal ~ Life
FOLLOWER:ShamanLoreSpiritAnimal=1		TYPE:Familiar	ABILITY:Special Ability|AUTOMATIC|Spirit Animal ~ Lore
FOLLOWER:ShamanNatureSpiritAnimal=1		TYPE:Familiar	ABILITY:Special Ability|AUTOMATIC|Spirit Animal ~ Nature
FOLLOWER:ShamanStoneSpiritAnimal=1		TYPE:Familiar	ABILITY:Special Ability|AUTOMATIC|Spirit Animal ~ Stone
FOLLOWER:ShamanWavesSpiritAnimal=1		TYPE:Familiar	ABILITY:Special Ability|AUTOMATIC|Spirit Animal ~ Waves
FOLLOWER:ShamanWindSpiritAnimal=1		TYPE:Familiar	ABILITY:Special Ability|AUTOMATIC|Spirit Animal ~ Wind

#
# End
#

