# CVS $Revision$ $Author$ -- Tue Aug 26 12:57:31 2008 -- reformated by prettylst.pl v1.38 (build 7233)
SOURCELONG:Mongoose Publishing - Quintessential Ranger	SOURCESHORT:QR	SOURCEWEB:http://mongoosepublishing.com	SOURCEDATE:2003-01

# Modifier Name	Unique Key	Visible
Ignore this		KEY:WOOD	VISIBLE:NO
Ignore this		KEY:STEEL	VISIBLE:NO

Ignore this		KEY:PLUS1W	VISIBLE:NO
Ignore this		KEY:PLUS1A	VISIBLE:NO
Ignore this		KEY:PLUS1S	VISIBLE:NO
Ignore this		KEY:PLUS2W	VISIBLE:NO
Ignore this		KEY:PLUS2A	VISIBLE:NO
Ignore this		KEY:PLUS2S	VISIBLE:NO
Ignore this		KEY:PLUS3W	VISIBLE:NO
Ignore this		KEY:PLUS3A	VISIBLE:NO
Ignore this		KEY:PLUS3S	VISIBLE:NO
Ignore this		KEY:PLUS4W	VISIBLE:NO
Ignore this		KEY:PLUS4A	VISIBLE:NO
Ignore this		KEY:PLUS4S	VISIBLE:NO
Ignore this		KEY:PLUS5W	VISIBLE:NO
Ignore this		KEY:PLUS5A	VISIBLE:NO
Ignore this		KEY:PLUS5S	VISIBLE:NO

#
##EOF
#
