# CVS $Revision: $ $Author: $ -- Sun Dec 18 02:15:00 2011 -- reformated by prettylst.pl v1.39 (build )

# ORIGINAL ENTRY: Stefan Radermacher, Eric Smith (Maredudd), and Douglas Limmer
# ORIGINAL ENTRY DATE: Unknown

###Block: Magus ability categories
# Ability Category			Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object		Type of Object				Plural description for UI	Display Location
ABILITYCATEGORY:Magus Arcana		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:MagusArcana				PLURAL:Magus Arcana		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Magus Bonus Feat	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:Combat.ItemCreation.Metamagic	PLURAL:Magus Bonus Feats	DISPLAYLOCATION:Feats

###Block: Summoner/Eidolon ability categories
# Ability Category				Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object		Type of Object		Plural description for UI		Display Location
ABILITYCATEGORY:Eidolon Aquatic Evolution	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:EvolutionAquatic	PLURAL:Eidolon Aquatic Evolutions	DISPLAYLOCATION:Class Abilities

###Block: Cleric Archetype ability categories
# Ability Category				Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object		Type of Object		Plural description for UI		Display Location
ABILITYCATEGORY:Undead Lord Bonus Feat	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:UndeadLordBonus	PLURAL:Undead Lord Bonus Feats	DISPLAYLOCATION:Feats
ABILITYCATEGORY:Domain Secret			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:DomainSecret		PLURAL:Domain Secrets			DISPLAYLOCATION:Class Abilities

###Block: Versatile Channeler Feat Choice
ABILITYCATEGORY:Versatile Channeler		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:VersatileChanneler	PLURAL:Versatile Channeler		DISPLAYLOCATION:Feats

###Block: Variant Channeling ability category
ABILITYCATEGORY:Variant Channeling		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:VariantChanneling	PLURAL:Variant Channeling		DISPLAYLOCATION:Class Abilities

#
# End
#
