# CVS $Revision: $ $Author: $ -- Thu Jan 20 15:11:32 2005 -- reformated by prettylst.pl v1.34 (build 455)
SOURCELONG:Liber Mechanika|SOURCESHORT:LM|SOURCEWEB:http://www.ironkingdoms.com
#Original Entry by: Rax the Grey
#Copied Calloused Hands, Mechanikal Aptitude, Mechanikal Secrets, Mechanikal Speciality, Quick Fix, Rugged Mechanika, & Union Steamo from IKCG

##Block: New Feats
# Feat Name					Output Name						Type					Required AL		Req. Att.	Required Class			Required Deity	!PREDEITY								PREDOMAIN		Required Feat														Required Gender	Multiple Requirements																	Required Race	Required Skill												Req. Known Spell		Req. Spell Type				Required Stat				Special Ability																																			Spells				Stackable?	Multiple?	Choose																						Automaticaly Gained Armor Prof.	Virtual Feat									Combat bonus																	BONUS:DC		Bonus to skill																	Weapon prof. bonus			Class Skill			Source Page			Temporary effect description											List of Class Spells by Level
Calloused Hands											TYPE:General																																																																						PRESKILL:1,Craft (Mechanika),Craft (Steam Engine)=6																PRESTAT:1,STR=13				SA:+2 Competency bonus to feats of strength involving hands	SA:Can make basic mechanika and steam engine skill checks w/o tools																																																																																																																				SOURCEPAGE:pg 22
## NOTE: Description for Craft Accumulator is missing from the book.  These stats are based on info from IKCG, uncomment to use the feat.
Craft Accumulator											TYPE:ItemCreation.ArcaneMechanik					PRECLASS:1,SPELLCASTER.Arcane=5,SPELLCASTER.Divine=5																						PRESKILL:2,Craft (Alchemy),Knowledge (Mechanika)=4			SOURCEPAGE:pg. 11
Craft Cerebral Matrix										TYPE:ItemCreation.ArcaneMechanik																									PREABILITY:1,CATEGORY=FEAT,Etch Rune Plate						PRESKILL:1,Craft (Mechanika)=6						SOURCEPAGE:pg. 23
Craft Cortex											TYPE:ItemCreation.ArcaneMechanik																									PREABILITY:2,CATEGORY=FEAT,Etch Rune Plate,Craft Cerebral Matrix		PRESKILL:2,Craft (Alchemy),Craft (Mechanika)=13			SOURCEPAGE:pg. 23
Craft Cyriss Tech											TYPE:ItemCreation								PRECLASS:1,Cleric=1		PREDEITY:1,Cyriss													PREABILITY:1,CATEGORY=FEAT,Craft Wondrous Item						PRESKILL:1,Craft (Clockwork)=6						SOURCEPAGE:pg. 23
Craft Mechanikal Construct									TYPE:ItemCreation.ArcaneMechanik																									PREABILITY:1,CATEGORY=FEAT,Craft Wondrous Item						PRESKILL:1,Craft (Mechanika)=8						SOURCEPAGE:pg. 24
Craft Mechanikal Prosthetic									TYPE:ItemCreation.ArcaneMechanik																									PREABILITY:1,CATEGORY=FEAT,Craft Wondrous Item						PRESKILL:2,Craft (Clockwork),Craft (Mechanika)=8			SOURCEPAGE:pg. 23
Craft Steam Armor											TYPE:ItemCreation																																						PRESKILL:2,Craft (Armorsmithing),Craft (Mechanika)=6			SOURCEPAGE:pg. 25
Etch Rune Plate											TYPE:ItemCreation																												PREABILITY:1,CATEGORY=FEAT,Scribe Scroll							PRESKILL:1,Craft (Alchemy)=4							SOURCEPAGE:pg. 25
Exotic Armor Proficiency (Steam Armor)							TYPE:General																												PREABILITY:1,CATEGORY=FEAT,Armor Proficiency (Heavy)				PRESKILL:1,Craft (Mechanika)=4						SOURCEPAGE:pg. 25
Mechanikal Aptitude										TYPE:General																																																																																																																																																																																																																BONUS:SKILL|Craft (Mechanika),Jack Handling|2																						SOURCEPAGE:pg. 25
Mechanikal Secrets										TYPE:Society																												PREABILITY:2,CATEGORY=FEAT,Craft Wondrous Item,Union Steamo																																			PRESKILL:1,Craft (Mechanika)=12	PRESKILL:1,Knowledge (Mechanika)=8																																																																																																																																																												SOURCEPAGE:pg. 25
Mechanikal Speciality										TYPE:General.ArcaneMechanik																										PREABILITY:1,CATEGORY=FEAT,Craft Wondrous Item																																						PRESKILL:2,Craft (Mechanika),PRESKILL:1,Knowledge (Mechanika)=8																																																														STACK:NO	MULT:YES	CHOOSE:Accumulators|Arcane Engines|Armor|Rods, Staves, and Wands|Steamjacks|Weapons																																																	BONUS:SKILL|Craft (Mechanika)|3|PREAPPLY:PC																						SOURCEPAGE:pg. 26		TEMPDESC:+3 bonus to all checks to craft or repair selected mechanika.
Quick Fix												TYPE:Society																												PREABILITY:1,CATEGORY=FEAT,Union Steamo																																							PRESKILL:1,Craft (Mechanika)=6																																																																																																																																																																		SOURCEPAGE:pg. 26
Rugged Mechanika											TYPE:General																												PREABILITY:1,CATEGORY=FEAT,Craft Wondrous Item																																						PRESKILL:1,Craft (Alchemy)=10	PRESKILL:2,Craft (Mechanika),Knowledge (Arcana)=14																																																																																																																																																										SOURCEPAGE:pg. 26
Union Steamo											TYPE:Society.ArcaneMechanik																										PREABILITY:1,CATEGORY=FEAT,Skill Focus (Craft (Mechanika))																																				PRESKILL:1,Craft (Mechanika)=4																																																																																																																																																																		SOURCEPAGE:pg. 26


##Block: Feat Descriptions
# Feat Name							Description
Calloused Hands.MOD					DESC:Can use bare hands in place of tools and has +2 bonus to strength checks with hands.
Craft Accumulator.MOD					DESC:You can craft arcane accumulators.
Craft Cerebral Matrix.MOD				DESC:You can craft cerebral matrices.
Craft Cortex.MOD						DESC:You can craft cortexes.
Craft Cyriss Tech.MOD					DESC:You can craft Cyriss-tech items.
Craft Mechanikal Construct.MOD			DESC:You can craft steamjacks, warjacks and other such constructs.
Craft Mechanikal Prosthetic.MOD			DESC:You can craft mechanikal prothetic limbs.
Craft Steam Armor.MOD					DESC:You can craft steam armor.
Etch Rune Plate.MOD					DESC:You can craft rune plates.
Exotic Armor Proficiency (Steam Armor).MOD	DESC:You are trained in the use of steam armor.
Mechanikal Aptitude.MOD					DESC:Gains a +2 bonus to both Craft (Mechanika) and Jack Handling Checks.
Mechanikal Secrets.MOD					DESC:Reduces the monetary cost of any mechanikal construct by 25%
Mechanikal Speciality.MOD				DESC:Has a +3 bonus to all skill checks related to crafting or repairing a specific type of mechanika. Choose from Accumulators; Arcane Engines; Armor; Rods, Staves, and Wands; Steamjacks; or Weapons.
Quick Fix.MOD						DESC:Take 10 as a standard action to repair any mechanika, but is temporary and only lasts a number of minutes equal to intellegence mod.
Rugged Mechanika.MOD					DESC:Any construct created by this character has a +2 Natural armor, +2 Hit Dice, and 10 extra hit points regardless of type.
Union Steamo.MOD						DESC:Gains various social benefits and obligations. Gets a 25% discount on mechanika or arcane mechanka componants.


##Block: MODed Feat
# Feat Name					Type
Craft Wondrous Item.MOD			TYPE:ItemCreation.ArcaneMechanik
Skill Focus.MOD				TYPE:General

