# Original Entry By: Andrew Maitland
# Entry Date: Feb 2013

# COMMENT: Bite Secondary?
Adaro	SOURCEPAGE:p.7
	CR:3	
	XP:800
	KIT:1|NE
	SIZE:M
	RACETYPE:Monstrous Humanoid
	RACESUBTYPE:Aquatic
	VISION:Blindsense (30')|Darkvision (60')|Low-Light Vision|Keen Scent
	BONUS:COMBAT|AC|2|TYPE=NaturalArmor
	MONSTERCLASS:Monstrous Humanoid:4
	MOVE:Walk,10,Swim,50
	BONUS:STAT|STR,DEX|6
	BONUS:STAT|CON|4
	BONUS:STAT|WIS,CHA|2
	NATURALATTACKS:Bite,Melee.Natural.Piercing,*1,1d6
	AUTO:LANG|Aquan|Common|Speak with Sharks
	ABILITY:Internal|AUTOMATIC|Default Traits ~ Adaro

Adherer	SOURCEPAGE:p.8
	CR:3
	XP:800
	KIT:1|LE
	SIZE:M
	RACETYPE:Monstrous Humanoid
	VISION:Darkvision (60')
	BONUS:COMBAT|AC|4|TYPE=NaturalArmor
	MONSTERCLASS:Monstrous Humanoid:4
	DR:5/-
	SR:14
	MOVE:Walk,30,Climb,10
	BONUS:STAT|STR|4
	BONUS:STAT|DEX|6
	BONUS:STAT|CON|4
	BONUS:STAT|INT|-6
	BONUS:STAT|WIS|2
	BONUS:STAT|CHA|0
	ABILITY:Internal|AUTOMATIC|Default Traits ~ Adherer
	NATURALATTACKS:Slam,Weapon.Natural.Bludgeoning,*2,1d6
	AUTO:LANG|Aklo

Adlet	SOURCEPAGE:p.9
	CR:10
	XP:9,600
	KIT:1|CN
	SIZE:M
	RACETYPE:Humanoid
	RACESUBTYPE:Adlet|Cold
	VISION:Low-Light Vision
	BONUS:COMBAT|AC|2|TYPE=Dodge	
	BONUS:COMBAT|AC|5|TYPE=NaturalArmor
	MONSTERCLASS:Humanoid:15
	BONUS:STAT|STR|8
	BONUS:STAT|DEX|16
	BONUS:STAT|CON|8
	BONUS:STAT|INT|2
	BONUS:STAT|WIS|6
	BONUS:STAT|CHA|2
	ABILITY:Internal|AUTOMATIC|Default Traits ~ Adlet
	MOVE:Walk,40
	NATURALATTACKS:Bite,Weapon.Melee.Piercing.Slashing.Bludgeoning,*1,1d6
	AUTO:LANG|Common|Adlet
# CODE WORK: Ahuizotl Natural Attack Tail has Reach 10'
Ahuizotl	SOURCEPAGE:p.10
	CR:6
	XP:2,400
	KIT:1|NE
	SIZE:L
	RACETYPE:Magical Beast
	RACESUBTYPE:Aquatic
	VISION:Darkvision (60')|Low-Light Vision
	BONUS:COMBAT|AC|7|TYPE=NaturalArmor
	MONSTERCLASS:Magical Beast:8
	MOVE:Walk,30,Swim,50
	BONUS:STAT|STR|10
	BONUS:STAT|DEX|6
	BONUS:STAT|CON|6
	BONUS:STAT|INT|-2
	BONUS:STAT|WIS|4
	BONUS:STAT|CHA|6
	ABILITY:Internal|AUTOMATIC|Default Traits ~ Ahuizotl
	NATURALATTACKS:Bite,Weapon.Melee.Piercing.Slashing.Bludgeoning,*1,2d6|Claw,Weapon.Melee.Piercing.Slashing.Bludgeoning,*2,1d8
	FACE:10
	REACH:5
	AUTO:LANG|Common

# CODE WORK: Bite attack 15-20 plus 4d6 cold and grab)
Akhlut	SOURCEPAGE:p.11
	CR:13
	XP:25,600
	KIT:1|TN
	SIZE:H
	RACETYPE:Magical Beast
	RACESUBTYPE:Cold|Shapechanger
	VISION:Darkvision (60')|Low-Light Vision
	BONUS:COMBAT|AC|1|TYPE=Dodge
	BONUS:COMBAT|AC|19|TYPE=NaturalArmor
	MONSTERCLASS:Magical Beast:18
	DR:15/magic
	MOVE:Walk,40,Swim,60
	BONUS:STAT|STR|20
	BONUS:STAT|DEX|4
	BONUS:STAT|CON|10
	BONUS:STAT|INT|-6
	BONUS:STAT|WIS|4
	BONUS:STAT|CHA|-4
	ABILITY:Internal|AUTOMATIC|Default Traits ~ Akhlut
	NATURALATTACKS:Bite,Melee.Weapon.Piercing,*1,4d8
	FACE:15
	REACH:10
	AUTO:LANG|Aquan (cannot speak)

Allip		SOURCEPAGE:p.12
	CR:3
	XP:800
	KIT:1|CE
	SIZE:M
	RACETYPE:Undead
	RACESUBTYPE:Incorporeal
	VISION:Darkvision (60')
	BONUS:COMBAT|AC|3|TYPE=Deflection
	MONSTERCLASS:Undead:4
	BONUS:STAT|DEX|2
	BONUS:STAT|CHA|6
	ABILITY:Internal|AUTOMATIC|Default Traits ~ Allip
	MOVE:Fly,30
	(perfect)
	AUTO:LANG|Aklo|Common
	NATURALATTACKS:Incorporeal Touch,Natural.Weapon.Melee,*1,1d4

Alraune		SOURCEPAGE:p.13
	CR:13
	XP:25,600
	KIT:1|NE
	SIZE:L
	RACETYPE:Plant
	VISION:Low-Light Vision
	BONUS:COMBAT|AC|17|TYPE=NaturalArmor
	MONSTERCLASS:Plant:19
	BONUS:STAT|STR|0
	BONUS:STAT|DEX|0
	BONUS:STAT|CON|0
	BONUS:STAT|INT|0
	BONUS:STAT|WIS|0
	BONUS:STAT|CHA|0
	ABILITY:Internal|AUTOMATIC|Default Traits ~ Alraune
	SR:24
	MOVE:Walk,40
	NATURALATTACKS:Vines,Natural.Weapon.Melee,*4,1d10
	FACE:10
	REACH:10
	AUTO:LANG|Aklo|Common|Elven|Sylvan

#Animal lord 14-15
Cat Lord		SOURCEPAGE:p.14-15
	CR:11
	XP:12,800
	KIT:1|NG
	SIZE:M
	RACETYPE:Outsider
	RACESUBTYPE:Native|Shapechanger
	VISION:Low-Light Vision
	BONUS:COMBAT|AC|3|TYPE=Armor
	BONUS:COMBAT|AC|1|TYPE=Deflection
	BONUS:COMBAT|AC|1|TYPE=Dodge
	BONUS:COMBAT|AC|4|TYPE=NaturalArmor
	MONSTERCLASS:Outsider:10
	BONUS:STAT|STR|10
	BONUS:STAT|DEX|14
	BONUS:STAT|CON|12
	BONUS:STAT|INT|2
	BONUS:STAT|WIS|8
	BONUS:STAT|CHA|4
	ABILITY:Internal|AUTOMATIC|Default Traits ~ Cat Lord
	DR:10/silver
	MOVE:Walk,30,Climb,20
	NATURALATTACKS:Bite,Melee.Natural.Weapon,*1,1d6|Claws,Melee.Natural.Weapon,*2,1d3
	AUTO:LANG|Common|Sylvan

Annis Hag	SOURCEPAGE:p.16
	CR:6
	XP:2,400
	KIT:1|CE
	SIZE:L
	RACETYPE:Monstrous Humanoid
	VISION:Darkvision (60')
	BONUS:COMBAT|AC|10|TYPE=NaturalArmor
	MONSTERCLASS:Monstrous Humanoid:7
	DR:5/bludgeoning
	SR:17
	MOVE:Walk,40
	BONUS:STAT|STR|14
	BONUS:STAT|DEX|2
	BONUS:STAT|CON|8
	BONUS:STAT|INT|2
	BONUS:STAT|WIS|2
	BONUS:STAT|CHA|0
	ABILITY:Internal|AUTOMATIC|Default Traits ~ Annis Hag
	NATURALATTACKS:Bite,Melee.Weapon.Natural,*1,1d6|Claws,Melee.Weapon.Natural,*2,1d6
	FACE:10
	REACH:10
