#  Sun Aug  5 21:24:58 2018 -- reformated by PCGen PrettyLST v6.06.00
# CVS $Revision: $ $Author: $ -- Fri Jun 17 21:51:56 2016 -- reformated by PCGen PrettyLST v6.06.00
# Created January, 2015 Tom Parker
# This file represents a conversion mechanism for items that were previously
# stand-alone tokens, but are now handled internally as FACT or FACTSET.
#
# This file does not need to be referenced by a set of data or game mode
# unless that data uses a data control file (DATACONTROL: in a PCC file)
#
# Once a dataset takes on the responsibility of a DATACONTROL file, then it
# MUST include these entries (or something near equivalent [additional
# SELECT-ability would be legal]) in one of the DATACONTROL files.

# This MUST be included if you enable the datacontrol file....
# Name				Dataformat			Required	Selectable		Visible	Displayname		Explanation
FACTDEF:SPELL|CompMaterial	DATAFORMAT:String							VISIBLE:YES
# Name				Dataformat			Required	Selectable		Visible	Displayname		Explanation
FACTDEF:ABILITY|AppliedName	DATAFORMAT:String							VISIBLE:YES

FACTDEF:CLASS|Abb			DATAFORMAT:String							VISIBLE:YES
FACTDEF:CLASS|ClassType		DATAFORMAT:String							VISIBLE:YES
FACTDEF:CLASS|SpellType		DATAFORMAT:String				SELECTABLE:YES	VISIBLE:YES

FACTDEF:DEITY|Symbol		DATAFORMAT:String							VISIBLE:YES
FACTDEF:DEITY|Worshippers	DATAFORMAT:String							VISIBLE:YES
FACTDEF:DEITY|Title		DATAFORMAT:String							VISIBLE:YES
FACTDEF:DEITY|Appearance	DATAFORMAT:String							VISIBLE:YES
FACTDEF:DEITY|Edicts		DATAFORMAT:String							VISIBLE:YES
FACTDEF:DEITY|Anathema		DATAFORMAT:String							VISIBLE:YES

FACTDEF:EQUIPMENT|RateOfFire	DATAFORMAT:String							VISIBLE:YES

FACTDEF:TEMPLATE|AppliedName	DATAFORMAT:String							VISIBLE:YES

FACTSETDEF:DEITY|Pantheon	DATAFORMAT:String				SELECTABLE:YES	VISIBLE:YES
FACTSETDEF:DEITY|Race		DATAFORMAT:String							VISIBLE:YES


# This is my attempt to implement the FACT system to replicate the deprecated PRETYPE to determine whether a given race is initially allowed traits
FACTDEF:RACE|IsPC			DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:IsPC	EXPLANATION:Determines whether a race is a PC to begin with.
FACTDEF:RACE|IsCompanion	DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:IsPC	EXPLANATION:Determines whether a race is a Companion to begin with.

FACTDEF:RACE|Hands		DATAFORMAT:Number		REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:IsPC	EXPLANATION:Determines base race ~ Hands.
FACTDEF:RACE|Legs			DATAFORMAT:Number		REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:IsPC	EXPLANATION:Determines base race ~ Legs.

FACTDEF:RACE|BaseMove_Walk	DATAFORMAT:Number		REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:IsPC	EXPLANATION:Determines base race ~ Movement Walk.
FACTDEF:RACE|BaseMove_Fly	DATAFORMAT:Number		REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:IsPC	EXPLANATION:Determines base race ~ Movement Fly.
FACTDEF:RACE|BaseMove_Climb	DATAFORMAT:Number		REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:IsPC	EXPLANATION:Determines base race ~ Movement Climb.
FACTDEF:RACE|BaseMove_Swim	DATAFORMAT:Number		REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:IsPC	EXPLANATION:Determines base race ~ Movement Swim.
FACTDEF:RACE|BaseMove_Burrow	DATAFORMAT:Number		REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:IsPC	EXPLANATION:Determines base race ~ Movement Burrow.

FACTDEF:ABILITY|IsPC		DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:IsPC	EXPLANATION:Determines whether a race is a PC to begin with.




FACTDEF:ABILITY|PFS		DATAFORMAT:String							VISIBLE:YES
FACTDEF:CLASS|PFS			DATAFORMAT:String							VISIBLE:YES
FACTDEF:DEITY|PFS			DATAFORMAT:String							VISIBLE:YES
FACTDEF:EQUIPMENT|PFS		DATAFORMAT:String							VISIBLE:YES
FACTDEF:RACE|PFS			DATAFORMAT:String							VISIBLE:YES
FACTDEF:TEMPLATE|PFS		DATAFORMAT:String							VISIBLE:YES



###Block: RACE "TYPE" replacement
# Currently we use PRERACETYPE - A CLASS tag only - to allow a changed creature RACETYPE to still access their original racial HD class.
# This transition aims to remove that reliance. Switching to a simple Boolean based upon the starting racetype "FACT"
# Name			Dataformat		Required	Selectable		Visible	Displayname			Explanation
FACTDEF:RACE|RACETYPE	DATAFORMAT:String	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:RaceType	EXPLANATION:Determines what the 'RACE TYPE' is.

#	FACTDEF:RACE|Aberration							DATAFORMAT:BOOLEAN	VISIBLE:YES	SELECTABLE:NO	REQUIRED:NO	DISPLAYNAME:Aberration							EXPLANATION:Determines whether the race started as - Aberration
#	FACTDEF:RACE|Animal								DATAFORMAT:BOOLEAN	VISIBLE:YES	SELECTABLE:NO	REQUIRED:NO	DISPLAYNAME:Animal							EXPLANATION:Determines whether the race started as - Animal
