#  Sun Aug  5 21:24:58 2018 -- reformated by PCGen PrettyLST v6.06.00

Fist

# Equipment Traits
# Modifier Name	Bonus to skill		Special Property																																																																																																																															Ability
Clumsy						SPROP:This armor's Dexterity modifier cap also applies to Reflex saves and to all Dexterity-based skill and ability checks that don't have the attack trait.																																																																																																							ABILITY:Trait|AUTOMATIC|Armor Trait ~ Clumsy
Fragile						SPROP:If fragile armor takes a Dent, it's automatically broken.
Noisy			BONUS:SKILL|Stealth|-1	SPROP:This armor's check penalty increases by 1 on Stealth checks.

# Weapon Traits - The traits a weapon has appear in this entry. Weapons can have the following traits.
Agile							SPROP:The multiple attack penalty you take on the second attack each turn with this weapon is -4 instead of -5, and -8 instead of -10 on the third and subsequent attacks in the turn.
Attached						SPROP:An attached weapon must be combined with another piece of gear in order to be used. The trait lists what type of item the weapon must be attached to. You must be wielding or wearing the item the weapon is attached to in order to attack with it. For example, shield spikes are attached to a shield, allowing you to attack with the spikes instead of a shield bash, but only if you're wielding the shield. An attached weapon is usually bolted onto or built into the item it's attached to, and typically an item can have only one weapon attached to it. An attached weapon can be removed from one item and attached to another with successful use of the Crafting skill. If an item is destroyed, its attached weapon can usually be salvaged.
Backstabber						SPROP:When you hit a flat-footed creature, this weapon deals 1 precision damage. The damage increases to 2 if the weapon is master quality or to 3 if it's legendary.
Backswing						SPROP:You can use this weapon's momentum from a miss to lead into your next attack. After missing with this weapon on your turn, you gain a +1 circumstance bonus to your next attack with this weapon before the end of your turn.
Charge						SPROP:If you moved at least 10 feet on the action before your attack, add a circumstance bonus to damage for that attack equal to the number of damage dice for the weapon.
Deadly						SPROP:On a critical hit, the weapon adds a weapon damage die of the listed size. This damage increases to two dice if the weapon is master quality and three dice if the weapon is legendary. For instance, a master-quality rapier deals 2d6 additional piercing damage on a critical hit.
Deadly d6						SPROP:On a critical hit, the weapon adds a weapon damage die of d8. This damage increases to two dice if the weapon is master quality and three dice if the weapon is legendary. For instance, a master-quality rapier deals 2d6 additional piercing damage on a critical hit.
Deadly d8						SPROP:On a critical hit, the weapon adds a weapon damage die of d8. This damage increases to two dice if the weapon is master quality and three dice if the weapon is legendary. For instance, a master-quality rapier deals 2d6 additional piercing damage on a critical hit.
Deadly d10						SPROP:On a critical hit, the weapon adds a weapon damage die of d8. This damage increases to two dice if the weapon is master quality and three dice if the weapon is legendary. For instance, a master-quality rapier deals 2d6 additional piercing damage on a critical hit.
Deadly d12						SPROP:On a critical hit, the weapon adds a weapon damage die of d8. This damage increases to two dice if the weapon is master quality and three dice if the weapon is legendary. For instance, a master-quality rapier deals 2d6 additional piercing damage on a critical hit.

Disarm						SPROP:You can use this weapon to Disarm with the Athletics skill even if you don't have a free hand. This uses the weapon's reach (if different from your own) and adds the weapon's item bonus to attack rolls (if any) as a bonus to the Athletics check. If you critically fail a check to Disarm using the weapon, you can drop the weapon to treat it as a normal failure. On a critical success, you still need a free hand if you want to take the item.
Dwarf							SPROP:People of the dwarf ancestry craft and use these weapons.
Elf							SPROP:People of the elf ancestry craft and use these weapons.
Fatal							SPROP:The fatal trait includes a die size. On a critical hit, all the weapon's damage dice increase to that die size instead of the normal dice, plus the weapon adds another die of damage of the listed size.
Fatal d6						SPROP:The fatal trait includes a die size. On a critical hit, all the weapon's damage dice increase to that die size instead of the normal dice, plus the weapon adds another die of damage of the listed size.
Fatal d8						SPROP:The fatal trait includes a die size. On a critical hit, all the weapon's damage dice increase to that die size instead of the normal dice, plus the weapon adds another die of damage of the listed size.
Fatal d10						SPROP:The fatal trait includes a die size. On a critical hit, all the weapon's damage dice increase to that die size instead of the normal dice, plus the weapon adds another die of damage of the listed size.
Fatal d12						SPROP:The fatal trait includes a die size. On a critical hit, all the weapon's damage dice increase to that die size instead of the normal dice, plus the weapon adds another die of damage of the listed size.


Finesse						SPROP:You can use your Dexterity modifier instead of your Strength modifier when making attack rolls with this melee weapon. You still use Strength when calculating damage.
Forceful						SPROP:This weapon becomes more dangerous when you build up momentum. When you attack with it more than once on your turn, the second attack adds a circumstance bonus to damage equal to the number of weapon damage dice, and each subsequent attack adds a circumstance bonus to damage equal to double the number of weapon damage dice.
Free-Hand						SPROP:This weapon doesn't take up your hand, usually because it is built into your armor. A free-hand weapon can't be Disarmed. You can use the hand covered by your free-hand weapon to wield other items, perform manipulate actions, and so forth. You can't attack with a free-hand weapon if you're wielding anything in that hand or using the hand for something else. When you're not wielding anything and not using the hand, you can use abilities that require you to have a hand free as well as those that require you to be wielding a weapon in that hand. Each of your hands can have only one free-hand weapon on it.
Gnome							SPROP:People of the gnome ancestry craft and use these weapons.
Goblin						SPROP:People of the goblin ancestry craft and use these weapons.
Halfling						SPROP:People of the halfling ancestry craft and use these weapons.
Monk							SPROP:Monks can use these weapons with their abilities that normally require unarmed attacks.
Nonlethal						SPROP:All attacks with this weapon are nonlethal (see page 294), and are used to knock creatures unconscious instead of kill them.
Orc							SPROP:People of the orc ancestry craft and use these weapons.
Parry							SPROP:This weapon can be used defensively to block attacks. While wielding this weapon, you can spend an action to position your weapon defensively, gaining a +1 circumstance bonus to AC until the start of your next turn.

Propulsive						SPROP:You add half your Strength modifier to damage rolls with a propulsive ranged weapon so long as your Strength modifier is not negative. If you have a negative Strength modifier, you add your full Strength modifier instead.
Reach							SPROP:This weapon is long and can be used to attack creatures up to 10 feet away instead of only adjacent creatures. For creatures that already have reach with the limb or limbs that wield the weapon, the weapon increases their reach by 5 feet.
Shove							SPROP:You can use this weapon to Shove with the Athletics skill even if you don't have a free hand. This uses the weapon's reach (if different from your own) and adds the weapon's item bonus to attack rolls (if any) as a bonus to the Athletics check. If you critically fail a check to Shove using the weapon, you can drop the weapon to treat the outcome as a normal failure.
Sweep							SPROP:This weapon makes wide sweeping or spinning attacks, making it easier to attack multiple enemies. When you attack with this weapon, you gain a +1 circumstance bonus to your attack roll if you already attempted an attack this turn against a creature other than the target of this attack.
Thrown						SPROP:You can throw this weapon as a ranged attack. A thrown weapon adds your Strength modifier to damage just like a melee weapon does. When this trait appears on a melee weapon, it also includes the range increment in feet. Ranged weapons with this trait use the range increment specified in the weapon's range entry.
Thrown 10						SPROP:You can throw this weapon as a ranged attack. A thrown weapon adds your Strength modifier to damage just like a melee weapon does. When this trait appears on a melee weapon, it also includes the range increment in feet. Ranged weapons with this trait use the range increment specified in the weapon's range entry.
Thrown 20						SPROP:You can throw this weapon as a ranged attack. A thrown weapon adds your Strength modifier to damage just like a melee weapon does. When this trait appears on a melee weapon, it also includes the range increment in feet. Ranged weapons with this trait use the range increment specified in the weapon's range entry.
Trip							SPROP:You can use this weapon to Trip with the Athletics skill even if you don't have a free hand. This uses the weapon's reach (if different from your own) and adds the weapon's item bonus to attack rolls (if any) as a bonus to the Athletics check. If you critically fail a check to Trip using the weapon, you can drop the weapon to treat the outcome as a normal failure.
Twin							SPROP:These weapons are used as a pair, each complementing the other. When you are wielding two of the same weapon with this trait and attack with one of them, if you already attacked with the other weapon this turn, you add a circumstance bonus to the damage roll equal to the weapon's number of damage dice. For instance, if you attacked with a twin weapon in your right hand with your first action, you would gain this bonus to damage when you attack with a matching twin weapon in your left hand for your second action. On your third action, an attack with either weapon would receive this bonus, since you'd already attacked with both. The weapons must be of the same type to benefit from this trait, but they don't need to be the same quality or have the same runes.
Two-Hand						SPROP:This weapon can be wielded with two hands. Doing so changes its weapon damage die to the indicated value. If this trait applies to a magic weapon, the extra weapon damage dice from it being a magic weapon also increase in size while it's being wielded with two hands.
Two-hand d8						SPROP:This weapon can be wielded with two hands. Doing so changes its weapon damage die to d8. If this trait applies to a magic weapon, the extra weapon damage dice from it being a magic weapon also increase in size while it's being wielded with two hands.
Two-hand d10						SPROP:This weapon can be wielded with two hands. Doing so changes its weapon damage die to d8. If this trait applies to a magic weapon, the extra weapon damage dice from it being a magic weapon also increase in size while it's being wielded with two hands.
