SOURCELONG:Eclipse - The Codex Persona	SOURCESHORT:Eclipse	SOURCEWEB:http://www.lulu.com/content/435647
#Original Entry: Andrew Maitland

CATEGORY=Special Ability|All Automatic Abilities.MOD	ABILITY:Internal Abilities|AUTOMATIC|SRD Feat Gain Bypass
SRD Feat Gain Bypass	CATEGORY:Internal Abilities	BONUS:ABILITYPOOL|FEAT|-(TL/3)	BONUS:ABILITYPOOL|FEAT|-1|PRERACE:1,Human	BONUS:ABILITYPOOL|FEAT|-1	BONUS:ABILITYPOOL|Character Points|6	BONUS:ABILITYPOOL|Character Points|6*(TL/3)	BONUS:ABILITYPOOL|Character Points|6|PRERACE:1,Human

# RSRD Skills - Ability conversion to make any skill that is purchased with 6 or more CP a Class Skill as per Eclipse


Make CSKILL ~ Appraise							CATEGORY:Internal	CSKILL:Appraise
Make CSKILL ~ Balance								CATEGORY:Internal	CSKILL:Balance
Make CSKILL ~ Bluff								CATEGORY:Internal	CSKILL:Bluff
Make CSKILL ~ Climb								CATEGORY:Internal	CSKILL:Climb
Make CSKILL ~ Control Shape							CATEGORY:Internal	CSKILL:Control Shape
Make CSKILL ~ Concentration							CATEGORY:Internal	CSKILL:Concentration
Make CSKILL ~ Craft (Alchemy)						CATEGORY:Internal	CSKILL:Craft (Alchemy)
Make CSKILL ~ Craft (Armorsmithing)					CATEGORY:Internal	CSKILL:Craft (Armorsmithing)
Make CSKILL ~ Craft (Blacksmithing)					CATEGORY:Internal	CSKILL:Craft (Blacksmithing)
Make CSKILL ~ Craft (Bowmaking)						CATEGORY:Internal	CSKILL:Craft (Bowmaking)
Make CSKILL ~ Craft (Carpentry)						CATEGORY:Internal	CSKILL:Craft (Carpentry)
Make CSKILL ~ Craft (Leatherworking)					CATEGORY:Internal	CSKILL:Craft (Carpentry)
Make CSKILL ~ Craft (Painting)						CATEGORY:Internal	CSKILL:Craft (Painting)
Make CSKILL ~ Craft (Pottery)						CATEGORY:Internal	CSKILL:Craft (Pottery)
Make CSKILL ~ Craft (Sculpting)						CATEGORY:Internal	CSKILL:Craft (Sculpting)
Make CSKILL ~ Craft (Shipmaking)						CATEGORY:Internal	CSKILL:Craft (Shipmaking)
Make CSKILL ~ Craft (Stonemasonry)					CATEGORY:Internal	CSKILL:Craft (Stonemasonry)
Make CSKILL ~ Craft (Trapmaking)						CATEGORY:Internal	CSKILL:Craft (Stonemasonry)
#Craft (Untrained)						CATEGORY:Internal	CSKILL:x1
Make CSKILL ~ Craft (Weaponsmithing)					CATEGORY:Internal	CSKILL:Craft (Stonemasonry)
Make CSKILL ~ Craft (Woodworking)						CATEGORY:Internal	CSKILL:Craft (Woodworking)
Make CSKILL ~ Decipher Script						CATEGORY:Internal	CSKILL:Craft (Woodworking)
Make CSKILL ~ Diplomacy							CATEGORY:Internal	CSKILL:Diplomacy
Make CSKILL ~ Disable Device						CATEGORY:Internal	CSKILL:Disable Device
Make CSKILL ~ Disguise							CATEGORY:Internal	CSKILL:Disguise
Make CSKILL ~ Escape Artist							CATEGORY:Internal	CSKILL:Escape Artist
Make CSKILL ~ Forgery								CATEGORY:Internal	CSKILL:Forgery
Make CSKILL ~ Gather Information						CATEGORY:Internal	CSKILL:Gather Information
Make CSKILL ~ Handle Animal							CATEGORY:Internal	CSKILL:Handle Animal
Make CSKILL ~ Heal								CATEGORY:Internal	CSKILL:Heal
Make CSKILL ~ Hide								CATEGORY:Internal	CSKILL:Hide
Make CSKILL ~ Intimidate							CATEGORY:Internal	CSKILL:Intimidate
Make CSKILL ~ Jump								CATEGORY:Internal	CSKILL:Jump
Make CSKILL ~ Knowledge (Arcana)						CATEGORY:Internal	CSKILL:Knowledge (Arcana)
Make CSKILL ~ Knowledge (Architecture and Engineering)		CATEGORY:Internal	CSKILL:Knowledge (Architecture and Engineering)
Make CSKILL ~ Knowledge (Dungeoneering)					CATEGORY:Internal	CSKILL:Knowledge (Dungeoneering)
Make CSKILL ~ Knowledge (Geography)					CATEGORY:Internal	CSKILL:Knowledge (Geography)
Make CSKILL ~ Knowledge (History)						CATEGORY:Internal	CSKILL:Knowledge (History)
Make CSKILL ~ Knowledge (Local)						CATEGORY:Internal	CSKILL:Knowledge (Local)
Make CSKILL ~ Knowledge (Nature)						CATEGORY:Internal	CSKILL:Knowledge (Nature)
Make CSKILL ~ Knowledge (Nobility and Royalty)			CATEGORY:Internal	CSKILL:Knowledge (Nobility and Royalty)
Make CSKILL ~ Knowledge (Religion)					CATEGORY:Internal	CSKILL:Knowledge (Religion)
Make CSKILL ~ Knowledge (The Planes)					CATEGORY:Internal	CSKILL:Knowledge (The Planes)
Make CSKILL ~ Listen								CATEGORY:Internal	CSKILL:Listen
Make CSKILL ~ Move Silently							CATEGORY:Internal	CSKILL:Move Silently
Make CSKILL ~ Open Lock							CATEGORY:Internal	CSKILL:Open Lock
Make CSKILL ~ Perform (Act)							CATEGORY:Internal	CSKILL:Perform (Act)
Make CSKILL ~ Perform (Comedy)						CATEGORY:Internal	CSKILL:Perform (Comedy)
Make CSKILL ~ Perform (Dance)						CATEGORY:Internal	CSKILL:Perform (Dance)
Make CSKILL ~ Perform (Keyboard Instruments)				CATEGORY:Internal	CSKILL:Perform (Keyboard Instruments)
Make CSKILL ~ Perform (Oratory)						CATEGORY:Internal	CSKILL:Perform (Oratory)
Make CSKILL ~ Perform (Percussion Instruments)			CATEGORY:Internal	CSKILL:Perform (Percussion Instruments)
