# CVS $Revision: $ $Author: $ -- Thu Aug  2 19:19:21 2012 -- reformated by prettylst.pl v1.39 (build )
SOURCELONG:Advanced Race Guide	SOURCESHORT:ARG	SOURCEWEB:http://paizo.com/products/btpy8rv2?Pathfinder-Roleplaying-Game-Advanced-Race-Guide	SOURCEDATE:2012-06
# ORIGINAL ENTRY: Douglas Limmer
# ORIGINAL ENTRY DATE: 2012/07/30

# COMMENT: Dummy goblin weaponprofs to avoid errors
# Weapon Name				Type
Dogslicer					TYPE:Goblin
Horsechopper				TYPE:Goblin

# COMMENT: Dwarven weaponprofs
Helmet (Dwarven Boulder)	TYPE:Melee.Dwarven.Bludgeoning.Exotic
Waraxe (Dwarven Double)		TYPE:Melee.Dwarven.Slashing.Exotic
Longaxe (Dwarven)			TYPE:Melee.Dwarven.Slashing.Exotic
Longhammer (Dwarven)		TYPE:Melee.Dwarven.Bludgeoning.Exotic

# COMMENT: Catfolk Claw Blades
Claw Blades (Catfolk)					TYPE:Melee.Light.ClawBlades.Slashing.Piercing.Finessable

# COMMENT: Hobgoblin horseshoes of crushing blows



# COMMENT: Kobold tail attachment weaponprofs
Long Lash 					TYPE:Melee.Light.KoboldTailAttachment.Slashing.Reach.Finessable
Pounder 					TYPE:Melee.Light.KoboldTailAttachment.Bludgeoning.Finessable
Razored 					TYPE:Melee.Light.KoboldTailAttachment.Slashing.Finessable
Spiked 						TYPE:Melee.Light.KoboldTailAttachment.Piercing.Finessable
Sweeper 					TYPE:Melee.Light.KoboldTailAttachment.Bludgeoning.Trip.Finessable

# COMMENT: Ratfolk Tailblade weaponprof
Tailblade (Ratfolk)					TYPE:Melee.Light.RatfolkTailblade.Slashing

# COMMENT: Tengu Terror Kite Proficiency
Terror Kite					TYPE:TerrorKite

# COMMENT: Gillmen Sea-Knife
Sea-Knife					TYPE:Melee.Light.SeaKnife.Slashing.Piercing.Martial
