SOURCELONG:Ocastia Campaign Setting - Book 2 - Player's Guide	SOURCESHORT:OCS_PG	
# ORIGINAL ENTRY BY: Andrew Maitland
# ORIGINAL ENTRY DATE: 2011-11-26

# Simple
Cestus		TYPE:Simple

# Martial 
Razor Shield	TYPE:Martial
Wyrm Dagger		TYPE:Martial

# Exotic
# - Light
Cestus (Bestial)	TYPE:Exotic
Dagger (Ritiik)	TYPE:Exotic

# - One Handed
Tiikiquaelh		TYPE:Exotic
Vap'n			TYPE:Exotic

# - Two Handed
Katana		TYPE:Exotic
Mancatcher		TYPE:Exotic
Vapn			TYPE:Exotic

# - Ranged Weapons
Boomerang		TYPE:Exotic

