SOURCELONG:Ocastia Campaign Setting - Book 2 - Player's Guide	SOURCESHORT:OCS_PG	
# ORIGINAL ENTRY BY: Andrew Maitland
# ORIGINAL ENTRY DATE: 2011-11-26

At'tia		PANTHEON:Outcastia
Cha'chay		PANTHEON:Outcastia
Nordaim		PANTHEON:Outcastia
Xandra		PANTHEON:Outcastia
Yaesilvanne		PANTHEON:Outcastia
Filanein		PANTHEON:Outcastia
Manunzul		PANTHEON:Outcastia
Umblestrand		PANTHEON:Outcastia
Varinia		PANTHEON:Outcastia
Darr			PANTHEON:Outcastia
Freydis		PANTHEON:Outcastia
Manunzul		PANTHEON:Outcastia
Ulric			PANTHEON:Outcastia

#TIME - #Deities: Darr, Freydis, Manunzul, Ulric
