# CVS $Revision: $ $Author: $ -- Wed Jan 19 21:04:03 2005 -- reformated by prettylst.pl v1.33 (build 421)
SOURCELONG:Iron Kingdoms Character Guide	SOURCESHORT:IKCG	SOURCEWEB:http://www.ironkingdoms.com
## Original Entry by: Rax the Grey


# Template Name	Visible		Template												REGION
IK_Regions		VISIBLE:DISPLAY	TEMPLATE:CHOOSE:Cryx|Cygnar|Ios|Khador|Llael|Nyss|Ord|Other|Protectorate|Rhul

#Regions:
Cryx			NAMEISPI:YES	VISIBLE:EXPORT														REGION:Cryx
Cygnar			NAMEISPI:YES	VISIBLE:EXPORT														REGION:Cygnar
Ios			NAMEISPI:YES	VISIBLE:EXPORT														REGION:Ios
Khador			NAMEISPI:YES	VISIBLE:EXPORT														REGION:Khador
Llael			NAMEISPI:YES	VISIBLE:EXPORT														REGION:Llael
Nyss			NAMEISPI:YES	VISIBLE:EXPORT														REGION:Nyss
Ord			NAMEISPI:YES	VISIBLE:EXPORT														REGION:Ord
Other			NAMEISPI:YES	VISIBLE:EXPORT														REGION:Other
Protectorate		NAMEISPI:YES	VISIBLE:EXPORT														REGION:Protectorate
Rhul			NAMEISPI:YES	VISIBLE:EXPORT														REGION:Rhul

