# CVS $Revision: $ $Author: $ -- Tue Apr 19 11:52:17 2016 -- reformated by PCGen PrettyLST v6.06.00
SOURCELONG:Champions of Balance	SOURCESHORT:COB	SOURCEWEB:http://paizo.com/products/btpy93nc?Pathfinder-Player-Companion-Champions-of-Balance	SOURCEDATE:2014-03
# ORIGINAL ENTRY: Gwen T. (evilpixie87)
# ORIGINAL ENTRY DATE: 6 April 2016

# ==============================
# Deity Subdomain Access
# ==============================
# Missing the Var to enable these.
# Deity Name	Domains																		Source Page
Abadar.MOD		NAMEISPI:Yes		DOMAINS:Aristocracy Subdomain|PREALIGN:LG,LN,NG,TN											SOURCEPAGE:p.16
Besmara.MOD		NAMEISPI:Yes		DOMAINS:Innuendo Subdomain|PREALIGN:CG,TN,CN,CE												SOURCEPAGE:p.17
Calistria.MOD	NAMEISPI:Yes		DOMAINS:Innuendo Subdomain|PREALIGN:CG,TN,CN,CE												SOURCEPAGE:p.17
Gorum.MOD		NAMEISPI:Yes		DOMAINS:Fist Subdomain|PREALIGN:CG,TN,CN,CE												SOURCEPAGE:p.17
Gozreh.MOD		NAMEISPI:Yes		DOMAINS:Flowing Subdomain|PREALIGN:LN,NG,TN,CN,NE											SOURCEPAGE:p.17
Irori.MOD		NAMEISPI:Yes		DOMAINS:Fist Subdomain|PREALIGN:LN,LG,TN,LE												SOURCEPAGE:p.17
Nalinivati.MOD	NAMEISPI:Yes		DOMAINS:Aristocracy Subdomain|PREALIGN:LN,NG,TN,CN,NE											SOURCEPAGE:p.16
Nethys.MOD		NAMEISPI:Yes		DOMAINS:Aeon Subdomain,Solitude Subdomain|PREALIGN:LN,NG,TN,CN,NE									SOURCEPAGE:p.16
Pharasma.MOD	NAMEISPI:Yes		DOMAINS:Flowing Subdomain,Psychopomp Subdomain (Death),Psychopomp Subdomain (Repose)|PREALIGN:LN,NG,TN,CN,NE	SOURCEPAGE:p.17
Sivanah.MOD		NAMEISPI:Yes		DOMAINS:Aeon Subdomain,Innuendo Subdomain|PREALIGN:LN,NG,TN,CN,NE									SOURCEPAGE:p.16
Sun Wukong.MOD	NAMEISPI:Yes		DOMAINS:Innuendo Subdomain|PREALIGN:CG,TN,CN,CE												SOURCEPAGE:p.17
Yamatsumi.MOD	NAMEISPI:Yes		DOMAINS:Fist Subdomain,Flowing Subdomain,Solitude Subdomain|PREALIGN:LN,NG,TN,CN,NE						SOURCEPAGE:p.17
