# CVS $Revision: $ $Author: $ -- Sun Jan 13 21:37:52 2008 -- reformated by prettylst.pl v1.38 (build 4314)
SOURCELONG:Battlefield Press - Sherwood	SOURCESHORT:Sherwood	SOURCEWEB:www.battlefieldpress.com	SOURCEDATE:2008-01
#Original Entry: Andrew Maitland

###CLASS
#ABILITYCATEGORY:FEAT					DISPLAYLOCATION:Feats
# Ability Name				Category of Ability	Type						Visible		DISPLAYLOCATION
ABILITYCATEGORY:Engineer Feat		CATEGORY:FEAT		TYPE:Engineer.SwashbucklingPoint	VISIBLE:QUALIFY	DISPLAYLOCATION:Feats
ABILITYCATEGORY:Noble Feat		CATEGORY:FEAT		TYPE:Noble.SwashbucklingPoint		VISIBLE:QUALIFY	DISPLAYLOCATION:Feats
ABILITYCATEGORY:Man-at-Arms Feat	CATEGORY:FEAT		TYPE:ManAtArms.SwashbucklingPoint	VISIBLE:QUALIFY	DISPLAYLOCATION:Feats
ABILITYCATEGORY:Knave Feat		CATEGORY:FEAT		TYPE:Knave.SwashbucklingPoint		VISIBLE:QUALIFY	DISPLAYLOCATION:Feats
ABILITYCATEGORY:Priest Feat		CATEGORY:FEAT		TYPE:Priest.SwashbucklingPoint	VISIBLE:QUALIFY	DISPLAYLOCATION:Feats
ABILITYCATEGORY:Yeoman Feat		CATEGORY:FEAT		TYPE:Yeoman.SwashbucklingPoint	VISIBLE:QUALIFY	DISPLAYLOCATION:Feats
#Mythic ADD-ON
ABILITYCATEGORY:Conjurer Feat		CATEGORY:FEAT		TYPE:Conjurer				VISIBLE:QUALIFY	DISPLAYLOCATION:Feats


ABILITYCATEGORY:Engineer Class	CATEGORY:Class Ability	TYPE:Engineer				VISIBLE:QUALIFY	DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Noble Class		CATEGORY:Class Ability	TYPE:Noble					VISIBLE:QUALIFY	DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Man-at-Arms Class	CATEGORY:Class Ability	TYPE:ManAtArms				VISIBLE:QUALIFY	DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Knave Class		CATEGORY:Class Ability	TYPE:Knave					VISIBLE:QUALIFY	DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Priest Class		CATEGORY:Class Ability	TYPE:Priest					VISIBLE:QUALIFY	DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Yeoman Class		CATEGORY:Class Ability	TYPE:Yeoman					VISIBLE:QUALIFY	DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Conjurer Class	CATEGORY:Class Ability	TYPE:Conjurer				VISIBLE:QUALIFY	DISPLAYLOCATION:Class Abilities

#Internal Functions and Processes not required to be seen by user
ABILITYCATEGORY:Internal		CATEGORY:Internal								VISIBLE:NO



