# CVS $Revision: $ $Author: $ -- Sat Sep 22 13:52:50 2007 -- reformated by prettylst.pl v1.38 (build 2788)
SOURCELONG:Battlefield Press - Sherwood	SOURCESHORT:Sherwood	SOURCEWEB:www.battlefieldpress.com
#Original Entry: Andrew Maitland


# Language	Type
Latin		TYPE:Spoken.Written.Read
English	TYPE:Spoken.Written.Read
French	TYPE:Spoken.Written.Read
Scots		TYPE:Spoken.Written.Read
Gaelic	TYPE:Spoken.Written.Read
Welsh		TYPE:Spoken.Written.Read

#OPTIONAL
Cornish	TYPE:Spoken.Written.Read
Breton	TYPE:Spoken.Written.Read
Irish		TYPE:Spoken.Written.Read
