# CVS $Revision$ $Author$ -- Wed Aug 26 13:12:25 2009 -- reformated by prettylst.pl v1.39 (build 10232)
SOURCELONG:Gaslight - Players Guide	SOURCESHORT:Gaslight	SOURCEWEB:www.battlefieldpress.com	SOURCEDATE:2008-05
#Original Entry: Andrew Maitland

# Language				Type					Source Page
Algonkin				TYPE:Spoken.Algic			SOURCEPAGE:p.
Algonkin				TYPE:Written.Algic		SOURCEPAGE:p.
Arapaho				TYPE:Spoken.Algic			SOURCEPAGE:p.
Arapaho				TYPE:Written.Algic		SOURCEPAGE:p.
Blackfoot				TYPE:Spoken.Algic			SOURCEPAGE:p.
Blackfoot				TYPE:Written.Algic		SOURCEPAGE:p.
Cheyenne				TYPE:Spoken.Algic			SOURCEPAGE:p.
Cheyenne				TYPE:Written.Algic		SOURCEPAGE:p.
Shawnee				TYPE:Spoken.Algic			SOURCEPAGE:p.
Shawnee				TYPE:Written.Algic		SOURCEPAGE:p.
Armenian				TYPE:Spoken.Armenian		SOURCEPAGE:p.
Armenian				TYPE:Written.Armenian		SOURCEPAGE:p.
Apache				TYPE:Spoken.Athabascan		SOURCEPAGE:p.
Apache				TYPE:Written.Athabascan		SOURCEPAGE:p.
Chipewyan				TYPE:Spoken.Athabascan		SOURCEPAGE:p.
Chipewyan				TYPE:Written.Athabascan		SOURCEPAGE:p.
Navaho				TYPE:Spoken.Athabascan		SOURCEPAGE:p.
Navaho				TYPE:Written.Athabascan		SOURCEPAGE:p.
Ancient Greek			TYPE:Spoken.Attic			SOURCEPAGE:p.
Ancient Greek			TYPE:Written.Attic		SOURCEPAGE:p.
Greek					TYPE:Spoken.Attic			SOURCEPAGE:p.
Greek					TYPE:Written.Attic		SOURCEPAGE:p.
Latvian				TYPE:Spoken.Baltic		SOURCEPAGE:p.
Latvian				TYPE:Written.Baltic		SOURCEPAGE:p.
Lithuanian				TYPE:Spoken.Baltic		SOURCEPAGE:p.
Lithuanian				TYPE:Written.Baltic		SOURCEPAGE:p.
Gaelic (Irish)			TYPE:Spoken.Celtic		SOURCEPAGE:p.
Gaelic (Irish)			TYPE:Written.Celtic		SOURCEPAGE:p.
Gaelic (Scots)			TYPE:Spoken.Celtic		SOURCEPAGE:p.
Gaelic (Scots)			TYPE:Written.Celtic		SOURCEPAGE:p.
Welsh					TYPE:Spoken.Celtic		SOURCEPAGE:p.
Welsh					TYPE:Written.Celtic		SOURCEPAGE:p.
Cantonese				TYPE:Spoken.Chinese		SOURCEPAGE:p.
Cantonese				TYPE:Written.Chinese		SOURCEPAGE:p.
Mandarin				TYPE:Spoken.Chinese		SOURCEPAGE:p.
Mandarin				TYPE:Written.Chinese		SOURCEPAGE:p.
Estonian				TYPE:Spoken.Finno-Lappic	SOURCEPAGE:p.
Estonian				TYPE:Written.Finno-Lappic	SOURCEPAGE:p.
Finnish				TYPE:Spoken.Finno-Lappic	SOURCEPAGE:p.
Finnish				TYPE:Written.Finno-Lappic	SOURCEPAGE:p.
Lapp					TYPE:Spoken.Finno-Lappic	SOURCEPAGE:p.
Lapp					TYPE:Written.Finno-Lappic	SOURCEPAGE:p.
Afrikaans				TYPE:Spoken.Germanic		SOURCEPAGE:p.
Afrikaans				TYPE:Written.Germanic		SOURCEPAGE:p.
Danish				TYPE:Spoken.Germanic		SOURCEPAGE:p.
Danish				TYPE:Written.Germanic		SOURCEPAGE:p.
Dutch					TYPE:Spoken.Germanic		SOURCEPAGE:p.
Dutch					TYPE:Written.Germanic		SOURCEPAGE:p.
English				TYPE:Spoken.Germanic		SOURCEPAGE:p.
English				TYPE:Written.Germanic		SOURCEPAGE:p.
Flemish				TYPE:Spoken.Germanic		SOURCEPAGE:p.
Flemish				TYPE:Written.Germanic		SOURCEPAGE:p.
German				TYPE:Spoken.Germanic		SOURCEPAGE:p.
German				TYPE:Written.Germanic		SOURCEPAGE:p.
Icelandic				TYPE:Spoken.Germanic		SOURCEPAGE:p.
Icelandic				TYPE:Written.Germanic		SOURCEPAGE:p.
Norwegian				TYPE:Spoken.Germanic		SOURCEPAGE:p.
Norwegian				TYPE:Written.Germanic		SOURCEPAGE:p.
Swedish				TYPE:Spoken.Germanic		SOURCEPAGE:p.
Swedish				TYPE:Written.Germanic		SOURCEPAGE:p.
Yiddish				TYPE:Spoken.Germanic		SOURCEPAGE:p.
Yiddish				TYPE:Written.Germanic		SOURCEPAGE:p.
Hindi					TYPE:Spoken.Indic			SOURCEPAGE:p.
Hindi					TYPE:Written.Indic		SOURCEPAGE:p.
Punjabi				TYPE:Spoken.Indic			SOURCEPAGE:p.
Punjabi				TYPE:Written.Indic		SOURCEPAGE:p.
Sanskrit				TYPE:Spoken.Indic			SOURCEPAGE:p.
Sanskrit				TYPE:Written.Indic		SOURCEPAGE:p.
Urdu					TYPE:Spoken.Indic			SOURCEPAGE:p.
Urdu					TYPE:Written.Indic		SOURCEPAGE:p.
Farsi					TYPE:Spoken.Iranian		SOURCEPAGE:p.
Farsi					TYPE:Written.Iranian		SOURCEPAGE:p.
Pashto				TYPE:Spoken.Iranian		SOURCEPAGE:p.
Pashto				TYPE:Written.Iranian		SOURCEPAGE:p.
Japanese				TYPE:Spoken.Japanese		SOURCEPAGE:p.
Japanese				TYPE:Written.Japanese		SOURCEPAGE:p.
Korean				TYPE:Spoken.Korean		SOURCEPAGE:p.
Korean				TYPE:Written.Korean		SOURCEPAGE:p.
French				TYPE:Spoken.Romance		SOURCEPAGE:p.
French				TYPE:Written.Romance		SOURCEPAGE:p.
Italian				TYPE:Spoken.Romance		SOURCEPAGE:p.
Italian				TYPE:Written.Romance		SOURCEPAGE:p.
Latin					TYPE:Spoken.Romance		SOURCEPAGE:p.
Latin					TYPE:Written.Romance		SOURCEPAGE:p.
Portuguese				TYPE:Spoken.Romance		SOURCEPAGE:p.
Portuguese				TYPE:Written.Romance		SOURCEPAGE:p.
Romanian				TYPE:Spoken.Romance		SOURCEPAGE:p.
Romanian				TYPE:Written.Romance		SOURCEPAGE:p.
Spanish				TYPE:Spoken.Romance		SOURCEPAGE:p.
Spanish				TYPE:Written.Romance		SOURCEPAGE:p.
Akkadian (aka Babylonian)	TYPE:Spoken.Semitic		SOURCEPAGE:p.
Akkadian (aka Babylonian)	TYPE:Written.Semitic		SOURCEPAGE:p.
Ancient Hebrew			TYPE:Spoken.Semitic		SOURCEPAGE:p.
Ancient Hebrew			TYPE:Written.Semitic		SOURCEPAGE:p.
Arabic				TYPE:Spoken.Semitic		SOURCEPAGE:p.
Arabic				TYPE:Written.Semitic		SOURCEPAGE:p.
Aramaic				TYPE:Spoken.Semitic		SOURCEPAGE:p.
Aramaic				TYPE:Written.Semitic		SOURCEPAGE:p.
Herbrew				TYPE:Spoken.Semitic		SOURCEPAGE:p.
Herbrew				TYPE:Written.Semitic		SOURCEPAGE:p.
Belorussian				TYPE:Spoken.Slavic		SOURCEPAGE:p.
Belorussian				TYPE:Written.Slavic		SOURCEPAGE:p.
Bulgarian				TYPE:Spoken.Slavic		SOURCEPAGE:p.
Bulgarian				TYPE:Written.Slavic		SOURCEPAGE:p.
Czech					TYPE:Spoken.Slavic		SOURCEPAGE:p.
Czech					TYPE:Written.Slavic		SOURCEPAGE:p.
Polish				TYPE:Spoken.Slavic		SOURCEPAGE:p.
Polish				TYPE:Written.Slavic		SOURCEPAGE:p.
Russian				TYPE:Spoken.Slavic		SOURCEPAGE:p.
Russian				TYPE:Written.Slavic		SOURCEPAGE:p.
Serbo-Croatian			TYPE:Spoken.Slavic		SOURCEPAGE:p.
Serbo-Croatian			TYPE:Written.Slavic		SOURCEPAGE:p.
Slovak				TYPE:Spoken.Slavic		SOURCEPAGE:p.
Slovak				TYPE:Written.Slavic		SOURCEPAGE:p.
Ukrainian				TYPE:Spoken.Slavic		SOURCEPAGE:p.
Ukrainian				TYPE:Written.Slavic		SOURCEPAGE:p.
Burmese				TYPE:Spoken.Tibeto-Burman	SOURCEPAGE:p.
Burmese				TYPE:Written.Tibeto-Burman	SOURCEPAGE:p.
Sherpa				TYPE:Spoken.Tibeto-Burman	SOURCEPAGE:p.
Sherpa				TYPE:Written.Tibeto-Burman	SOURCEPAGE:p.
Tibetan				TYPE:Spoken.Tibeto-Burman	SOURCEPAGE:p.
Tibetan				TYPE:Written.Tibeto-Burman	SOURCEPAGE:p.
Azerbaijani				TYPE:Spoken.Turkic		SOURCEPAGE:p.
Azerbaijani				TYPE:Written.Turkic		SOURCEPAGE:p.
Turkish				TYPE:Spoken.Turkic		SOURCEPAGE:p.
Turkish				TYPE:Written.Turkic		SOURCEPAGE:p.
Uzbek					TYPE:Spoken.Turkic		SOURCEPAGE:p.
Uzbek					TYPE:Written.Turkic		SOURCEPAGE:p.
Hungarian (aka Magyar)		TYPE:Spoken.Urgic			SOURCEPAGE:p.
Hungarian (aka Magyar)		TYPE:Written.Urgic		SOURCEPAGE:p.

#Signaling:
Morse Code				TYPE:Spoken.Signaling
Semaphore				TYPE:Spoken.Signaling
Sign Language			TYPE:Spoken.Signaling
Smoke Signals			TYPE:Spoken.Signaling


###Block: Spoken Only
#Caddoan:
# Language			Type
Caddo				TYPE:Spoken.Caddoan
Pawnee			TYPE:Spoken.Caddoan
Wichita			TYPE:Spoken.Caddoan
#Celestial:
Celestial			TYPE:Spoken.Celestial
Abysmal			TYPE:Spoken.Celestial
Infernal			TYPE:Spoken.Celestial
#Draconic:
Draconic			TYPE:Spoken.Draconic
Ignan				TYPE:Spoken.Draconic
#Druidic:
Auran				TYPE:Spoken.Druidic
Aquan				TYPE:Spoken.Druidic
Druidic			TYPE:Spoken.Druidic
Xorn				TYPE:Spoken.Druidic
#Hamo-Semitic:
Coptic			TYPE:Written.Braile.Spoken.Hamo-Semitic
Middle Egyptian		TYPE:Written.Braile.Spoken.Hamo-Semitic
#Iroquoian:
Cherokee			TYPE:Spoken.Iroquoian
