# CVS $Revision$ $Author$ -- Wed Aug 26 16:19:26 2009 -- reformated by prettylst.pl v1.39 (build 10232)
SOURCELONG:Gaslight - Players Guide	SOURCESHORT:Gaslight	SOURCEWEB:www.battlefieldpress.com	SOURCEDATE:2008-05
#Original Entry: Andrew Maitland



###Block: Pulp Fantasy RPG Feats SOURCEPAGE MOD
# Feat Name				Source Page
Action Boost.MOD			SOURCEPAGE:p.
Back Off.MOD			SOURCEPAGE:p.
Back to Back.MOD			SOURCEPAGE:p.
Backwards Strike.MOD		SOURCEPAGE:p.
Bull's Eye.MOD			SOURCEPAGE:p.
Card Sharp.MOD			SOURCEPAGE:p.
Circle.MOD				SOURCEPAGE:p.
Combat Loading.MOD		SOURCEPAGE:p.
Combat Misdirection.MOD		SOURCEPAGE:p.
Criminal Record.MOD		SOURCEPAGE:p.
Cross Training.MOD		SOURCEPAGE:p.
Dual Charge.MOD			SOURCEPAGE:p.
Dual Guard.MOD			SOURCEPAGE:p.
Expert Advice.MOD			SOURCEPAGE:p.
Extended Guard.MOD		SOURCEPAGE:p.
Fade to Black.MOD			SOURCEPAGE:p.
False Opening.MOD			SOURCEPAGE:p.
Flashing Blade.MOD		SOURCEPAGE:p.
Fleet of Foot.MOD			SOURCEPAGE:p.
Fletch.MOD				SOURCEPAGE:p.
Forceful Parry.MOD		SOURCEPAGE:p.
Forgotten.MOD			SOURCEPAGE:p.
Good Impression.MOD		SOURCEPAGE:p.
Highly Skilled.MOD		SOURCEPAGE:p.
Hilt Strike.MOD			SOURCEPAGE:p.
Improved Craft.MOD		SOURCEPAGE:p.
Improved False Opening.MOD	SOURCEPAGE:p.
Improved Parry.MOD		SOURCEPAGE:p.
Improved Riposte.MOD		SOURCEPAGE:p.
Improved Repair.MOD		SOURCEPAGE:p.
Information Network.MOD		SOURCEPAGE:p.
Judge Opponent.MOD		SOURCEPAGE:p.
Legal Protection.MOD		SOURCEPAGE:p.
Library.MOD				SOURCEPAGE:p.
Lightning Calculator.MOD	SOURCEPAGE:p.
Lock Blades.MOD			SOURCEPAGE:p.
Lunge.MOD				SOURCEPAGE:p.
Oathbound.MOD			SOURCEPAGE:p.
One Shot Left.MOD			SOURCEPAGE:p.
Parry.MOD				SOURCEPAGE:p.
Perceptive Defense.MOD		SOURCEPAGE:p.
Photographic Memory.MOD		SOURCEPAGE:p.
Political Influence.MOD		SOURCEPAGE:p.
Portable Armory.MOD		SOURCEPAGE:p.
Power Critical.MOD		SOURCEPAGE:p.
Quick Feet.MOD			SOURCEPAGE:p.
Riposte.MOD				SOURCEPAGE:p.
Root.MOD				SOURCEPAGE:p.
Scarring Strike.MOD		SOURCEPAGE:p.
Secret Identity (1st).MOD	SOURCEPAGE:p.
Secret Identity (2nd).MOD	SOURCEPAGE:p.
Secret Identity (3rd).MOD	SOURCEPAGE:p.
Sex Appeal.MOD			SOURCEPAGE:p.
Sideways Trip.MOD			SOURCEPAGE:p.
Silhouette.MOD			SOURCEPAGE:p.
Suppressive Fire.MOD		SOURCEPAGE:p.
Thrust.MOD				SOURCEPAGE:p.
Tranche.MOD				SOURCEPAGE:p.
Unarmed Parry.MOD			SOURCEPAGE:p.
Weapons Encyclopedia.MOD	SOURCEPAGE:p.

###Block: MSRD Feats SOURCEPAGE MOD
# Feat Name					Type				Source Page
Acrobatic.MOD								SOURCEPAGE:p.
Advanced Combat Martial Arts.MOD					SOURCEPAGE:p.
Advanced Firearms Proficiency.MOD					SOURCEPAGE:p.
Advanced Two-Weapon Fighting.MOD					SOURCEPAGE:p.
Agile Riposte.MOD								SOURCEPAGE:p.
Alertness.MOD								SOURCEPAGE:p.
Animal Affinity.MOD							SOURCEPAGE:p.
Archaic Weapons Proficiency.MOD					SOURCEPAGE:p.
Armor Proficiency (Heavy).MOD						SOURCEPAGE:p.
Armor Proficiency (Light).MOD						SOURCEPAGE:p.
Armor Proficiency (Medium).MOD					SOURCEPAGE:p.
Athletic.MOD								SOURCEPAGE:p.
Attentive.MOD								SOURCEPAGE:p.
Blind-Fight.MOD								SOURCEPAGE:p.
Brawl.MOD									SOURCEPAGE:p.
Builder.MOD									SOURCEPAGE:p.
Cautious.MOD								SOURCEPAGE:p.
Cleave.MOD									SOURCEPAGE:p.
Combat Expertise.MOD							SOURCEPAGE:p.
Combat Martial Arts.MOD							SOURCEPAGE:p.
Combat Reflexes.MOD							SOURCEPAGE:p.
Combat Throw.MOD								SOURCEPAGE:p.
Confident.MOD								SOURCEPAGE:p.
Creative.MOD								SOURCEPAGE:p.
Defensive Martial Arts.MOD						SOURCEPAGE:p.
Dodge.MOD									SOURCEPAGE:p.
Double Tap.MOD								SOURCEPAGE:p.
Educated.MOD								SOURCEPAGE:p.
Elusive Target.MOD							SOURCEPAGE:p.
Endurance.MOD								SOURCEPAGE:p.
Exotic Firearms Proficiency.MOD					SOURCEPAGE:p.
Exotic Melee Weapon Proficiency.MOD					SOURCEPAGE:p.
Far Shot.MOD								SOURCEPAGE:p.
Focused.MOD									SOURCEPAGE:p.
Frightful Presence.MOD							SOURCEPAGE:p.
Great Fortitude.MOD							SOURCEPAGE:p.
Great Cleave.MOD								SOURCEPAGE:p.
Guide.MOD									SOURCEPAGE:p.
Heroic Surge.MOD								SOURCEPAGE:p.
Improved Brawl.MOD							SOURCEPAGE:p.
Improved Bull Rush.MOD							SOURCEPAGE:p.
Improved Combat Martial Arts.MOD					SOURCEPAGE:p.
Improved Combat Throw.MOD						SOURCEPAGE:p.
Improved Damage Threshold.MOD						SOURCEPAGE:p.
Improved Disarm.MOD							SOURCEPAGE:p.
Improved Feint.MOD							SOURCEPAGE:p.
Improved Initiative.MOD							SOURCEPAGE:p.
Improved Knockout Punch.MOD						SOURCEPAGE:p.
Improved Trip.MOD								SOURCEPAGE:p.
Improved Two-Weapon Fighting.MOD					SOURCEPAGE:p.
Iron Will.MOD				TYPE:Acolyte.Scholar	SOURCEPAGE:p.
Knockout Punch.MOD							SOURCEPAGE:p.
Lightning Reflexes.MOD							SOURCEPAGE:p.
Low Profile.MOD								SOURCEPAGE:p.
Medical Expert.MOD							SOURCEPAGE:p.
Meticulous.MOD								SOURCEPAGE:p.
Nimble.MOD									SOURCEPAGE:p.
Personal Firearms Proficiency.MOD					SOURCEPAGE:p.
Point Blank Shot.MOD							SOURCEPAGE:p.
Power Attack.MOD								SOURCEPAGE:p.
Precise Shot.MOD								SOURCEPAGE:p.
Quick Draw.MOD								SOURCEPAGE:p.
Quick Reload.MOD								SOURCEPAGE:p.
Renown.MOD									SOURCEPAGE:p.
Run.MOD									SOURCEPAGE:p.
Shot on the Run.MOD							SOURCEPAGE:p.
Simple Weapons Proficiency.MOD					SOURCEPAGE:p.
Skip Shot.MOD								SOURCEPAGE:p.
Spring Attack.MOD								SOURCEPAGE:p.
Stealthy.MOD								SOURCEPAGE:p.
Streetfighting.MOD							SOURCEPAGE:p.
Studious.MOD								SOURCEPAGE:p.
Sunder.MOD									SOURCEPAGE:p.
Surface Vehicle Operation.MOD						SOURCEPAGE:p.
Surgery.MOD									SOURCEPAGE:p.
Toughness.MOD								SOURCEPAGE:p.
Trustworthy.MOD								SOURCEPAGE:p.
Two-Weapon Fighting.MOD							SOURCEPAGE:p.
Unbalance Opponent.MOD							SOURCEPAGE:p.
Weapon Finesse.MOD							SOURCEPAGE:p.
Weapon Focus.MOD								SOURCEPAGE:p.
Whirlwind Attack.MOD							SOURCEPAGE:p.
Windfall.MOD								SOURCEPAGE:p.




###Block: Feat TYPE MODs
# Feat Name					Type															Clear Prereq.	Req. Att.	Required Feat													Required Stat		Special ABility									Define					Multiple?	Choose




# Feat Name					Type															Clear Prereq.	Req. Att.	Required Feat													Required Stat		Special ABility									Define					Clear Description	Description								Multiple?	Choose							Bonus to skill
Acrobatic.MOD				TYPE:Circus_Performer.Daredevil.Relic_Hunter.Rogue
