# CVS $Revision$ $Author$ -- Wed Feb 24 22:20:49 2010 -- reformated by prettylst.pl v1.39 (build 11455)
#SOURCELONG:Gaslight - Players Guide	SOURCESHORT:Gaslight	SOURCEWEB:www.battlefieldpress.com	SOURCEDATE:2008-05

###Block: Master Categories
# Ability Category			Visible	Editable or Static?	Change Pool?	Fractional values?	Category of Object
ABILITYCATEGORY:Talent			VISIBLE:NO	EDITABLE:NO			EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Talent
ABILITYCATEGORY:Special Ability	VISIBLE:NO	EDITABLE:NO			EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability
ABILITYCATEGORY:Starting Occupation	VISIBLE:NO	EDITABLE:NO			EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Starting Occupation
ABILITYCATEGORY:Wealth			VISIBLE:NO	EDITABLE:NO			EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Wealth

###Block: Background Abilities
# Ability Category		Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object		Type of Object	Plural description for UI	Display Location
ABILITYCATEGORY:Wealth Roll	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Wealth			TYPE:Wealth		PLURAL:Wealth Roll		DISPLAYLOCATION:Background
ABILITYCATEGORY:Occupation	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Occupation	PLURAL:Occupations		DISPLAYLOCATION:Background

###Block: Racial Abilities
# Ability Category			Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object		Type of Object				Plural description for UI	Display Location
ABILITYCATEGORY:Bonus Stat		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:BonusStat									DISPLAYLOCATION:Racial Abilities

ABILITYCATEGORY:Human Talent		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Talent			TYPE:HumanTalent.MultiRacial		PLURAL:Human Talents		DISPLAYLOCATION:Talents
ABILITYCATEGORY:Beast Man Talent	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Talent			TYPE:BeastManTalent.MultiRacial	PLURAL:Beast Man Talents	DISPLAYLOCATION:Talents
ABILITYCATEGORY:Vampire Talent	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Talent			TYPE:VampireTalent.MultiRacial	PLURAL:Vampire Talents		DISPLAYLOCATION:Talents
