# CVS $Revision: $ $Author: $ -- Thu Nov 29 22:57:25 2007 -- reformated by prettylst.pl v1.38 (build 4314)
SOURCELONG:Forged in Magic	SOURCESHORT:FiM	SOURCEWEB:http://www.paradigmconcepts.com
#AUTHOR:E. C. Smith (Maredudd), 2007

#Specific Weapon Descriptions
# Equipment Name
Addertongue 44,150 gp
Adobay’s Blades 34,830 gp
Althares’ Gift 29,925 gp
Athame of High Magic 210,002 gp
Balor’s Lash 40,301 gp
Battle-Harness of the Manticore 10,000 gp
Beltine’s Kiss 54,318 gp
Bone of Contention 9,612 gp
Bow of the five peoples 70,770 gp
Burrowing Arrow 1,440 gp
Canceri Champion’s Blade 20,350 gp
Capharran War Glaive 46,708 gp
Cutlass of the Buccaneer 14,212 gp
Dagger of One Thousand Cuts 50,602 gp
Defiance 102,885 gp
Demonsbane 106,302 gp
Drusus of the Indomitable Gladiator 37,070 gp
Duelist Blade 19,320 gp
Emerald Scale Tail Bracer 8,000 gp
Fangs of Vapriss 3,501 gp
Firecrux 45,060 gp
Forestbane 43,830 gp
Gauilfur 52,650 gp
Grand Gladius of Coryan 52,620 gp
Greendeath 20,010 gp
Heart’s Fang 32,635 gp
Heartseeker 98,750 gp
Humming Shot (bullet) 240 gp
Infernal Harvest 33,615 gp
Lance of the Errant Knight 57,870 gp
Legionspear 24,505 gp
Maggot Arrows 750 gp
Maggot Arrows, Greater 3,300 gp
Moon Blade of the val’Dellenov 37,705 gp
Nerothian Assassin’s Blade 30,302 gp
Nightfire 100,000 gp
Oath Blade 31,202 gp
Ranseur of Wind and Wave 66,910 gp
Screaming Sword 116,400 gp
Sea Rover 51,075 gp
Seeking Sling 32,300 gp
Shadowsong 65,802 gp
Sickle Sword of the Myrantian Lord 68,075 gp
Soulshrieker Bow 67,980 gp
Spiked Chain of the Master Defender 30,100 gp
Ssethregoran Stench Blade 12,365 gp
Stirge Darts 6,801 gp
Sword of the Soldier Saints of Dagha 75,865 gp
Sword of Wonder 50,000 gp
Thunderbow 40,440 gp
Troll’s Lament 15,705 gp
Umandi’s Gift 123,600 gp
Whip of the Hussma 36,501 gp
Wind Staff 121,825 gp

#Tools of Warfare
Aquila of the Legions See Text
Banner of Myrantis 120,000 gp
Catapult Shot See Text
Stone Bridge 5,000 gp
