# CVS $Revision: $ $Author: $ -- Sun Mar 23 21:20:38 2008 -- reformated by prettylst.pl v1.38 (build 5580)
SOURCELONG:Forged in Magic	SOURCESHORT:FiM	SOURCEWEB:http://www.paradigmconcepts.com
#Original Entry:E. C. Smith (Maredudd), 2007; Andrew Maitland

###Block: Items of Power - Unique Weapons -------------------------------------------------------------------------
# Equipment Name				Output Name						Required Proficiency		Type							Cost			Innate Spells									Stat bonus									Special Property
Bondoleer of Foe Daggers														TYPE:Belt						COST:1124480																						SPROP:Carries 1 of each ~ +1 Bane Daggers of Aberration, Animal, Magical Beast, Humanoid, Monstrous Humanoid, Ssethric. Non-magical Adamantine and Sarishan Dagger (eight daggers total)
Cradok Durass				OUTPUTNAME:Cradok Durass "Earthshaker"						TYPE:Weapon.Magic					COST:0
#+3 Concussive Burst Reaching Maul
Culdari					OUTPUTNAME:Culdari "Final Repose"							TYPE:Weapon						COST:0
#+5 Legendary (+5) Keen Holy Netherite Scythe of Precision
Dagger of Yig (MW)															TYPE:Weapon.Light.Finesseable.Unique
Dagger of Yig (+1 Dagger)														TYPE:Weapon.Light.Finesseable.Unique															BONUS:STAT|CHA|-1
Dagger of Yig (+1 Venomous)														TYPE:Weapon.Light.Finesseable.Unique															BONUS:STAT|STR,CHA|-1
Dagger of Yig (+2 Venomous)														TYPE:Weapon.Light.Finesseable.Unique															BONUS:STAT|CHA|-2	BONUS:STAT|STR,INT|-1
Dagger of Yig (+3 Venomous (2))													TYPE:Weapon.Light.Finesseable.Unique															BONUS:STAT|	BONUS:STAT|STR,INT,CHA|-2
Dagger of Yig (+3 Venomous (3))													TYPE:Weapon.Light.Finesseable.Unique															BONUS:STAT|INT|-3	BONUS:STAT|STR,CHA|-2	BONUS:STAT|WIS|-1
Dagger of Yig (+5 Venomous (5))													TYPE:Weapon.Light.Finesseable.Unique															BONUS:STAT|CHA,STR|-2	BONUS:STAT|WIS,INT|-4


Despair												PROFICIENCY:WEAPON|Scythe	TYPE:Weapon.Scythe							SPELLS:Despair|TIMES=3|TIMEUNIT=Day|CASTERLEVEL=17|Contagion,23											SPROP:Continous Unholy Aura on wielder
#+5 Unholy GMW Scythe	TYPE:Weapon.Melee.Martial.Standard.Piercing.Slashing.Scythe													COST:18	WT:10				CRITMULT:x4			CRITRANGE:1												DAMAGE:2d4					EQMOD:STEEL						WIELD:TwoHanded								SIZE:M
Doomherald												PROFICIENCY:WEAPON|Hand Axe	TYPE:Weapon.HandAxe
#TYPE:Weapon.Melee.Finesseable.Martial.Standard.Slashing.Axe													COST:6	WT:3				CRITMULT:x3			CRITRANGE:1												DAMAGE:1d6					EQMOD:STEEL						WIELD:Light									SIZE:M
Flail of Kihuk Mak										PROFICIENCY:WEAPON|		TYPE:Weapon.Flail
Geraccio's Wonderous Hammer									PROFICIENCY:WEAPON|		TYPE:Weapon
Gladius of Glory											PROFICIENCY:WEAPON|		TYPE:Weapon
Gladius of Light											PROFICIENCY:WEAPON|		TYPE:Weapon
Harmony												PROFICIENCY:WEAPON|		TYPE:Weapon
Kelisar												PROFICIENCY:WEAPON|		TYPE:Weapon
Kingmaker (Assassin's Tongue)									PROFICIENCY:WEAPON|		TYPE:Weapon
Knowledge												PROFICIENCY:WEAPON|		TYPE:Weapon
Lautas Dallo											PROFICIENCY:WEAPON|		TYPE:Weapon
Lion of Winter											PROFICIENCY:WEAPON|		TYPE:Weapon
Mercy													PROFICIENCY:WEAPON|		TYPE:Weapon
Oathmaker												PROFICIENCY:WEAPON|		TYPE:Weapon
Pathfinder												PROFICIENCY:WEAPON|		TYPE:Weapon
Petrus Kafan											PROFICIENCY:WEAPON|		TYPE:Weapon
Silent Death											PROFICIENCY:WEAPON|		TYPE:Weapon
Spell Spinner											PROFICIENCY:WEAPON|		TYPE:Weapon
Stalwart												PROFICIENCY:WEAPON|		TYPE:Weapon
Staff of the Oceanwalker									PROFICIENCY:WEAPON|		TYPE:Weapon
Torment												PROFICIENCY:WEAPON|		TYPE:Weapon
Wrath													PROFICIENCY:WEAPON|		TYPE:Weapon
#
##EOF
#
