# CVS $Revision$ $Author$ -- Wed Apr 16 20:18:37 2008 -- reformated by prettylst.pl v1.38 (build 5580)
SOURCELONG:Forged in Magic	SOURCESHORT:FiM	SOURCEWEB:http://www.paradigmconcepts.com	SOURCEDATE:2006-06
#Original Entry:E. C. Smith (Maredudd) 2007; Andrew Maitland

#Wondrous Items
# Equipment Name					Type					Cost
Amulet of Belisarda's Fury			TYPE:Magic.Wondrous.Amulet	COST:98040
Amulet of Hurrian					TYPE:Magic.Wondrous.Amulet	COST:12000
Amulet of Illiir's Perfect Brilliance	TYPE:Magic.Wondrous.Amulet	COST:39500
Amulet of the Faithful				TYPE:Magic.Wondrous.Amulet	COST:17500
Anklet of the Harlot				TYPE:Magic.Wondrous.Amulet	COST:9650
Apron of the Artificer				TYPE:Magic.Wondrous		COST:16400
Armbands of Blade Turning			TYPE:Magic.Wondrous		COST:22580
Armguard of Talisos				TYPE:Magic.Wondrous		COST:44200
Aro's Unforgettable Mark			TYPE:Magic.Wondrous		COST:4000

###Block: B ---------------------------------------------------------------------------------------------------
# Equipment Name					Type					Cost
Badua's Eerie Warder				TYPE:Magic.Wondrous		COST:32000
Bellahna's Veil of Persuasion			TYPE:Magic.Wondrous		COST:20000
Belt of the Shield				TYPE:Magic.Wondrous.Belt	COST:22000
Black Lotus Manual				TYPE:Magic.Wondrous		COST:27500
Blood Robe						TYPE:Magic.Wondrous		COST:25000
Bones of Divination				TYPE:Magic.Wondrous		COST:12050
Boots of Balance					TYPE:Magic.Wondrous.Boot	COST:10000
Boots of Knocking					TYPE:Magic.Wondrous.Boot	COST:10500
Boots of the Relentless Hunter		TYPE:Magic.Wondrous.Boot	COST:3500
Boots of the Seremasi Greater			TYPE:Magic.Wondrous.Boot	COST:10000
Boots of the Toad					TYPE:Magic.Wondrous.Boot	COST:12000
Box of the Mundane				TYPE:Magic.Wondrous		COST:65000
Bracers of Arcane Wrath				TYPE:Magic.Wondrous.Bracer	COST:9450
Bracers of Arrow Deflection			TYPE:Magic.Wondrous.Bracer	COST:14000
