# CVS $Revision: $ $Author: $ -- Sun Mar 23 02:20:06 2008 -- reformated by prettylst.pl v1.38 (build 5580)
SOURCELONG:Forged in Magic	SOURCESHORT:FiM	SOURCEWEB:http://www.paradigmconcepts.com
#Original Entry:E. C. Smith (Maredudd), 2007; Andrew Maitland

###Block: Garment of Might and Other Trappings of Power --------------------------------------
# Equipment Name					Type
Amulet of Independent Anatomy			TYPE:Amulet
Crown of Eyes					TYPE:Psicrown.Headgear
Crown of Shadows					TYPE:Psicrown.Headgear
Glory							TYPE:Unknown
Hand of Dark Glory				TYPE:Unknown
Kroneu's Hourglass				TYPE:Unknown
Moon Cauldron					TYPE:Unknown
Naja'haje						TYPE:Unknown
Orb of the Moon Tribes				TYPE:Orb
Pollis' Tome of the Traveling Scribe	TYPE:Book
Tome of the Dar Zhan Vor			TYPE:Book

#Other Items of Power
Brazen Head						TYPE:Unknown
Storm's Rage					TYPE:Unknown

