# CVS $Revision: $ $Author: $ -- Sat Mar 22 23:29:52 2008 -- reformated by prettylst.pl v1.38 (build 5580)
SOURCELONG:Forged in Magic	SOURCESHORT:FiM	SOURCEWEB:http://www.paradigmconcepts.com
#AUTHOR:E. C. Smith (Maredudd), 2007

#####################
##Cursed Items
#Cursed Armor and Shield Enhancements
# Modifier Name				Unique Key	Type	Plus		Cost		Visible		Source Page		Required Type	Special Property
Energy Vulnerability -2 modifier	KEY:		TYPE:	PLUS:0	COST:0	VISIBLE:QUALIFY	SOURCEPAGE:pg.	PRETYPE:		SPROP:
*1Envious -4 modifier			KEY:		TYPE:	PLUS:0	COST:0	VISIBLE:QUALIFY	SOURCEPAGE:pg.	PRETYPE:		SPROP:
Lumen -2 modifier				KEY:		TYPE:	PLUS:0	COST:0	VISIBLE:QUALIFY	SOURCEPAGE:pg.	PRETYPE:		SPROP:
Nox Noctis -2 modifier			KEY:		TYPE:	PLUS:0	COST:0	VISIBLE:QUALIFY	SOURCEPAGE:pg.	PRETYPE:		SPROP:
Possessed -2 modifier			KEY:		TYPE:	PLUS:0	COST:0	VISIBLE:QUALIFY	SOURCEPAGE:pg.	PRETYPE:		SPROP:
Unlucky -2 modifier			KEY:		TYPE:	PLUS:0	COST:0	VISIBLE:QUALIFY	SOURCEPAGE:pg.	PRETYPE:		SPROP:

#Cursed Melee Weapon Enhancements
Baleful Hatred -2 modifier		KEY:		TYPE:	PLUS:0	COST:0	VISIBLE:QUALIFY	SOURCEPAGE:pg.	PRETYPE:		SPROP:
*Battlelust -1 modifier melee only	KEY:		TYPE:	PLUS:0	COST:0	VISIBLE:QUALIFY	SOURCEPAGE:pg.	PRETYPE:		SPROP:
Blood-Thirsty -1 modifier		KEY:		TYPE:	PLUS:0	COST:0	VISIBLE:QUALIFY	SOURCEPAGE:pg.	PRETYPE:		SPROP:
Charged -3 modifier			KEY:		TYPE:	PLUS:0	COST:0	VISIBLE:QUALIFY	SOURCEPAGE:pg.	PRETYPE:		SPROP:
Dominant -1 modifier			KEY:		TYPE:	PLUS:0	COST:0	VISIBLE:QUALIFY	SOURCEPAGE:pg.	PRETYPE:		SPROP:
*2Envious -4 modifier			KEY:		TYPE:	PLUS:0	COST:0	VISIBLE:QUALIFY	SOURCEPAGE:pg.	PRETYPE:		SPROP:
Lumen -2 modifier				KEY:		TYPE:	PLUS:0	COST:0	VISIBLE:QUALIFY	SOURCEPAGE:pg.	PRETYPE:		SPROP:
Nox Noctis -2 modifier			KEY:		TYPE:	PLUS:0	COST:0	VISIBLE:QUALIFY	SOURCEPAGE:pg.	PRETYPE:		SPROP:
Pacifist -1 modifier			KEY:		TYPE:	PLUS:0	COST:0	VISIBLE:QUALIFY	SOURCEPAGE:pg.	PRETYPE:		SPROP:
Possessed -2 modifier			KEY:		TYPE:	PLUS:0	COST:0	VISIBLE:QUALIFY	SOURCEPAGE:pg.	PRETYPE:		SPROP:
Unlucky -2 modifier			KEY:		TYPE:	PLUS:0	COST:0	VISIBLE:QUALIFY	SOURCEPAGE:pg.	PRETYPE:		SPROP:

#Cursed Ranged Weapon Enhancements

###DUPLICATES:
Baleful Hatred -2 modifier		KEY:		TYPE:	PLUS:0	COST:0	VISIBLE:QUALIFY	SOURCEPAGE:pg.	PRETYPE:		SPROP:
Blood-Thirsty -1 modifier		KEY:		TYPE:	PLUS:0	COST:0	VISIBLE:QUALIFY	SOURCEPAGE:pg.	PRETYPE:		SPROP:
Charged -3 modifier			KEY:		TYPE:	PLUS:0	COST:0	VISIBLE:QUALIFY	SOURCEPAGE:pg.	PRETYPE:		SPROP:
Dominant -1 modifier			KEY:		TYPE:	PLUS:0	COST:0	VISIBLE:QUALIFY	SOURCEPAGE:pg.	PRETYPE:		SPROP:
Envious -4 modifier			KEY:		TYPE:	PLUS:0	COST:0	VISIBLE:QUALIFY	SOURCEPAGE:pg.	PRETYPE:		SPROP:
Lumen -2 modifier				KEY:		TYPE:	PLUS:0	COST:0	VISIBLE:QUALIFY	SOURCEPAGE:pg.	PRETYPE:		SPROP:
Nox Noctis -2 modifier			KEY:		TYPE:	PLUS:0	COST:0	VISIBLE:QUALIFY	SOURCEPAGE:pg.	PRETYPE:		SPROP:
Pacifist -1 modifier			KEY:		TYPE:	PLUS:0	COST:0	VISIBLE:QUALIFY	SOURCEPAGE:pg.	PRETYPE:		SPROP:
Possessed -2 modifier			KEY:		TYPE:	PLUS:0	COST:0	VISIBLE:QUALIFY	SOURCEPAGE:pg.	PRETYPE:		SPROP:
Unlucky -2 modifier			KEY:		TYPE:	PLUS:0	COST:0	VISIBLE:QUALIFY	SOURCEPAGE:pg.	PRETYPE:		SPROP:
