# CVS $Revision$ $Author$ -- Thu Apr  8 08:48:12 2010 -- reformated by prettylst.pl v1.39 (build 10232)
SOURCELONG:Eclipse - The Codex Persona	SOURCESHORT:Eclipse	SOURCEWEB:http://www.lulu.com/content/435647
#Original Entry: Andrew Maitland


# This Entry needs to be moved to Eclipse II
#Magical Languages
# Language
Ma'thak Koren	TYPE:Spoken		DESCISPI:YES
Narthian		TYPE:Spoken		DESCISPI:YES
Saenthor		TYPE:Spoken		DESCISPI:YES
Zaban-Gozar		TYPE:Spoken		DESCISPI:YES

#Racial
Avanthil	TYPE:Spoken		DESCISPI:YES
Revan		TYPE:Spoken		DESCISPI:YES
Temorak	TYPE:Spoken		DESCISPI:YES
Untharik	TYPE:Spoken		DESCISPI:YES

# Other Languages:
#Draconic - Should be in the RSRD
Ishthin	TYPE:Spoken		DESCISPI:YES
Tradetongue	TYPE:Spoken
Vorr		TYPE:Spoken		DESCISPI:YES



