# CVS $Revision: 12957 $ $Author: jbaril $ -- Tue Dec 10 13:14:59 2013 -- reformated by prettylst.pl v1.50 (build 21703)
SOURCELONG:Advanced Class Guide Playtest	SOURCESHORT:ACGP	SOURCEWEB:http://paizo.com/products/btpy92zi	SOURCEDATE:2013-12
# Original Entry by: Stefan Radermacher

# Bloodrager Spells
# Spell Name			Classes of caster
Burning Hands.MOD			CLASSES:Bloodrager=1
Cause Fear.MOD			CLASSES:Bloodrager=1
Chill Touch.MOD			CLASSES:Bloodrager=1
Color Spray.MOD			CLASSES:Bloodrager=1
Corrosive Touch.MOD		CLASSES:Bloodrager=1
Endure Elements.MOD		CLASSES:Bloodrager=1
Enlarge Person.MOD		CLASSES:Bloodrager=1
Expeditious Retreat.MOD		CLASSES:Bloodrager=1
Feather Fall.MOD			CLASSES:Bloodrager=1
Flare Burst.MOD			CLASSES:Bloodrager=1
Frostbite.MOD			CLASSES:Bloodrager=1
Hydraulic Push.MOD		CLASSES:Bloodrager=1
Jump.MOD				CLASSES:Bloodrager=1
Magic Missile.MOD			CLASSES:Bloodrager=1
Magic Weapon.MOD			CLASSES:Bloodrager=1
Mirror Strike.MOD			CLASSES:Bloodrager=1
Ray of Enfeeblement.MOD		CLASSES:Bloodrager=1
Reduce Person.MOD			CLASSES:Bloodrager=1
Returning Weapon.MOD		CLASSES:Bloodrager=1
Shield.MOD				CLASSES:Bloodrager=1
Shock Shield.MOD			CLASSES:Bloodrager=1
Shocking Grasp.MOD		CLASSES:Bloodrager=1
Stone Fist.MOD			CLASSES:Bloodrager=1
True Strike.MOD			CLASSES:Bloodrager=1
Unerring Weapon.MOD		CLASSES:Bloodrager=1
Warding Weapon.MOD		CLASSES:Bloodrager=1

Ablative Barrier.MOD		CLASSES:Bloodrager=2
Animal Aspect.MOD			CLASSES:Bloodrager=2
Bear's Endurance.MOD		CLASSES:Bloodrager=2
Blur.MOD				CLASSES:Bloodrager=2
Brow Gasher.MOD			CLASSES:Bloodrager=2
Bull's Strength.MOD		CLASSES:Bloodrager=2
Burning Gaze.MOD			CLASSES:Bloodrager=2
Cat's Grace.MOD			CLASSES:Bloodrager=2
Defensive Shock.MOD		CLASSES:Bloodrager=2
Elemental Touch.MOD		CLASSES:Bloodrager=2
False Life.MOD			CLASSES:Bloodrager=2
Fire Breath.MOD			CLASSES:Bloodrager=2
Flaming Sphere.MOD		CLASSES:Bloodrager=2
Frigid Touch.MOD			CLASSES:Bloodrager=2
