# CVS $Revision: 12957 $ $Author: jbaril $ -- Tue Dec 10 13:08:21 2013 -- reformated by prettylst.pl v1.50 (build 21703)
#SOURCELONG:Advanced Class Guide Playtest	SOURCESHORT:ACGP	SOURCEWEB:http://paizo.com/products/btpy92zi	SOURCEDATE:2013-11
# Original Entry by: Stefan Radermacher

###Block: Base Class Feature Display
# Ability Category					Visible		Editable or Static?	Change Pool?	Category of Object		Type of Object			Plural description for UI		Display Location
ABILITYCATEGORY:Arcanist Class Feature		VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		CATEGORY:Special Ability	TYPE:ArcanistClassFeatures	PLURAL:Arcanist Class Abilities	DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Bloodrager Class Feature		VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		CATEGORY:Special Ability	TYPE:BloodragerClassFeatures	PLURAL:Bloodrager Class Abilities	DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Hunter Class Feature		VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		CATEGORY:Special Ability	TYPE:HunterClassFeatures		PLURAL:Hunter Class Abilities		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Investigator Class Feature	VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		CATEGORY:Special Ability	TYPE:InvestigatorClassFeatures	PLURAL:Investigator Class Abilities	DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Skald Class Feature	VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		CATEGORY:Special Ability	TYPE:SkaldClassFeatures	PLURAL:Skald Class Abilities	DISPLAYLOCATION:Class Abilities

###Block: Class Feature Categories
# Ability Category				Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object		Type of Object			Plural description for UI	Display Location
ABILITYCATEGORY:Arcanist Exploit		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:ArcanistExploit								PLURAL:Arcanist Exploits				DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Bloodrager Bloodline	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:BloodragerBloodline	PLURAL:Bloodrager Bloodlines	DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Investigator Talent		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:InvestigatorTalent								PLURAL:Investigator Talents				DISPLAYLOCATION:Class Abilities

###Block: Class Bonus Feat Categories
# Ability Category						Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object		Type of Object				Specific choices list		Plural description for UI				Display Location
ABILITYCATEGORY:Aberrant Bloodrager Bloodline Feat	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:AberrantBloodragerBloodline						PLURAL:Aberrant Bloodrager Bloodline Feats	DISPLAYLOCATION:Feats
ABILITYCATEGORY:Abyssal Bloodrager Bloodline Feat	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:AbyssaBloodragerlBloodline						PLURAL:Abyssal Bloodrager Bloodline Feats		DISPLAYLOCATION:Feats
ABILITYCATEGORY:Arcane Bloodrager Bloodline Feat	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:ArcaneBloodragerBloodline						PLURAL:Arcane Bloodrager Bloodline Feats		DISPLAYLOCATION:Feats
ABILITYCATEGORY:Celestial Bloodrager Bloodline Feat	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:CelestialBloodragerBloodline						PLURAL:Celestial Bloodrager Bloodline Feats	DISPLAYLOCATION:Feats
ABILITYCATEGORY:Destined Bloodrager Bloodline Feat	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:DestinedBloodragerBloodline						PLURAL:Destined Bloodrager Bloodline Feats	DISPLAYLOCATION:Feats
ABILITYCATEGORY:Draconic Bloodrager Bloodline Feat	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:DraconicBloodragerBloodline	ABILITYLIST:Skill Focus (Fly)	PLURAL:Draconic Bloodrager Bloodline Feats	DISPLAYLOCATION:Feats
ABILITYCATEGORY:Elemental Bloodrager Bloodline Feat	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:ElementalBloodragerBloodline						PLURAL:Elemental Bloodrager Bloodline Feats	DISPLAYLOCATION:Feats
ABILITYCATEGORY:Fey Bloodrager Bloodline Feat		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:FeyBloodragerBloodline							PLURAL:Fey Bloodrager Bloodline Feats		DISPLAYLOCATION:Feats
ABILITYCATEGORY:Infernal Bloodrager Bloodline Feat	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:InfernalBloodragerBloodline						PLURAL:Infernal Bloodrager Bloodline Feats	DISPLAYLOCATION:Feats
ABILITYCATEGORY:Undead Bloodrager Bloodline Feat	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:UndeadBloodragerBloodline						PLURAL:Undead Bloodrager Bloodline Feats		DISPLAYLOCATION:Feats

#
# End
#
