# CVS $Revision$ $Author$ -- Tue Sep  4 07:13:30 2012 -- reformated by prettylst.pl v1.39 (build 15052)
# All Material Used from this Web Site - http://www.d20pfsrd.com/classes/core-classes/wizard/archetypes/paizo---wizard-archetypes/spellslinger
# ORIGINAL ENTRY: Andrew Maitland (LegacyKing)
# ORIGINAL ENTRY DATE: 2012-02-03

###Block: Alchemist ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# Ability Name			Unique Key							Category of Ability		Type							Description																																																																																																																																											Source Page
BEASTMORPH				KEY:Alchemist Archetype ~ BEASTMORPH		CATEGORY:Archetype		TYPE:Archetype.AlchemistArchetype.AlchemistSwiftAlchemy.AlchemistPoisonResistance.AlchemistPoisonResistance4.AlchemistPoisonResistance6.AlchemistPoisonImmunity.AlchemistPersistentMutagen		PRECLASS:1,Alchemist=1	PREMULT:1,[PREABILITY:1,CATEGORY=Archetype,Alchemist Archetype ~ BEASTMORPH],[!PREABILITY:1,CATEGORY=Archetype,TYPE.AlchemistSwiftAlchemy,TYPE.AlchemistPoisonResistance,TYPE.AlchemistPoisonResistance4,TYPE.AlchemistPoisonResistance6,TYPE.AlchemistPoisonImmunity,TYPE.AlchemistPersistentMutagen]	DESC:Beastmorphs study the anatomy of monsters, learning how they achieve their strange powers. They use their knowledge to duplicate these abilities, but at the cost of taking on inhuman shapes when they use mutagens.																																																																																																								SOURCEPAGE:p.24	ABILITY:Special Ability|AUTOMATIC|Beastform Mutagen ~ Alchemist|PRECLASS:1,Alchemist=3	ABILITY:Special Ability|AUTOMATIC|Improved Beastform Mutagen ~ Alchemist|PRECLASS:1,Alchemist=6	ABILITY:Special Ability|AUTOMATIC|Greater Beastform Mutagen ~ Alchemist|PRECLASS:1,Alchemist=10	ABILITY:Special Ability|AUTOMATIC|Grand Beastform Mutagen ~ Alchemist|PRECLASS:1,Alchemist=14	ABILITY:Special Ability|AUTOMATIC|Discoveries ~ Alchemist
#
Beastform Mutagen			KEY:Beastform Mutagen ~ Alchemist			CATEGORY:Special Ability	TYPE:Archetype.AlchemistArchetype	DESC:At 3rd level, a beastmorph's mutagen causes him to take on animalistic features-whether those of an animal, a magical beast, an animal-like humanoid (such as a lizardfolk), or a monstrous humanoid. For example, when the beastmorph uses his mutagen, he may gain a furry muzzle and pointed ears like a werewolf, scaly skin like a lizardfolk or sahuagin, or compound eyes and mandibles like a giant insect. The beastmorph also gains his choice of one of the abilities listed in the alter self spell, which persists as long as the mutagen. He may select a different ability each time he creates a mutagen. This ability replaces swift alchemy.																																	SOURCEPAGE:p.24
Improved Beastform Mutagen	KEY:Improved Beastform Mutagen ~ Alchemist	CATEGORY:Special Ability	TYPE:Archetype.AlchemistArchetype	DESC:At 6th level, a beastmorph's mutagen grants him additional abilities and options. The alchemist gains his choice of two of the abilities listed in the beast shape I spell, which persist as long as the mutagen. He may select two different abilities each time he creates a mutagen. This ability replaces swift poisoning.																																																																																							SOURCEPAGE:p.25
Greater Beastform Mutagen	KEY:Greater Beastform Mutagen ~ Alchemist		CATEGORY:Special Ability	TYPE:Archetype.AlchemistArchetype	DESC:At 10th level, a beastmorph's mutagen grants him three of the abilities listed in the beast shape II spell, which persist as long as the mutagen. He may select three different abilities each time he creates a mutagen. This ability replaces poison resistance +2, +4, and +6, as well as poison immunity.																																																																																									SOURCEPAGE:p.25
Grand Beastform Mutagen		KEY:Grand Beastform Mutagen ~ Alchemist		CATEGORY:Special Ability	TYPE:Archetype.AlchemistArchetype	DESC:At 14th level, a beastmorph's mutagen grants him four of the abilities listed in the beast shape III spell, which persist as long as the mutagen. He may select four different abilities each time he creates a mutagen. This ability replaces persistent mutagen.																																																																																																	SOURCEPAGE:p.25
Discoveries				KEY:Discoveries ~ Alchemist				CATEGORY:Special Ability	TYPE:Archetype.AlchemistArchetype	DESC:The following discoveries complement the beastmorph archetype - feral mutagen, grand mutagen, greater mutagen, infuse mutagen, mummification**, spontaneous healing**, tentacle**, and wings**.																																																																																																												SOURCEPAGE:p.25

RAGECHEMIST				KEY:Alchemist Archetype ~ RAGECHEMIST		CATEGORY:Archetype		TYPE:Archetype.AlchemistArchetype.AlchemistPoisonUse.AlchemistSwiftPoisoning.AlchemistPoisonImmunity	PRECLASS:1,Alchemist=1	PREMULT:1,[PREABILITY:1,CATEGORY=Archetype,Alchemist Archetype ~ RAGECHEMIST],[!PREABILITY:1,CATEGORY=Archetype,TYPE.AlchemistPoisonUse,TYPE.AlchemistSwiftPoisoning,TYPE.AlchemistPoisonImmunity]	DESC:Some alchemists create mutagens that tap into a primal anger that fuels their physical transformation. These alchemists have little control over their altered selves.																																																																																																																SOURCEPAGE:p.25	ABILITY:Special Ability|AUTOMATIC|Rage Mutagen ~ RAGECHEMIST|PRECLASS:1,Alchemist=2	ABILITY:Special Ability|AUTOMATIC|Sturdy Rage ~ RAGECHEMIST|PRECLASS:1,Alchemist=6	ABILITY:Special Ability|AUTOMATIC|Lumbering Rage ~ RAGECHEMIST|PRECLASS:1,Alchemist=10	ABILITY:Special Ability|AUTOMATIC|Discoveries ~ RAGECHEMIST
#
Rage Mutagen			KEY:Rage Mutagen ~ RAGECHEMIST			CATEGORY:Special Ability	TYPE:Archetype.ClassNameArchetypeHere	DESC:At 2nd level, whenever a ragechemist creates a mutagen that improves his Strength, that mutagen grants the rage chemist a +6 bonus to Strength, a +2 bonus to natural armor, and a -2 penalty to Intelligence. Furthermore, while under the effects of this mutagen, whenever the alchemist takes damage, his rage grows, with detrimental effects. At the end of each turn that he takes hit point damage, the ragechemist must succeed at a Will saving throw (DC 15, or DC 20 if any of the damage came from a critical hit that turn) or take a -2 penalty on Will saving throws and to Intelligence. These penalties end 1 hour after the mutagen ends and stack with themselves. If the penalty lowers the ragechemist's Intelligence score to 0, the ragechemist is comatose until 1 hour after the mutagen expires. This ability replaces poison use.	SOURCEPAGE:p.25
Sturdy Rage				KEY:Sturdy Rage ~ RAGECHEMIST				CATEGORY:Special Ability	TYPE:Archetype.ClassNameArchetypeHere	DESC:At 6th level, whenever a ragechemist uses his rage mutagen, he also gains a +4 bonus to natural armor, but the penalty on Will saving throws and to Intelligence for taking damage increases to -4. This ability replaces swift poisoning.																																																																																																					SOURCEPAGE:p.25
