# Original Entry by: Arknight
#
# Ability Categories
#

###Block: Ability Categories
# Ability Category		Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object		Type of Object		Plural description for UI	Display where?
ABILITYCATEGORY:Background	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Background		TYPE:Background		PLURAL:Backgrounds		DISPLAYLOCATION:Background
ABILITYCATEGORY:Occupation	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Occupation		TYPE:Occupation		PLURAL:Occupations		DISPLAYLOCATION:Background
ABILITYCATEGORY:Wealth		VISIBLE:NO		EDITABLE:NO			EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Wealth			TYPE:Wealth			PLURAL:Wealth

# Core Class Talent Pools
# Ability Category			Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object	Type of Object		Plural description for UI	Display where?
ABILITYCATEGORY:Strong Talent		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Talent		TYPE:StrongTalent		PLURAL:Strong Talents		DISPLAYLOCATION:Talents
ABILITYCATEGORY:Fast Talent		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Talent		TYPE:FastTalent		PLURAL:Fast Talents		DISPLAYLOCATION:Talents
ABILITYCATEGORY:Tough Talent		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Talent		TYPE:ToughTalent		PLURAL:Tough Talents		DISPLAYLOCATION:Talents
ABILITYCATEGORY:Smart Talent		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Talent		TYPE:SmartTalent		PLURAL:Smart Talents		DISPLAYLOCATION:Talents
ABILITYCATEGORY:Dedicated Talent	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Talent		TYPE:DedicatedTalent	PLURAL:Dedicated Talents	DISPLAYLOCATION:Talents
ABILITYCATEGORY:Charismatic Talent	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Talent		TYPE:CharismaticTalent	PLURAL:Charismatic Talents	DISPLAYLOCATION:Talents
ABILITYCATEGORY:PA Hero Talent	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Talent		TYPE:PAHeroTalent		PLURAL:PA Hero Talents		DISPLAYLOCATION:Talents

# Core Class Bonus Feat Pools
# Ability Category			Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object	Type of Object		Plural description for UI	Display where?
ABILITYCATEGORY:Strong Feat		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:Strong			PLURAL:Strong Feats		DISPLAYLOCATION:Feats
