#  Sun Aug  5 21:24:58 2018 -- reformated by PCGen PrettyLST v6.06.00

# Deity Name	Domains							Description of Deity/Title																																FACT																																																Deity Weapon		Align		GROUP
Abadar				ABILITY:Internal|AUTOMATIC|Abadar								DESC:The Master of the First Vault holds sway over cities, the law, merchants, and wealth.																					FACT:Edicts|bring civilization to the frontiers, earn wealth through hard work and trade, follow the rule of law	FACT:Anathema|engage in banditry or piracy, steal, undermine a law-abiding court																DEITYWEAP:crossbow	ALIGN:LN	SPELLLEVEL:CLASS|Divine=1|lock|Divine=4|creation|Divine=7|magnificent mansion		DOMAINS:Cities,earth,travel,wealth
Asmodeus				ABILITY:Internal|AUTOMATIC|Asmodeus								DESC:The Prince of Darkness reigns over contracts, pride, slavery, and tyranny.																							FACT:Edicts|negotiate contracts to your best advantage, rule over weaker beings, show subservience to your betters	FACT:Anathema|break a contract, free a slave, insult Asmodeus's pride																	DEITYWEAP:mace		ALIGN:LE	SPELLLEVEL:CLASS|Divine=1|charm|Divine=4|suggestion|Divine=6|dominate		DOMAINS:Confidence,fire,trickery,tyranny
Calistria				ABILITY:Internal|AUTOMATIC|Calistria							DESC:The mischievous goddess known as the Savored Sting exhorts lust, revenge, and trickery.																					FACT:Edicts|pursue your personal freedom, take revenge, seek hedonistic thrills	FACT:Anathema|become too consumed by love or a need for revenge, let a slight go unanswered																			DEITYWEAP:whip		ALIGN:CN	SPELLLEVEL:CLASS|Divine=1|charm|Divine=3|enthrall|Divine=6|mislead		DOMAINS:Pain,passion,secrecy,trickery
Cayden Cailean			ABILITY:Internal|AUTOMATIC|Cayden Cailean							DESC:The Drunken Hero ascended from mortal life on a drunken dare, becoming the god of ale, freedom, and wine.																		FACT:Edicts|seek glory and adventure, drink	FACT:Anathema|abide slavery, be mean or standoffish when drunk																														DEITYWEAP:rapier		ALIGN:CG	SPELLLEVEL:CLASS|Divine=1|fleet step|Divine=2|touch of idiocy|Divine=5|hallucination		DOMAINS:Cities,freedom,indulgence,might
Desna					ABILITY:Internal|AUTOMATIC|Desna								DESC:The aloof Song of the Spheres presides over dreams, luck, stars, and travelers.																						FACT:Edicts|explore new places, express yourself through art and song, find what life has to offer, follow your dreams	FACT:Anathema|cause fear or despair, cast nightmare or use similar magic to corrupt dreams													DEITYWEAP:starknife	ALIGN:CG	SPELLLEVEL:CLASS|Divine=1|sleep|Divine=3|dream message|Divine=4|Fly		DOMAINS:Dreams,luck,moon,travel
Erastil				ABILITY:Internal|AUTOMATIC|Erastil								DESC:Old Deadeye is god of family, farming, hunting, and trade. Long ago he was a horned god of the hunt, but his worship evolved to focus on rural communities.										FACT:Edicts|care for your home and family, fulfill your duties, keep the peace, protect the community	FACT:Anathema|abandon your home in its time of need, choose yourself over your community, tarnish your reputation, tell lies											DEITYWEAP:longbow		ALIGN:LG	SPELLLEVEL:CLASS|Divine=1|true strike|Divine=2|wall of thorns|Divine=5|tree stride		DOMAINS:Earth,family,nature,wealth
Gorum					ABILITY:Internal|AUTOMATIC|Gorum								DESC:Soldiers call out prayers to Our Lord in Iron, god of battle, strength, and weapons.																						FACT:Edicts|attain victory in fair combat, push your limits	FACT:Anathema|kill prisoners or surrendering foes, prevent conflict through negotiation, win a battle through underhanded tactics or indirect magic														DEITYWEAP:greatsword	ALIGN:CN	SPELLLEVEL:CLASS|Divine=1|true strike|Divine=4|enlarge|Divine=4|weapon storm		DOMAINS:Confidence,destruction,might,zeal
Gozreh				ABILITY:Internal|AUTOMATIC|Gozreh								DESC:A deity of two aspects, known as the Wind and the Waves, Gozreh rules over nature, the sea, and weather.																		FACT:Edicts|cherish, protect, and respect nature in all its forms	FACT:Anathema|bring civilization to intrude on the wild																												DEITYWEAP:trident		ALIGN:TN	SPELLLEVEL:CLASS|Divine=1|gust of wind|Divine=3|lightning bolt|Divine=7|control water		DOMAINS:Air,nature,travel,water
Iomedae				ABILITY:Internal|AUTOMATIC|Iomedae								DESC:Iomedae is goddess of honor, justice, rulership, and valor, called the Inheritor after inheriting her mantle when the god of humanity perished. Many paladins follow her faith.						FACT:Edicts|be temperate, fight for justice and honor, hold valor in your heart	FACT:Anathema|abandon a companion in need, dishonor yourself, refuse a challenge from an equal																			DEITYWEAP:longsword	ALIGN:LG	SPELLLEVEL:CLASS|Divine=1|true strike|Divine=2|remove paralysis|Divine=4|fire shield		DOMAINS:Confidence,might,truth,zeal
Irori					ABILITY:Internal|AUTOMATIC|Irori								DESC:The Master of Masters attained enlightenment and became god of history, knowledge, and self-perfection.																		FACT:Edicts|be humble; help others perfect themselves; hone your body, mind, and spirit to a more perfect state; practice discipline	FACT:Anathema|repeatedly fail to maintain self-control																DEITYWEAP:fist		ALIGN:LN	SPELLLEVEL:CLASS|Divine=1|jump|Divine=3|haste|Divine=4|stoneskin		DOMAINS:Knowledge,might,perfection,truth
Lama shtu				ABILITY:Internal|AUTOMATIC|Lama shtu							DESC:The Mother of Monsters is goddess of aberrance, monsters, and nightmares.																							FACT:Edicts|bring power to the outcasts and downtrodden, indoctrinate children in Lamashtu's teachings, make the beautiful monstrous, reveal the corruption and flaws in all things	FACT:Anathema|attempt to cure a madness or deformity, provide succor to Lamashtu's enemies (such as Desna)	DEITYWEAP:falchion	ALIGN:CE	SPELLLEVEL:CLASS|Divine=1|magic fang|Divine=3|animal form|Divine=4|nightmare		DOMAINS:Family,might,nightmares,trickery
