# CVS $Revision: $ $Author: $ -- Thu Nov 26 22:25:37 2015 -- reformated by PCGen PrettyLST v6.05.01
SOURCELONG:Occult Adventures	SOURCESHORT:OA	SOURCEWEB:http://paizo.com/products/btpy9a0h

#Separated into own file so as to not require UC

# Spell Name				Type			Classes of caster
Adoration.MOD				TYPE:Psychic	CLASSES:Mesmerist=1
Bestow Weapon Proficiency.MOD		TYPE:Psychic	CLASSES:Medium=2
Blistering Invective.MOD		TYPE:Psychic	CLASSES:Mesmerist=2
Burst of Speed.MOD			TYPE:Psychic	CLASSES:Medium=3
Compel Hostility.MOD			TYPE:Psychic	CLASSES:Medium,Mesmerist=1
Haunted Fey Aspect.MOD			TYPE:Psychic	CLASSES:Medium,Mesmerist=0
Healing Thief.MOD				TYPE:Psychic	CLASSES:Mesmerist=1
Hostile Juxtaposition.MOD		TYPE:Psychic	CLASSES:Mesmerist=4
Hostile Juxtaposition (Greater).MOD	TYPE:Psychic	CLASSES:Mesmerist=6
Hostile Levitation.MOD			TYPE:Psychic	CLASSES:Medium=2|Mesmerist=3
Illusion of Calm.MOD			TYPE:Psychic	CLASSES:Mesmerist=1
Liberating Command.MOD			TYPE:Psychic	CLASSES:Medium=1
Lock Gaze.MOD				TYPE:Psychic	CLASSES:Mesmerist=1
Negative Reaction.MOD			TYPE:Psychic	CLASSES:Medium=1
Nondetection (Communal).MOD		TYPE:Psychic	CLASSES:Mesmerist=4
Pilfering Hand.MOD			TYPE:Psychic	CLASSES:Medium,Mesmerist=2
Qualm.MOD					TYPE:Psychic	CLASSES:Medium,Mesmerist=2
Shocking Image.MOD			TYPE:Psychic	CLASSES:Mesmerist=4
Tactical Acumen.MOD			TYPE:Psychic	CLASSES:Medium=2
Tongues (Communal).MOD			TYPE:Psychic	CLASSES:Mesmerist=3
Unerring Weapon.MOD			TYPE:Psychic	CLASSES:Medium=1
