# CVS $Revision: $ $Author: $ -- Thu Nov 26 22:25:37 2015 -- reformated by PCGen PrettyLST v6.05.01
SOURCELONG:Occult Adventures	SOURCESHORT:OA	SOURCEWEB:http://paizo.com/products/btpy9a0h

#Separated into own file so as to not require UM

#Mesmerist 1
# Spell Name			Type			Classes of caster
Anticipate Peril.MOD		TYPE:Psychic	CLASSES:Mesmerist=1
Bungle.MOD				TYPE:Psychic	CLASSES:Mesmerist=1
Delusional Pride.MOD		TYPE:Psychic	CLASSES:Mesmerist=1
Diagnose Disease.MOD		TYPE:Psychic	CLASSES:Mesmerist=1
Forbid Action.MOD			TYPE:Psychic	CLASSES:Mesmerist=1
Forced Quiet.MOD			TYPE:Psychic	CLASSES:Mesmerist=1
Fumbletongue.MOD			TYPE:Psychic	CLASSES:Mesmerist=1
Interrogation.MOD			TYPE:Psychic	CLASSES:Mesmerist=1
Murderous Command.MOD		TYPE:Psychic	CLASSES:Mesmerist=1
Polypurpose Panacea.MOD		TYPE:Psychic	CLASSES:Mesmerist=1
Ray of Sickening.MOD		TYPE:Psychic	CLASSES:Mesmerist=1
Remove Sickness.MOD		TYPE:Psychic	CLASSES:Mesmerist=1
Unnatural Lust.MOD		TYPE:Psychic	CLASSES:Mesmerist=1
Unprepared Combatant.MOD	TYPE:Psychic	CLASSES:Mesmerist=1
Vocal Alteration.MOD		TYPE:Psychic	CLASSES:Mesmerist=1

#Mesmerist 2
Compassionate Ally.MOD		TYPE:Psychic	CLASSES:Mesmerist=2
Delay Pain.MOD			TYPE:Psychic	CLASSES:Mesmerist=2
Disfiguring Touch.MOD		TYPE:Psychic	CLASSES:Mesmerist=2
Ghostly Disguise.MOD		TYPE:Psychic	CLASSES:Mesmerist=2
Haunting Mists.MOD		TYPE:Psychic	CLASSES:Mesmerist=2
Howling Agony.MOD			TYPE:Psychic	CLASSES:Mesmerist=2
Mad Hallucination.MOD		TYPE:Psychic	CLASSES:Mesmerist=2
Miserable Pity.MOD		TYPE:Psychic	CLASSES:Mesmerist=2
Oppressive Boredom.MOD		TYPE:Psychic	CLASSES:Mesmerist=2
Reckless Infatuation.MOD	TYPE:Psychic	CLASSES:Mesmerist=2
Share Memory.MOD			TYPE:Psychic	CLASSES:Mesmerist=2
Steal Voice.MOD			TYPE:Psychic	CLASSES:Mesmerist=2
Symbol of Mirroring.MOD		TYPE:Psychic	CLASSES:Mesmerist=2
Unadulterated Loathing.MOD	TYPE:Psychic	CLASSES:Mesmerist=2
Wartrain Mount.MOD		TYPE:Psychic	CLASSES:Mesmerist=2

#Mesmerist 3
Control Summoned Creature.MOD	TYPE:Psychic	CLASSES:Mesmerist=3
Curse of Disgust.MOD		TYPE:Psychic	CLASSES:Mesmerist=3
Curse of Magic Negation.MOD	TYPE:Psychic	CLASSES:Mesmerist=3
False Life (Greater).MOD	TYPE:Psychic	CLASSES:Mesmerist=3
Haunting Choir.MOD		TYPE:Psychic	CLASSES:Mesmerist=3
Loathsome Veil.MOD		TYPE:Psychic	CLASSES:Mesmerist=3
Malicious Spite.MOD		TYPE:Psychic	CLASSES:Mesmerist=3
Marionette Possession.MOD	TYPE:Psychic	CLASSES:Mesmerist=3
Overwhelming Grief.MOD		TYPE:Psychic	CLASSES:Mesmerist=3
Smug Narcissism.MOD		TYPE:Psychic	CLASSES:Mesmerist=3
Terrible Remorse.MOD		TYPE:Psychic	CLASSES:Mesmerist=3
Vision of Hell.MOD		TYPE:Psychic	CLASSES:Mesmerist=3
Witness.MOD				TYPE:Psychic	CLASSES:Mesmerist=3

#Mesmerist 4
Battlemind Link.MOD		TYPE:Psychic	CLASSES:Mesmerist=4
Curse (Major).MOD			TYPE:Psychic	CLASSES:Mesmerist=4
Daze (Mass).MOD			TYPE:Psychic	CLASSES:Mesmerist=4
Envious Urge.MOD			TYPE:Psychic	CLASSES:Mesmerist=4
Forbid Action (Greater).MOD	TYPE:Psychic	CLASSES:Mesmerist=4
Primal Scream.MOD			TYPE:Psychic	CLASSES:Mesmerist=4
Serenity.MOD			TYPE:Psychic	CLASSES:Mesmerist=4
Utter Contempt.MOD		TYPE:Psychic	CLASSES:Mesmerist=4

#Mesmerist 5
Joyful Rapture.MOD		TYPE:Psychic	CLASSES:Mesmerist=5
Vengeful Outrage.MOD		TYPE:Psychic	CLASSES:Mesmerist=5

#Mesmerist 6
Overwhelming Presence.MOD	TYPE:Psychic	CLASSES:Mesmerist=6
Waves of Ecstasy.MOD		TYPE:Psychic	CLASSES:Mesmerist=6
